Importers	Exported value in 2001	Exported value in 2002	Exported value in 2003	Exported value in 2004	Exported value in 2005	Exported value in 2006	Exported value in 2007	Exported value in 2008	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	
"Free Zones"	1784835	2047434	2113335	2582003	3058793	2967219	2942876	3014685	1957066	2083788	2544721	2294934	2412824	3357884	2843871	2682410	1953202	
"Algeria"	421964	510837	573002	806115	807138	1020696	1231725	1613644	1777198	1504590	1470547	1813037	2002689	2078889	1825988	1736371	1713169	
"Greece"	476095	582816	920401	1170835	1126678	1602590	2262655	2429968	1629637	1455678	1553312	1401401	1439061	1536658	1400562	1427206	1663384	
"Morocco"	98149	136875	180779	330059	370825	551377	721595	957769	598541	623957	920896	1014906	1192900	1406566	1337571	1469043	1660587	
"Sweden"	214132	293301	457504	560610	661535	787315	882761	918787	748741	946866	1183041	1185685	1149242	1319785	1189023	1215269	1415064	
"Syrian Arab Republic"	281141	262868	410755	394783	551627	609417	797766	1115013	1421637	1844605	1609861	497960	1024473	1800962	1522627	1321981	1364612	
"Azerbaijan"	225214	226865	315488	403942	528076	695287	1047668	1667469	1400446	1550479	2063996	2584671	2960371	2874608	1898715	1285127	1357772	
"Ukraine"	289180	310450	444967	575827	821034	1121364	1481156	2187675	1004772	1260423	1729760	1829207	2189245	1729294	1121373	1253155	1341489	
"Georgia"	144049	103373	155070	199699	271828	407962	646082	997844	762977	769271	1092321	1253309	1245917	1443790	1109018	1176634	1209472	
"Slovenia"	62667	68864	102588	188559	332410	417729	486766	648705	595004	356502	617476	548314	666164	742817	810465	927487	1158279	
"Austria"	341346	363010	473167	561041	659097	709855	844006	990956	807146	835181	1052932	1000745	1057254	1134547	1024578	1045437	1114242	
"Cyprus"	200974	217279	319969	470274	760050	897346	939876	1082880	772131	975768	1023964	1013552	1117347	248	307	613	1097797	
"Hungary"	170230	199407	284647	349938	379092	486440	775656	684088	445669	440766	508648	517874	652242	693582	711839	831785	1080859	
"Canada"	171708	240791	221323	343896	364786	378542	369870	501428	338193	479505	875221	1058281	939954	950456	670630	729487	1045952	
"Turkmenistan"	105278	118493	170347	214848	180635	281325	339989	662933	945655	1139825	1493336	1480052	1957484	2231246	1857964	1241470	1038687	
"Denmark"	271670	362896	454043	637306	733233	827061	1008508	953437	690864	765081	880920	983886	1005180	1076621	901892	947464	1012028	
"Serbia"	0	0	0	0	0	354830	595526	737525	584547	600112	620499	635653	719648	782064	733258	842395	988546	
"Tunisia"	140593	119832	220015	255637	294785	324893	530277	778098	645767	713632	802302	796738	892157	915041	819094	910613	915215	
"Czech Republic"	109399	128298	188846	222264	290110	377710	577605	700824	489014	694077	888387	786276	772155	836577	768632	803964	907938	
"Switzerland"	242608	288755	356877	441910	557896	906700	941983	2859432	3940363	2065015	1493983	2134517	1029568	3219481	5680809	2680779	892032	
"Lebanon"	183880	185946	148126	234401	195910	240599	393217	665055	688681	618318	718257	845970	818643	782586	722646	734686	889426	
"Libya, State of"	67473	163081	254741	337204	384167	489261	643150	1074288	1795117	1932370	747629	2139440	2753096	2059898	1420087	906107	880868	
"Portugal"	286099	221784	315201	397851	395538	562721	550527	540744	408920	465228	445740	441102	616913	557503	558357	651097	811434	
"India"	74373	72489	71365	136317	219869	222242	348229	542730	409202	606081	756082	791720	586927	586589	650319	651703	758604	
"Kazakhstan"	119795	158655	233994	355590	459946	696823	1079887	890568	633417	818900	947822	1068625	1039420	977487	750157	623715	746586	
"Jordan"	118901	115181	149618	229464	288648	321661	389305	460738	455352	571334	506839	770982	744193	907021	834760	710799	682664	
