Product code	Product label	Turkey's exports to China-Value in 2001	Turkey's exports to China-Value in 2002	Turkey's exports to China-Value in 2003	Turkey's exports to China-Value in 2004	Turkey's exports to China-Value in 2005	Turkey's exports to China-Value in 2006	Turkey's exports to China-Value in 2007	Turkey's exports to China-Value in 2008	Turkey's exports to China-Value in 2009	Turkey's exports to China-Value in 2010	Turkey's exports to China-Value in 2011	Turkey's exports to China-Value in 2012	Turkey's exports to China-Value in 2013	Turkey's exports to China-Value in 2014	Turkey's exports to China-Value in 2015	Turkey's exports to China-Value in 2016	Turkey's exports to China-Value in 2017	China's imports from world- 	China's imports from world-Value in 2001	China's imports from world-Value in 2002	China's imports from world-Value in 2003	China's imports from world-Value in 2004	China's imports from world-Value in 2005	China's imports from world-Value in 2006	China's imports from world-Value in 2007	China's imports from world-Value in 2008	China's imports from world-Value in 2009	China's imports from world-Value in 2010	China's imports from world-Value in 2011	China's imports from world-Value in 2012	China's imports from world-Value in 2013	China's imports from world-Value in 2014	China's imports from world-Value in 2015	China's imports from world-Value in 2016	China's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
88	"Aircraft, spacecraft, and parts thereof"	0	0	0	0	2	0	5	83	0	11	3	2	33	65	175	152	624		4544994	4051929	4461318	4990257	6561255	10940357	10467690	10055771	10525223	12391040	13541753	17612975	23181189	28438496	25951858	22840343	26214937		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	8	1	47	41	44	28	39	316	713	1994	3176	3801	2138	1958	1321	742	556		400846	434152	524624	618740	706884	832578	900025	998570	899152	1126744	1189264	1154517	1194837	1310779	1175764	1170744	1298435		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	0	38	0	0	0	494	95	0	0	310	463	328	303	576	264	611	507		14408	19447	27077	26228	28711	44117	66868	79466	52146	100193	180143	182736	197436	248949	238804	182969	239137		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
09	"Coffee, tea, maté and spices"	48	172	190	525	549	598	27	16	20	20	177	92	66	121	95	194	487		21325	23133	27806	32396	41617	53506	77372	101158	85742	150034	232168	306325	256359	342297	397477	666895	730928		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
24	"Tobacco and manufactured tobacco substitutes"	1007	1687	488	2606	0	0	147	0	2747	50	3135	2542	475	8	456	206	484		267554	243038	307375	292009	383809	463300	540947	787784	843653	790706	1137964	1316016	1459659	2092563	1863502	1727670	1762645		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
99	"Commodities not elsewhere specified"	0	0	29	46	94	306	14	39	63	136	232	284	390	914	1056	337	406		1675675	1563039	1265426	1528031	2004638	2029291	2463228	4407629	3304654	18433281	49498449	68769065	104735488	82763505	7135333	12910356	66855220		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
35	"Albuminoidal substances; modified starches; glues; enzymes"	11	1	5	1	7	12	56	123	48	46	131	211	178	233	190	272	375		443249	504776	610349	787928	884542	1067868	1331549	1543507	1546013	2200102	2667734	2977098	3099363	3241692	3040094	3088114	3346302		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	0	2	0	0	0	70	695	1603	2970	3751	1142	638	0	55	0	343		2734549	2899914	3891868	5294714	6182634	7140314	9589591	12260272	10639756	14178159	18907489	17247792	17305501	17413803	18040191	17229611	21211288		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
92	"Musical instruments; parts and accessories of such articles"	0	0	0	0	10	5	22	36	22	5	35	32	171	152	211	161	337		90386	104673	100206	123874	127500	132950	165204	197221	179800	229021	271806	302919	292309	318107	338719	376093	403746		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
96	"Miscellaneous manufactured articles"	41	9	31	37	84	144	85	236	173	239	384	170	429	341	487	391	326		392062	385912	485831	615713	675154	718102	804475	831605	775064	949264	1015197	1286834	1471562	1723166	2348619	2388686	2634222		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
