Product code	Product label	Turkey's exports to Netherlands-Value in 2001	Turkey's exports to Netherlands-Value in 2002	Turkey's exports to Netherlands-Value in 2003	Turkey's exports to Netherlands-Value in 2004	Turkey's exports to Netherlands-Value in 2005	Turkey's exports to Netherlands-Value in 2006	Turkey's exports to Netherlands-Value in 2007	Turkey's exports to Netherlands-Value in 2008	Turkey's exports to Netherlands-Value in 2009	Turkey's exports to Netherlands-Value in 2010	Turkey's exports to Netherlands-Value in 2011	Turkey's exports to Netherlands-Value in 2012	Turkey's exports to Netherlands-Value in 2013	Turkey's exports to Netherlands-Value in 2014	Turkey's exports to Netherlands-Value in 2015	Turkey's exports to Netherlands-Value in 2016	Turkey's exports to Netherlands-Value in 2017	Netherlands's imports from world- 	Netherlands's imports from world-Value in 2001	Netherlands's imports from world-Value in 2002	Netherlands's imports from world-Value in 2003	Netherlands's imports from world-Value in 2004	Netherlands's imports from world-Value in 2005	Netherlands's imports from world-Value in 2006	Netherlands's imports from world-Value in 2007	Netherlands's imports from world-Value in 2008	Netherlands's imports from world-Value in 2009	Netherlands's imports from world-Value in 2010	Netherlands's imports from world-Value in 2011	Netherlands's imports from world-Value in 2012	Netherlands's imports from world-Value in 2013	Netherlands's imports from world-Value in 2014	Netherlands's imports from world-Value in 2015	Netherlands's imports from world-Value in 2016	Netherlands's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
22	"Beverages, spirits and vinegar"	584	806	1000	1046	963	5143	6741	2600	3862	9064	9619	18761	5789	4488	4381	4940	4528		1109093	1288484	1606127	1899801	1979481	2319451	3070027	3651054	3311414	3075573	4089371	3959543	4393765	4114264	3995604	4183119	4295722		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	757	1123	1670	932	901	528	658	9420	1015	1099	2196	2545	2020	3153	2196	9507	4618		849946	1238213	1581145	1812972	2078966	2242570	3092652	4718921	3012530	3436340	5279387	6712935	6775694	5845758	4876360	5127452	6181114		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
96	"Miscellaneous manufactured articles"	716	824	1227	1261	1625	1876	2034	2371	2371	2931	2713	3653	4505	4631	3584	4046	4662		332971	327354	381410	396099	441867	462778	539325	630832	553415	574461	673698	920458	1022749	1034687	993105	1049381	1196252		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
83	"Miscellaneous articles of base metal"	1676	1909	2259	2414	2842	4398	4877	6097	4681	4305	5663	5370	4440	6017	5686	5394	5604		538644	594576	707915	803909	836554	943996	1096680	1259332	1032178	1008567	1319772	1206369	1341881	1590805	1416988	1397743	1581792		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	3190	4611	8432	10788	13874	15239	20118	19873	14398	10413	9721	8880	5857	5560	5390	6946	5969		416508	498271	570773	687120	743399	858249	1025258	1192382	953386	948877	1320795	1121296	1256218	1364126	1228952	1365604	1417711		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
09	"Coffee, tea, maté and spices"	2562	2525	2499	3347	2971	2850	3652	3200	2713	5456	4285	4312	5839	5460	5946	6524	6126		413236	384962	484411	521819	576583	650193	813501	722203	751351	911881	1315751	1243371	1337349	1717563	1601474	1603831	1845992		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
10	"Cereals"	43	675	431	494	167	1613	1143	105	501	5879	223	1202	2927	48	42	35	6457		961623	1057758	1052365	1453038	1205758	1574559	2591544	3597200	2282066	2358597	3305998	3257849	3752247	3258524	2859690	2598287	3011902		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	397	284	365	916	1080	831	1142	824	878	1518	4292	3938	4809	4819	4764	6092	7301		218093	256410	285433	298272	346255	411558	444150	481824	375639	441876	583953	528637	583585	603460	494151	504643	525280		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	435	354	855	1304	2970	1384	1450	897	1416	1707	1244	1761	1726	1732	4382	7369	7349		916884	535289	705534	790389	820311	890074	1116857	2446683	1562180	2075832	2583973	2491821	2574265	2715872	2434829	2542075	2774535		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	1684	2085	2332	2430	2940	5564	4949	4803	4339	4553	4530	4844	6653	9240	8152	8700	7413		469395	623981	864091	977805	949725	979077	1276066	1525212	1464303	1360425	1790865	1840923	1957003	2121212	2080404	2176809	2540953		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
