Product code	Product label	Turkey's exports to Iraq-Value in 2001	Turkey's exports to Iraq-Value in 2002	Turkey's exports to Iraq-Value in 2003	Turkey's exports to Iraq-Value in 2004	Turkey's exports to Iraq-Value in 2005	Turkey's exports to Iraq-Value in 2006	Turkey's exports to Iraq-Value in 2007	Turkey's exports to Iraq-Value in 2008	Turkey's exports to Iraq-Value in 2009	Turkey's exports to Iraq-Value in 2010	Turkey's exports to Iraq-Value in 2011	Turkey's exports to Iraq-Value in 2012	Turkey's exports to Iraq-Value in 2013	Turkey's exports to Iraq-Value in 2014	Turkey's exports to Iraq-Value in 2015	Turkey's exports to Iraq-Value in 2016	Turkey's exports to Iraq-Value in 2017	Iraq's imports from world- 	Iraq's imports from world-Value in 2001	Iraq's imports from world-Value in 2002	Iraq's imports from world-Value in 2003	Iraq's imports from world-Value in 2004	Iraq's imports from world-Value in 2005	Iraq's imports from world-Value in 2006	Iraq's imports from world-Value in 2007	Iraq's imports from world-Value in 2008	Iraq's imports from world-Value in 2009	Iraq's imports from world-Value in 2010	Iraq's imports from world-Value in 2011	Iraq's imports from world-Value in 2012	Iraq's imports from world-Value in 2013	Iraq's imports from world-Value in 2014	Iraq's imports from world-Value in 2015	Iraq's imports from world-Value in 2016	Iraq's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	0	0	931	5924	6583	7409	7007	10944	11055	17059	23281	39395	51984	49140	27765	15433	18556															221442	670557	558635	533364		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
31	"Fertilisers"	0	0	1	26	11	746	212	22	3275	3930	8258	11331	13274	8839	14879	37905	18651															9693	83004	153764	90346		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	0	0	629	837	597	381	594	645	6589	14868	15859	19477	25410	21475	12487	10233	19431															4514	55073	68107	55798		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
89	"Ships, boats and floating structures"	0	0	58	41	4	9	10	123	36	1082	2184	60	120	120910	117	13844	20431															3647	83532	46366	44959		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
10	"Cereals"	0	0	28	547	143	7632	486	235	5768	4431	4606	19334	18535	27529	20198	28349	21780															1013606	813120	615426	792212		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	0	0	32376	118453	193502	144261	146282	195351	297533	282281	239801	145601	120544	65046	31929	21845	23189															1132720	64360	269565	32422		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
40	"Rubber and articles thereof"	0	0	2538	9072	9793	10226	10795	14462	21103	25108	31074	38141	50311	37783	28614	21942	25150															97220	368149	382993	332759		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	0	0	127096	377978	538251	176895	157783	105597	175697	228965	158860	136760	121138	113100	67988	29810	31154															8482379	911256	1055816	351169		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
83	"Miscellaneous articles of base metal"	0	0	1524	4905	5614	8303	10400	14401	19676	26331	35002	43597	46080	37570	35413	31144	33466															12221	183073	178780	211497		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
70	"Glass and glassware"	0	0	5184	10248	10917	15410	16902	30633	31931	33800	49532	43031	43362	42912	40851	32999	34212															46382	188342	275752	154178		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
