Product code	Product label	Turkey's exports to Poland-Value in 2001	Turkey's exports to Poland-Value in 2002	Turkey's exports to Poland-Value in 2003	Turkey's exports to Poland-Value in 2004	Turkey's exports to Poland-Value in 2005	Turkey's exports to Poland-Value in 2006	Turkey's exports to Poland-Value in 2007	Turkey's exports to Poland-Value in 2008	Turkey's exports to Poland-Value in 2009	Turkey's exports to Poland-Value in 2010	Turkey's exports to Poland-Value in 2011	Turkey's exports to Poland-Value in 2012	Turkey's exports to Poland-Value in 2013	Turkey's exports to Poland-Value in 2014	Turkey's exports to Poland-Value in 2015	Turkey's exports to Poland-Value in 2016	Turkey's exports to Poland-Value in 2017	Poland's imports from world- 	Poland's imports from world-Value in 2001	Poland's imports from world-Value in 2002	Poland's imports from world-Value in 2003	Poland's imports from world-Value in 2004	Poland's imports from world-Value in 2005	Poland's imports from world-Value in 2006	Poland's imports from world-Value in 2007	Poland's imports from world-Value in 2008	Poland's imports from world-Value in 2009	Poland's imports from world-Value in 2010	Poland's imports from world-Value in 2011	Poland's imports from world-Value in 2012	Poland's imports from world-Value in 2013	Poland's imports from world-Value in 2014	Poland's imports from world-Value in 2015	Poland's imports from world-Value in 2016	Poland's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	0	6	0	27	129	133	92	234	206	134	346	159	306	180	554	537	545		75693	86043	101634	140943	177589	192202	255951	367605	294910	272114	288980	256804	299067	315172	262805	262146	300924		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
99	"Commodities not elsewhere specified"	0	0	452	4	35	67	16	3	29	17	161	148	192	103	231	408	549		70700	47409	46050	10878	39479	3116621	4169799	5672018	3514708	3807471	5072223	5575928	5036884	4055294	2779713	2243998	3149613		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
44	"Wood and articles of wood; wood charcoal"	102	136	422	287	697	997	770	1908	796	794	1189	1993	1749	1035	581	481	598		416845	462147	560956	788654	1033468	1214573	1639680	1918637	1216821	1340076	1657153	1324434	1376281	1633881	1351541	1338701	1559290		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	0	2	19	159	195	248	316	1298	2334	5807	7894	6873	2929	3073	1559	718	797		5078560	5036116	6199250	8127245	11618155	13067512	16355297	23892080	14123126	18995584	26826270	26173078	23939219	23411138	14270599	11769674	16133668		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
79	"Zinc and articles thereof"	0	0	28	220	428	442	983	1476	1034	849	305	246	363	773	1260	1020	830		21775	28018	42590	63270	72483	205658	257383	169495	108810	178642	196467	178487	199652	200802	222017	209110	288168		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
43	"Furskins and artificial fur; manufactures thereof"	367	779	485	938	886	1983	2796	2110	479	1182	1210	2146	1333	1745	725	480	1000		53199	59280	80998	85798	85155	93680	96783	76379	27638	63381	73489	66466	79010	86945	56133	59115	75252		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
26	"Ores, slag and ash"	798	0	1400	1415	0	7567	109	3379	20	236	1064	312	430	1459	3148	3078	1169		258119	232126	312003	698823	516410	803726	972137	1209573	457625	799270	966029	929854	1126990	1184684	948220	840282	1202066		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
81	"Other base metals; cermets; articles thereof"	9	0	0	0	2	3	105	0	0	0	0	0	0	0	0	8	1181		18118	11768	17059	33973	52699	65370	85121	93479	58754	72540	89815	75971	88249	93521	87883	93113	94182		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
88	"Aircraft, spacecraft, and parts thereof"	3	0	0	0	3	1	4	1	438	1053	416	928	1153	1515	874	1146	1237		225878	315207	173860	582149	393120	256762	307706	271895	405832	465532	531627	1181860	1132736	749493	568291	1013591	1644668		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
65	"Headgear and parts thereof"	18	29	12	7	4	21	36	64	49	169	131	283	214	525	800	888	1376		12500	17001	17619	22895	27797	36934	47465	74896	61746	62326	83297	67158	79818	90767	92864	96676	119408		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
