Product code	Product label	Turkey's exports to Spain-Value in 2001	Turkey's exports to Spain-Value in 2002	Turkey's exports to Spain-Value in 2003	Turkey's exports to Spain-Value in 2004	Turkey's exports to Spain-Value in 2005	Turkey's exports to Spain-Value in 2006	Turkey's exports to Spain-Value in 2007	Turkey's exports to Spain-Value in 2008	Turkey's exports to Spain-Value in 2009	Turkey's exports to Spain-Value in 2010	Turkey's exports to Spain-Value in 2011	Turkey's exports to Spain-Value in 2012	Turkey's exports to Spain-Value in 2013	Turkey's exports to Spain-Value in 2014	Turkey's exports to Spain-Value in 2015	Turkey's exports to Spain-Value in 2016	Turkey's exports to Spain-Value in 2017	Spain's imports from world- 	Spain's imports from world-Value in 2001	Spain's imports from world-Value in 2002	Spain's imports from world-Value in 2003	Spain's imports from world-Value in 2004	Spain's imports from world-Value in 2005	Spain's imports from world-Value in 2006	Spain's imports from world-Value in 2007	Spain's imports from world-Value in 2008	Spain's imports from world-Value in 2009	Spain's imports from world-Value in 2010	Spain's imports from world-Value in 2011	Spain's imports from world-Value in 2012	Spain's imports from world-Value in 2013	Spain's imports from world-Value in 2014	Spain's imports from world-Value in 2015	Spain's imports from world-Value in 2016	Spain's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	483	584	1521	2564	6029	4060	6567	9342	4495	3300	5958	2681	2848	3296	3641	3288	1486		191653	180082	179018	197643	186863	179518	176307	173675	105999	117160	125991	106165	116534	122060	98452	101724	105237		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
09	"Coffee, tea, maté and spices"	2757	2446	1471	1480	1260	1702	1084	728	1103	806	1117	1201	2031	1368	1283	1602	1547		344731	306271	377957	421491	546278	611092	782260	990975	868396	941313	1330191	1208562	1071133	1338662	1331640	1327836	1417155		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
31	"Fertilisers"	979	2318	1777	9825	5249	6263	0	6315	567	21169	17596	52	4062	4668	2000	99	1621		394182	389840	532452	596552	590097	640391	824969	1202839	604714	819637	1054512	1094194	1219572	1339827	1238532	896187	1015485		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
78	"Lead and articles thereof"	312	0	0	0	40	64	59	89	287	44	189	26	1868	2540	2756	1765	2060		75041	83495	84106	163733	206489	233961	424899	380985	264127	296036	355431	307139	332075	280400	207939	267134	367244		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	46	0	410	630	831	620	871	1168	105	91	89	235	287	263	753	996	2119		313771	339833	481744	529368	673261	826941	972412	1086166	1038341	1065557	1276097	1282670	1347749	1308338	1214379	1133142	1396422		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
30	"Pharmaceutical products"	19076	19520	29582	56805	19377	4305	7782	5194	2570	2391	2065	2461	3098	1635	1612	1794	2144		4017365	5298326	6791945	7925833	8536416	9170613	11576992	14479884	15721668	14677231	15035763	14342225	14495203	15186163	14769170	13922423	13940747		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
95	"Toys, games and sports requisites; parts and accessories thereof"	88	28	162	302	1167	1264	863	792	193	427	1511	1188	1861	5024	3360	2195	2330		1096626	1201935	1508061	1618955	1961212	2022468	2935859	3098643	2221263	2450624	2480328	1896118	1943315	2175996	2205640	2654256	3381834		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	5682	4980	5802	7251	8142	7659	5509	5599	5404	6270	5183	1879	5825	3082	6151	2510	2809		1043773	1158075	1274117	1411649	1402825	1226251	1656008	2603416	2049562	2019197	2599749	2889430	2780245	2818196	2339971	2270862	2377263		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
43	"Furskins and artificial fur; manufactures thereof"	1051	2081	2073	2937	4770	5095	4453	5235	5189	4158	5810	3727	4878	3729	3810	2391	3401		50849	51091	50369	72397	88085	102947	77482	61772	46634	62591	59100	56008	55403	50158	37204	30652	32437		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
65	"Headgear and parts thereof"	14	10	41	98	187	158	125	555	30	110	104	236	137	278	718	1103	3694		68654	73259	88965	119722	152598	175171	206635	219168	145982	162951	203649	141128	154100	200801	203064	231208	257568		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
