Product code	Product label	Turkey's exports to United Kingdom-Value in 2001	Turkey's exports to United Kingdom-Value in 2002	Turkey's exports to United Kingdom-Value in 2003	Turkey's exports to United Kingdom-Value in 2004	Turkey's exports to United Kingdom-Value in 2005	Turkey's exports to United Kingdom-Value in 2006	Turkey's exports to United Kingdom-Value in 2007	Turkey's exports to United Kingdom-Value in 2008	Turkey's exports to United Kingdom-Value in 2009	Turkey's exports to United Kingdom-Value in 2010	Turkey's exports to United Kingdom-Value in 2011	Turkey's exports to United Kingdom-Value in 2012	Turkey's exports to United Kingdom-Value in 2013	Turkey's exports to United Kingdom-Value in 2014	Turkey's exports to United Kingdom-Value in 2015	Turkey's exports to United Kingdom-Value in 2016	Turkey's exports to United Kingdom-Value in 2017	United Kingdom's imports from world- 	United Kingdom's imports from world-Value in 2001	United Kingdom's imports from world-Value in 2002	United Kingdom's imports from world-Value in 2003	United Kingdom's imports from world-Value in 2004	United Kingdom's imports from world-Value in 2005	United Kingdom's imports from world-Value in 2006	United Kingdom's imports from world-Value in 2007	United Kingdom's imports from world-Value in 2008	United Kingdom's imports from world-Value in 2009	United Kingdom's imports from world-Value in 2010	United Kingdom's imports from world-Value in 2011	United Kingdom's imports from world-Value in 2012	United Kingdom's imports from world-Value in 2013	United Kingdom's imports from world-Value in 2014	United Kingdom's imports from world-Value in 2015	United Kingdom's imports from world-Value in 2016	United Kingdom's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
35	"Albuminoidal substances; modified starches; glues; enzymes"	150	167	170	282	307	105	149	323	434	244	518	646	810	780	1950	3102	2793		481822	498798	576231	663339	653931	787948	811151	803651	710801	726883	877720	807748	901659	966392	865891	824416	882780		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
09	"Coffee, tea, maté and spices"	1640	1459	1316	1584	1481	988	1280	1259	1117	1418	1521	1582	1919	1994	2533	3187	3308		595096	614016	636512	738666	769852	887015	1000969	1196535	1155666	1336660	1696751	1556976	1423645	1563102	1710746	1719017	1801389		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	1275	728	887	1185	869	1416	1143	1041	697	1222	1188	1179	1473	7228	2333	4645	3523		1847752	1719242	1738896	2087623	2128999	2221911	2374926	2380484	1609211	1868384	1967585	1922302	1991669	2142104	2048721	1892699	1941480		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	490	562	974	1627	673	1529	3096	1732	991	683	1365	1877	2234	2291	2980	3766	3787		135967	130669	134015	136501	135160	121999	124609	123206	75227	84831	91690	83371	92365	100181	98492	94225	94527		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
18	"Cocoa and cocoa preparations"	345	1502	4226	5299	2373	2870	3802	3095	3253	3282	3100	3194	3318	3762	2897	2484	3946		869390	1087244	1273791	1435182	1649845	1712793	2089120	2326434	2331407	2355644	2448718	2254913	2416166	2776395	2638517	2517449	2624300		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
99	"Commodities not elsewhere specified"	281	260	2667	11119	8544	11617	8491	9152	28708	8025	8637	7704	8593	15300	7785	6832	4188		5188827	2625357	3066771	3785861	3818149	4255895	40748041	5703764	4851461	4971254	6959212	7639649	6719949	9489171	5601171	10741761	10069148		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
95	"Toys, games and sports requisites; parts and accessories thereof"	714	202	139	181	152	875	1530	1355	421	317	1145	912	1593	2065	2405	3711	4798		3526108	4206744	4482215	5065394	5779157	6286219	8595216	8620074	7468154	7316587	7021257	5432285	5611611	6646852	6350966	6148967	6336672		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
44	"Wood and articles of wood; wood charcoal"	1032	1327	951	2151	1481	1392	1208	4789	2272	1653	2747	1865	1694	2889	2046	4921	5037		3850324	4321584	4983866	5679805	5845651	5945779	7440909	6195685	4576367	5298918	5345384	4888318	5765455	6982921	6916853	6619549	6941529		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
43	"Furskins and artificial fur; manufactures thereof"	647	741	2056	1693	2558	2052	1224	1217	1491	5100	9821	6161	8635	8614	6771	5959	6089		57849	67596	73486	83241	86473	93969	83343	69733	49139	57384	72638	79292	95473	108745	87250	79605	102575		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
38	"Miscellaneous chemical products"	185	303	479	1937	1723	1619	4621	2374	2005	4805	5342	6710	5127	4590	5196	5107	6101		2904847	2959795	3300080	3877287	4024452	4149740	4643611	6190173	5773696	5443426	6117853	5523347	5652304	5989201	5073275	4598469	5019088		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
