Product code	Product label	Turkey's exports to Italy-Value in 2001	Turkey's exports to Italy-Value in 2002	Turkey's exports to Italy-Value in 2003	Turkey's exports to Italy-Value in 2004	Turkey's exports to Italy-Value in 2005	Turkey's exports to Italy-Value in 2006	Turkey's exports to Italy-Value in 2007	Turkey's exports to Italy-Value in 2008	Turkey's exports to Italy-Value in 2009	Turkey's exports to Italy-Value in 2010	Turkey's exports to Italy-Value in 2011	Turkey's exports to Italy-Value in 2012	Turkey's exports to Italy-Value in 2013	Turkey's exports to Italy-Value in 2014	Turkey's exports to Italy-Value in 2015	Turkey's exports to Italy-Value in 2016	Turkey's exports to Italy-Value in 2017	Italy's imports from world- 	Italy's imports from world-Value in 2001	Italy's imports from world-Value in 2002	Italy's imports from world-Value in 2003	Italy's imports from world-Value in 2004	Italy's imports from world-Value in 2005	Italy's imports from world-Value in 2006	Italy's imports from world-Value in 2007	Italy's imports from world-Value in 2008	Italy's imports from world-Value in 2009	Italy's imports from world-Value in 2010	Italy's imports from world-Value in 2011	Italy's imports from world-Value in 2012	Italy's imports from world-Value in 2013	Italy's imports from world-Value in 2014	Italy's imports from world-Value in 2015	Italy's imports from world-Value in 2016	Italy's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
31	"Fertilisers"	1176	6574	3543	7476	6368	5797	12094	48408	18014	23473	13644	16085	1420	16993	11879	1888	3076		465508	520542	597443	682622	660074	728718	1011731	1341379	879315	919878	1085567	1132403	1057966	994806	946166	800076	797818		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	11154	11781	14377	14386	10546	8634	11734	9579	5324	4807	7793	7543	7671	7533	7113	4714	3663		1445615	1289758	1404982	1621523	1551387	1652480	1752890	1676012	1077405	1444258	2016952	1574630	1621549	1650216	1406966	1411516	1535367		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
99	"Commodities not elsewhere specified"	0	72	2041	1885	4425	3556	2347	4640	3742	4287	3845	3067	3765	5708	4719	3352	3848		10280684	10299104	16393562	12307387	16516294	24589151	24248045	35347558	1432591	1559047	1973812	1053430	1186652	1287421	1114340	1203570	1298670		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	886	902	944	1473	1683	2371	3653	3799	1674	1995	2523	2429	3139	3982	2590	4159	3971		1134763	1127774	1278154	1501304	1561585	1664782	1885383	1996648	1304555	1488663	1749806	1511603	1564806	1704905	1520845	1524364	1684031		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
18	"Cocoa and cocoa preparations"	193	372	380	8016	8288	3221	227	268	1614	158	40	63	10	521	2753	4068	4347		333735	422702	623459	622370	677056	701845	848888	938734	961891	1093262	1253684	1141762	1144622	1288752	1230365	1269315	1289683		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
95	"Toys, games and sports requisites; parts and accessories thereof"	272	1053	743	525	514	906	1008	2226	1095	1718	2685	1883	3455	3169	2505	3904	4359		1173535	1214930	1497659	1825856	1997004	2074133	2549101	2931974	2806283	3030631	3097134	2570404	2330648	2492857	2358939	2463269	2477808		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
30	"Pharmaceutical products"	1008	883	350	312	3225	4759	3202	3202	3669	20019	3103	1890	1793	2921	3089	3809	4887		5907556	7340306	9177834	11132714	11713093	13225362	15399985	17501210	18654284	18681848	21718396	20578104	21256387	21543741	20628180	21288771	23208239		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
38	"Miscellaneous chemical products"	1005	1211	2350	3044	4333	5656	6759	5237	4132	4976	3183	2560	4418	4214	3791	4510	4896		2545145	2774259	3443251	4068584	4081915	4360041	4923326	5630116	5253230	6033468	7447973	6892837	6305147	6003885	5290355	5353390	6244875		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
78	"Lead and articles thereof"	870	555	226	2523	756	547	165	237	517	253	980	744	753	640	2416	5501	5140		58383	70431	63475	122568	98729	193315	334848	292144	184605	278898	327666	236507	202474	244982	218584	222020	295884		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
10	"Cereals"	21435	4003	4772	8256	12346	38456	8371	11209	31231	42973	12335	11924	19075	29141	25998	6876	5895		1342222	1410524	1697639	2038817	1659328	2001101	2933891	3684196	2622717	2712703	4007098	3205838	3648386	3996181	3199999	3055044	3224155		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
