Product code	Product label	Turkey's exports to Belgium-Value in 2001	Turkey's exports to Belgium-Value in 2002	Turkey's exports to Belgium-Value in 2003	Turkey's exports to Belgium-Value in 2004	Turkey's exports to Belgium-Value in 2005	Turkey's exports to Belgium-Value in 2006	Turkey's exports to Belgium-Value in 2007	Turkey's exports to Belgium-Value in 2008	Turkey's exports to Belgium-Value in 2009	Turkey's exports to Belgium-Value in 2010	Turkey's exports to Belgium-Value in 2011	Turkey's exports to Belgium-Value in 2012	Turkey's exports to Belgium-Value in 2013	Turkey's exports to Belgium-Value in 2014	Turkey's exports to Belgium-Value in 2015	Turkey's exports to Belgium-Value in 2016	Turkey's exports to Belgium-Value in 2017	Belgium's imports from world- 	Belgium's imports from world-Value in 2001	Belgium's imports from world-Value in 2002	Belgium's imports from world-Value in 2003	Belgium's imports from world-Value in 2004	Belgium's imports from world-Value in 2005	Belgium's imports from world-Value in 2006	Belgium's imports from world-Value in 2007	Belgium's imports from world-Value in 2008	Belgium's imports from world-Value in 2009	Belgium's imports from world-Value in 2010	Belgium's imports from world-Value in 2011	Belgium's imports from world-Value in 2012	Belgium's imports from world-Value in 2013	Belgium's imports from world-Value in 2014	Belgium's imports from world-Value in 2015	Belgium's imports from world-Value in 2016	Belgium's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
78	"Lead and articles thereof"	10	1	2	233	1101	812	485	0	9	4	229	195	14	16	712	758	639		48904	39630	38298	56428	58233	93481	233244	150256	126655	169566	293258	297304	192468	212441	146239	151067	163474		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
65	"Headgear and parts thereof"	63	115	132	186	91	146	266	167	131	314	363	346	613	809	471	545	705		69150	81549	99170	114704	124002	132845	138209	171135	143259	153342	167534	140731	153350	155845	149537	184217	208023		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
43	"Furskins and artificial fur; manufactures thereof"	863	1047	1256	1222	1358	1421	899	673	875	809	1459	1737	1274	896	821	696	742		23005	13472	18046	20924	30718	31837	31404	23507	27655	32863	48269	41301	32750	38617	25205	17342	21822		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
31	"Fertilisers"	0	1766	3	0	28	30	62	0	47	0	2	174	623	648	2251	209	751		423216	445719	574643	613820	688726	791981	963043	1919200	1104793	1361605	1780379	1551351	1711870	1410818	1261596	1024300	1171406		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	197	544	852	651	0	48	0	91	0	76	5	55	1444	514	14	106	752		1926729	1965017	2415571	2730619	2636300	2697310	3418053	3616972	3018615	3359439	4089892	3689521	4536753	4368172	3243938	3390392	4232561		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	150	210	63	76	193	312	360	615	464	599	438	249	444	313	333	501	813		213071	192089	239747	256568	225854	212855	224485	178626	138194	182989	182507	133534	180802	205131	168952	159543	156200		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	264	285	355	508	427	387	764	1215	1154	869	1866	1421	1407	1560	988	804	1020		742266	752501	887068	1036034	1191761	1350983	1613010	1774514	1336058	1444704	1706649	1608061	1881584	1835587	1506299	1585816	1671286		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
38	"Miscellaneous chemical products"	22	23	153	314	117	346	1117	16591	2523	5616	2660	822	666	4065	1981	2852	1045		2015701	2227482	2696977	3158567	3307435	3872156	4616017	5805429	4918932	5094841	6104651	5839529	6038115	5980684	5398056	5327712	6123039		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	1784	745	451	370	422	299	351	8	182	255	386	891	2542	977	692	1449	1057		6715	7560	7508	10811	11638	14076	16114	19530	20400	19832	22779	22980	25453	21900	19766	20655	20113		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
44	"Wood and articles of wood; wood charcoal"	440	149	212	811	371	326	553	561	583	797	614	1218	567	690	652	1039	1257		1581165	1590350	1931607	2261060	2395733	2674541	3451605	3298712	2651314	2775431	3172226	2975058	3137725	3180877	2726639	2797093	2909115		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
