Product code	Product label	Turkey's imports from Iran, Islamic Republic of-Value in 2001	Turkey's imports from Iran, Islamic Republic of-Value in 2002	Turkey's imports from Iran, Islamic Republic of-Value in 2003	Turkey's imports from Iran, Islamic Republic of-Value in 2004	Turkey's imports from Iran, Islamic Republic of-Value in 2005	Turkey's imports from Iran, Islamic Republic of-Value in 2006	Turkey's imports from Iran, Islamic Republic of-Value in 2007	Turkey's imports from Iran, Islamic Republic of-Value in 2008	Turkey's imports from Iran, Islamic Republic of-Value in 2009	Turkey's imports from Iran, Islamic Republic of-Value in 2010	Turkey's imports from Iran, Islamic Republic of-Value in 2011	Turkey's imports from Iran, Islamic Republic of-Value in 2012	Turkey's imports from Iran, Islamic Republic of-Value in 2013	Turkey's imports from Iran, Islamic Republic of-Value in 2014	Turkey's imports from Iran, Islamic Republic of-Value in 2015	Turkey's imports from Iran, Islamic Republic of-Value in 2016	Turkey's imports from Iran, Islamic Republic of-Value in 2017	Iran, Islamic Republic of's exports to world- 	Iran, Islamic Republic of's exports to world-Value in 2001	Iran, Islamic Republic of's exports to world-Value in 2002	Iran, Islamic Republic of's exports to world-Value in 2003	Iran, Islamic Republic of's exports to world-Value in 2004	Iran, Islamic Republic of's exports to world-Value in 2005	Iran, Islamic Republic of's exports to world-Value in 2006	Iran, Islamic Republic of's exports to world-Value in 2007	Iran, Islamic Republic of's exports to world-Value in 2008	Iran, Islamic Republic of's exports to world-Value in 2009	Iran, Islamic Republic of's exports to world-Value in 2010	Iran, Islamic Republic of's exports to world-Value in 2011	Iran, Islamic Republic of's exports to world-Value in 2012	Iran, Islamic Republic of's exports to world-Value in 2013	Iran, Islamic Republic of's exports to world-Value in 2014	Iran, Islamic Republic of's exports to world-Value in 2015	Iran, Islamic Republic of's exports to world-Value in 2016	Iran, Islamic Republic of's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
8514	"Industrial or laboratory electric furnaces and ovens, incl. those functioning by induction ..."	151	120	16	12	0	0	0	0	85	0	0	1	0	7	0	0	29		12	33	7	508	102	130	290	70	981	94	1528	22	270	173		51	156		25546	12582	36778	32472	45802	56667	59728	68244	95415	67387	117821	76897	69665	62859	75110	61219	60283	
5112	"Woven fabrics of combed wool or of combed fine animal hair (excluding fabrics for technical ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	32		41	10	0	193	8	0	0	24	0	72	0	0	44	0		252	34		54777	70557	98813	156134	153560	141294	161460	162995	101617	110891	145120	115705	91730	95518	87496	70048	74985	
2827	"Chlorides, chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33		11	11	138	72	47	24	28	543	59	123	107	72	42	101		78	170		5347	6497	7192	8796	11304	10970	17911	16400	12205	23785	21670	18054	20508	20240	16947	18655	20024	
0811	"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not ..."	0	0	6	13	0	0	0	0	0	0	0	0	28	14	2	1	34		17	97	20	0	16	39	67	17	44	0	637	0	43	89		1145	81		126	77	213	372	588	421	1336	2549	1085	2302	4068	3613	2800	5358	7491	7400	6844	
5109	"Yarn of wool or fine animal hair, put up for retail sale"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34		353	4591	11775	18697	16047	21122	17088	12762	12013	6895	3895	3528	4313	4493		329	51		283	135	137	89	12	321	693	1308	107	268	326	299	393	825	767	389	312	
8460	"Machine tools for deburring, sharpening, grinding, honing, lapping, polishing or otherwise ..."	0	0	7	44	21	3	0	8	0	0	0	0	0	0	0	0	35		25	5	6	22	62	630	11	3	744	95	63	120	39	131		132	64		35248	37746	20060	57204	60791	69770	74410	91547	43137	67389	77733	102397	99782	81916	80654	85197	70037	
2007	"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, ..."	0	0	0	0	2	6	0	138	5	0	3	13	3	188	98	64	35		721	932	1203	1256	3114	7711	15355	26188	71598	69589	64858	57094	62206	67999		51511	4364		821	1358	1489	2445	6211	5153	7323	11800	4311	7171	8086	7229	5563	5217	12807	9742	8355	
4003	"Reclaimed rubber in primary forms or in plates, sheets or strip"	12	11	0	0	9	0	12	41	0	0	116	180	70	25	9	27	36		9	0	0	0	8	0	2	7	0	6	151	144	40	34		63	36		473	525	523	981	1275	1858	3854	4796	3128	5550	9259	8950	8862	8953	6011	4875	6026	
2833	"Sulphates; alums; peroxosulphates "persulphates""	0	7	0	0	0	3	0	31	18	0	35	0	0	0	12	73	36		876	478	1103	1196	3545	1239	1162	1932	553	2684	17979	6710	1956	429		2621	158		4839	4962	6707	10736	15467	17725	23610	26695	21503	29327	46374	34577	36145	38187	34421	27870	29879	
6807	"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch"	0	0	0	0	0	132	5	0	0	0	26	42	96	36	32	30	37		2947	2858	2766	2110	4169	6528	10120	8096	18129	25363	26803	37324	52248	50085		30735	733		6359	8051	8916	12370	15702	29442	21746	22950	23880	24537	23249	18277	20820	19049	14349	13308	15833	
