Product code	Product label	Turkey's imports from Poland-Value in 2001	Turkey's imports from Poland-Value in 2002	Turkey's imports from Poland-Value in 2003	Turkey's imports from Poland-Value in 2004	Turkey's imports from Poland-Value in 2005	Turkey's imports from Poland-Value in 2006	Turkey's imports from Poland-Value in 2007	Turkey's imports from Poland-Value in 2008	Turkey's imports from Poland-Value in 2009	Turkey's imports from Poland-Value in 2010	Turkey's imports from Poland-Value in 2011	Turkey's imports from Poland-Value in 2012	Turkey's imports from Poland-Value in 2013	Turkey's imports from Poland-Value in 2014	Turkey's imports from Poland-Value in 2015	Turkey's imports from Poland-Value in 2016	Turkey's imports from Poland-Value in 2017	Poland's exports to world- 	Poland's exports to world-Value in 2001	Poland's exports to world-Value in 2002	Poland's exports to world-Value in 2003	Poland's exports to world-Value in 2004	Poland's exports to world-Value in 2005	Poland's exports to world-Value in 2006	Poland's exports to world-Value in 2007	Poland's exports to world-Value in 2008	Poland's exports to world-Value in 2009	Poland's exports to world-Value in 2010	Poland's exports to world-Value in 2011	Poland's exports to world-Value in 2012	Poland's exports to world-Value in 2013	Poland's exports to world-Value in 2014	Poland's exports to world-Value in 2015	Poland's exports to world-Value in 2016	Poland's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
4908	"Transfers "decalcomanias""	5	0	0	0	2	2	4	16	46	39	0	10	2	1	0	10	2		989	1533	1878	1889	2284	1808	3672	3761	4546	4071	3814	2309	2409	1959	1798	1524	1229		8804	13965	16514	19420	18977	17223	17881	16834	11782	12045	17064	20782	27876	30417	21046	18598	14320	
6113	"Garments, knitted or crocheted, rubberised or impregnated, coated or covered with plastics ..."	0	0	0	0	0	0	7	0	0	4	4	4	11	10	0	0	2		1349	739	820	1561	1552	1439	2379	2762	1572	2096	2493	2172	1879	3191	4543	4125	6195		183	160	427	642	663	763	961	1372	1533	2057	2737	2389	3717	4594	4868	5537	4919	
6005	"Warp knit fabrics "incl. those made on galloon knitting machines", of a width of > 30 cm  (excluding ..."	0	254	65	28	4	0	0	5	1	0	16	630	2	163	557	571	2		0	8235	12927	14850	9810	12348	16351	17605	12046	10714	13246	13776	23031	28786	26242	32414	36683		0	12029	17293	25235	31920	43577	41424	34719	37755	47886	73777	39821	61476	50480	71525	121520	146904	
5515	"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, other ..."	0	68	9	49	66	0	205	75	0	19	3262	5209	12981	12477	3085	7	2		8330	9412	6293	10232	13781	11079	16919	13961	10485	13763	17282	18135	22246	23351	20478	21033	28499		39471	84814	81109	91705	76393	88637	102322	99851	101692	144183	139121	114691	129470	125760	98203	84003	79449	
8437	"Machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables; machinery ..."	0	0	0	0	0	0	0	5	0	0	47	137	0	0	0	2	2		1601	3258	5323	6237	17296	9971	12289	19179	10342	9975	7475	9677	15149	19571	10804	8169	11235		4607	8330	10537	12367	17611	23549	15881	23235	19240	23356	37215	33617	33119	28140	24883	25994	35000	
9611	"Hand-operated date, sealing or numbering stamps, and the like; hand-operated composing sticks ..."	13	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2		332	338	372	721	636	533	591	1680	222	1036	1381	1310	1543	3135	6042	9634	10163		853	1253	1523	2000	2495	1668	2204	2561	1708	1862	2116	2044	2026	2298	1865	1520	1718	
0709	"Other vegetables, fresh or chilled (excluding potatoes, tomatoes, alliaceous vegetables, edible ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		59616	74980	114563	174954	199795	238749	334978	363921	326432	365240	392906	387446	470519	459356	383739	377767	402601		30	52	141	240	389	472	968	3007	1910	1388	2458	2217	2891	2597	1887	1690	1315	
4014	"Hygienic or pharmaceutical articles, incl. teats, of vulcanised rubber (excluding hard rubber), ..."	21	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	2		1104	1010	865	1617	2382	5344	4039	6765	5465	7170	5552	3993	4990	4507	6606	8847	10846		4140	5192	8891	8475	9368	11660	11245	13241	9613	10867	11890	12778	13683	12901	12138	11532	12501	
6301	"Blankets and travelling rugs of all types of textile materials (excluding table covers, bedspreads ..."	0	0	0	0	0	0	0	1	13	27	151	12	6	0	0	0	2		5805	4055	5585	9451	9541	7511	8776	10703	12232	14054	14810	14781	18254	25480	24784	29633	37256		3262	3998	3745	4014	3852	3792	2670	3002	2455	3726	4293	5966	7231	4257	4709	3714	2629	
6103	"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches ..."	0	1	1	7	18	1	2	1	1	12	9	39	6	4	0	393	2		9182	7828	8476	12121	10700	10327	12131	16203	11237	12128	12540	14433	27378	30830	43423	42388	48956		2688	1707	2802	3217	4228	5773	8184	14545	13705	24437	23809	22276	30541	34391	35799	41947	44759	
8470	"Calculating machines and pocket-size "dimensions <= 170 mm x 100 mm x 45 mm" data recording, ..."	0	0	0	116	173	3	6	1	0	0	0	0	0	0	15	0	2		940	8978	3056	9100	20510	23545	17783	30300	10596	4226	2698	7747	11022	41083	21404	25449	23594		43467	63827	62982	131481	108894	105773	124578	165853	114414	119036	133528	111534	129549	91594	110404	109780	80750	
7006	"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ..."	0	0	0	12	0	0	0	4	0	0	0	2	1	0	1	1	2		2845	3567	5661	6924	8732	11493	8056	7168	6242	6433	10407	6997	8443	10727	8360	9478	8912		2454	4050	6279	9224	13480	14942	16838	19399	16295	19005	23127	22478	22933	25694	21778	25445	32403	
6209	"Babies' garments and clothing accessories of textile materials (excluding knitted or crocheted ..."	0	0	0	0	1	4	0	3	1	9	2	5	7	4	5	7	3		4539	4585	3526	4728	4080	5002	6492	12790	13632	15710	20413	18622	26545	32368	40623	42435	48603		992	2995	1143	1525	2903	3668	6322	8774	13130	15131	19701	14351	19477	20614	21388	23509	16497	
4401	"Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chips or particles; sawdust ..."	0	0	0	6	4	6	0	14	0	10	0	13	12	0	1	3	3		7619	10167	18356	24620	29289	55430	67507	71110	77897	86864	84914	60856	130566	142737	123475	107645	128410		3544	9135	26601	54987	71674	125860	148705	153768	129127	161452	190033	316104	207551	225878	316863	234983	198288	
0106	"Live animals (excluding horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, ..."	0	0	0	1	0	0	0	9	0	0	1	4	10	1	0	5	3		2297	2540	3448	5788	5578	6182	8434	10684	7872	7859	7302	9599	10814	12225	7488	6703	5914		725	1015	730	1052	859	1160	1530	2002	1385	1451	2271	2632	2525	3202	3550	3401	3333	
9022	"Apparatus based on the use of X-rays or of alpha, beta or gamma radiations, whether or not ..."	0	0	0	0	0	0	78	403	2	1	546	965	6897	9	4	3	3		6656	6033	5324	6368	6702	11976	10104	12499	14187	10813	36710	60103	56426	26944	25844	27139	36644		46341	49994	64922	105484	151439	192572	212241	247762	189404	207277	238809	220030	241218	249956	270155	248577	277606	
6603	"Parts, trimmings and accessories for umbrellas and sun umbrellas of heading 6601 or for walking ..."	0	19	7	0	0	0	0	0	0	1	0	0	0	0	3	3	3		501	1253	1613	2142	2297	3335	4955	4340	3787	3396	3900	3235	4546	5153	5928	6861	6840		737	1076	1878	3247	3798	3979	4190	7333	5428	3827	5009	2644	2999	3876	5127	1914	1104	
9206	"Percussion musical instruments, e.g. drums, xylophones, cymbals, castanets, maracas"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3		0	0	0	80	106	44	69	53	75	29	35	19	106	168	1208	1588	1694		234	463	479	716	1217	1176	1344	1723	1056	1646	2047	1704	1500	1472	1067	1048	1080	
8108	"Titanium and articles thereof, n.e.s.; titanium waste and scrap (excluding ash and residues ..."	20	0	0	0	0	0	0	3	2	9	0	1	0	1	0	1	3		0	311	51	543	1982	2955	2201	2092	1130	1492	1632	2260	1994	4105	4216	8610	11240		2406	1954	2576	8745	10084	18602	25411	25048	25990	28157	37185	44320	61312	65784	56994	79195	86193	
