Product code	Product label	Turkey's imports from Japan-Value in 2001	Turkey's imports from Japan-Value in 2002	Turkey's imports from Japan-Value in 2003	Turkey's imports from Japan-Value in 2004	Turkey's imports from Japan-Value in 2005	Turkey's imports from Japan-Value in 2006	Turkey's imports from Japan-Value in 2007	Turkey's imports from Japan-Value in 2008	Turkey's imports from Japan-Value in 2009	Turkey's imports from Japan-Value in 2010	Turkey's imports from Japan-Value in 2011	Turkey's imports from Japan-Value in 2012	Turkey's imports from Japan-Value in 2013	Turkey's imports from Japan-Value in 2014	Turkey's imports from Japan-Value in 2015	Turkey's imports from Japan-Value in 2016	Turkey's imports from Japan-Value in 2017	Japan's exports to world- 	Japan's exports to world-Value in 2001	Japan's exports to world-Value in 2002	Japan's exports to world-Value in 2003	Japan's exports to world-Value in 2004	Japan's exports to world-Value in 2005	Japan's exports to world-Value in 2006	Japan's exports to world-Value in 2007	Japan's exports to world-Value in 2008	Japan's exports to world-Value in 2009	Japan's exports to world-Value in 2010	Japan's exports to world-Value in 2011	Japan's exports to world-Value in 2012	Japan's exports to world-Value in 2013	Japan's exports to world-Value in 2014	Japan's exports to world-Value in 2015	Japan's exports to world-Value in 2016	Japan's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
4108	"Chamois leather, incl. combination chamois leather(excluding glace-tanned leather subsequently ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4110	"Parings and other waste of leather, parchment-dressed leather or composition leather, not suitable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4111	"Composition leather based on leather or leather fibre, in slabs, sheets or strip, whether or ..."	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4417	"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe ..."	0	1	0	0	0	31	0	0	0	0	0	0	0	0	4	0	0		257	236	215	193	165	407	1029	415	611	827	1152	834	741	976	744	968	1062		223	221	204	423	718	981	909	1099	928	1275	1555	1721	2280	2159	2813	2829	2300	
4015	"Articles of apparel and clothing accessories, incl. gloves, mittens and mitts, for all purposes, ..."	0	0	0	0	1	3	2	1	1	1	0	3	0	2	0	1	0		2648	1866	2519	3831	3529	3686	2916	3011	2704	3130	3641	3109	2756	2910	2769	3463	3892		7436	10530	11169	22453	22511	30608	45747	48461	54963	76639	104993	108755	109230	109732	126392	136154	156584	
4903	"Children's picture, drawing or colouring books"	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0		327	225	288	560	217	2026	1910	1285	1479	950	585	555	499	454	548	395	484		49	82	179	527	576	902	1363	1156	1467	2165	2992	4111	2457	3091	2916	3035	4159	
5105	"Wool and fine or coarse animal hair, carded or combed, incl. combed wool in fragments"	0	0	0	0	0	0	10	1	7	14	32	0	0	0	0	0	0		1704	2650	3588	2170	1860	990	2643	2845	2378	1825	1866	1327	847	865	513	816	589		48616	69810	95583	92230	102632	116574	139445	127747	80779	114134	139725	132195	117377	120372	93495	84494	93180	
5110	"Yarn of coarse animal hair or of horsehair, incl. gimped horsehair yarn, whether or not put ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		19	68	328	3	8	0	2	0	0	9	15	3	10	20	29	2	0		1	0	128	0	0	0	70	172	140	0	298	620	560	679	597	564	91	
4813	"Cigarette paper, whether or not cut to size or in the form of booklets or tubes"	491	342	916	275	0	0	0	0	0	0	0	0	0	0	0	0	0		2642	4608	7190	8404	7211	8174	11118	14359	7117	8168	8063	8480	7164	5818	4120	7338	6062		28155	26431	33648	35712	35936	36233	41600	51228	54031	55469	51505	60949	63655	67117	61612	63879	68855	
5305	"Coconut, abaca "Manila hemp or Musa textilis Nee", ramie, agave and other vegetable textile ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		11	3	109	34	0	2	0	11	41	3	15	4	63	13	0	0	0		28	22	15	182	477	467	862	609	295	277	420	601	512	321	480	300	189	
5608	"Knotted netting of twine, cordage or rope, by the piece or metre; made-up fishing nets and ..."	45	11	684	57	13	18	29	2	378	0	0	0	0	133	0	0	0		25159	24358	28891	31811	39549	44467	42493	45370	47979	55514	70933	70729	65444	62381	59964	71016	76103		1498	2525	4737	4855	7139	8614	11772	9118	6029	9884	15029	11635	8478	6919	10178	11087	11324	
5901	"Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers ..."	0	0	0	0	1	0	1	0	0	0	0	0	0	24	5	5	0		1299	1392	1820	2461	2586	1976	1959	2125	1303	1373	1453	1132	913	965	462	413	364		691	1077	1280	1224	1477	1316	1880	2397	1937	3063	4412	4159	4776	4026	1806	1236	1399	
5904	"Linoleum, whether or not cut to shape; floor coverings consisting of a coating or covering ..."	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		754	188	22	47	79	85	128	152	4	52	0	0	4	12	10	6	2		182	431	241	359	345	746	408	708	645	1194	334	1127	1682	863	715	912	1050	
5513	"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ..."	0	120	3	0	6	0	39	36	3	2	4	7	27	0	0	0	0		73202	63690	68860	77778	85050	75418	76295	68809	59192	64702	95423	78247	53582	54361	52193	54195	51555		16825	28046	36305	67820	77830	91247	89570	88103	84508	89439	96250	48092	53444	47145	32804	27376	30168	
5514	"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ..."	0	6	9	0	0	13	55	15	46	2	0	1	0	7	0	4	0		51450	44061	58150	67393	60927	66929	64820	58565	51418	59343	78570	72400	51293	63536	52548	57240	59469		6645	8515	5933	5561	6712	7335	7635	7125	7990	20511	14529	10800	10759	11522	9938	7234	6987	
6212	"Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, ..."	587	2625	2901	761	0	2	1	0	0	0	0	4	4	0	2	1	0		53594	38732	38544	51443	33869	33732	28079	35089	31906	38162	43905	47347	34302	29135	23691	27407	30542		6178	9500	15125	21201	19568	31632	67937	76777	69929	92147	117926	34678	43585	49938	41844	43437	56715	
6401	"Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which ..."	7	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1931	1626	1430	1677	1394	1551	1257	1578	1707	2034	2411	2471	2187	2222	1982	2837	2584		155	254	382	636	816	1098	1442	1709	3278	5496	4228	4994	8355	5171	7676	4377	5621	
6501	"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	8	21	14	3	5	6	5	0	0	6	3	4	14	5	15	0		1	0	1	3	15	1	7	5	3	1	13	15	34	19	14	4	189	
6502	"Hat-shapes, plaited or made by assembling strips of any material (excluding blocked to shape, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		131	53	60	115	40	5	79	50	13	11	20	3	0	19	15	7	48		0	0	3	0	0	0	0	4	0	4	6	0	10	0	3	1	22	
6809	"Articles of plaster or of compositions based on plaster (excluding plaster bandages for straightening ..."	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0		3230	4148	3060	5056	9422	8850	10450	10389	9863	12827	12113	10119	6076	6753	5879	7337	8468		684	277	507	1697	973	1146	6160	9136	4532	5359	7359	10724	26714	20846	18424	12852	7659	
6901	"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals, e.g. kieselguhr, tripolite ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		794	1112	1032	1263	1242	894	1271	1949	1265	1628	3036	2103	2288	1321	989	1330	1126		280	404	560	974	854	919	754	245	70	206	348	363	437	312	207	286	363	
7012	"Glass inners for vacuum flasks or for other vacuum vessels"	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0		2328	1790	967	674	964	758	0	0	0	0	0	0	0	0	0	0	0		72	129	106	124	72	23	0	0	0	0	0	0	0	0	0	0	0	
7215	"Bars and rods, of iron or non-alloy steel, cold-formed or cold-finished, whether or not further ..."	0	4	0	1	0	0	0	0	0	0	0	0	0	56	8	12	0		40321	40926	46714	63226	66584	59766	58704	66706	46759	72673	79935	69544	51870	56244	53191	59243	61824		8288	10786	18270	31548	36738	41512	57000	61122	43658	62332	90145	67463	71752	68645	47768	30252	38398	
7301	"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; ..."	0	3	2	0	1	0	0	0	0	0	0	232	1	0	3	0	0		30395	27913	28956	46322	64563	84781	158847	186111	139399	185176	81511	163847	99166	107388	84694	116408	176644		1409	707	6586	592	1720	1258	2933	1145	1014	1637	1682	4338	14206	13179	2438	2596	4377	
7503	"Waste and scrap, of nickel (excluding ingots or other similar unwrought shapes, of remelted ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2351	905	1976	3207	9819	14851	17096	19164	7386	18548	25451	25861	24416	31304	27584	17985	26403		0	0	0	0	0	0	0	0	1	37	66	14	0	0	95	135	298	
7603	"Powder and flakes, of aluminium (excluding pellets of aluminium, and spangles)"	3	0	0	0	1	10	0	15	1	2	0	8	0	2	1	0	0		2409	2924	3249	3608	3905	4103	5025	5262	3683	6115	6421	4923	4302	4106	3287	3078	3448		2004	2643	3776	5369	6222	7939	9879	12488	7948	10844	16900	13003	14954	17022	14193	13755	12705	
7904	"Zinc bars, rods, profiles and wire, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0		272	311	508	629	290	980	1038	964	1021	1344	1567	1103	1154	886	669	1051	1989		1066	1062	852	740	698	801	1589	1506	1640	1614	1073	1556	1621	1301	1227	2131	2778	
8002	"Tin waste and scrap (excluding ash and residues from the manufacture of tin of heading 2620, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		691	696	1134	1200	1604	1705	1129	678	1142	940	393	450	1041	8334	1284	369	296		0	0	0	3	20	6	0	22	0	0	0	6	8	0	0	32	33	
8005	"Tin foil of a thickness "without any backing" <= 0,2 mm, whether or not printed or backed with ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		17351	20700	20145	24466	28962	28366	0	0	0	0	0	0	0	0	0	0	0		8	5	29	126	66	122	0	0	0	0	0	0	0	0	0	0	0	
8110	"Antimony and articles thereof, n.e.s.; antimony waste and scrap (excluding ash and residues ..."	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0		701	1274	3663	2733	2656	3426	3207	2891	3318	5927	7287	6785	5145	3620	2856	1103	3230		35	223	385	237	140	983	1828	2242	2093	2156	3622	3316	2963	2350	2625	1853	1667	
8601	"Rail locomotives powered from an external source of electricity or by electric accumulators"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3731	19994	2870	24244	46681	64645	3825	886	668	99	1399	1442	0	269	743	148	348		718	0	0	58	175	439	125	4781	593	339	367	533	125000	62740	47128	1195	1218	
8805	"Aircraft launching gear (excluding motor winches for launching gliders); deck-arrestor or similar ..."	0	0	0	0	0	0	0	1	0	71	0	5	116	173	9	0	0		1453	50	307	64	260	310	38	81	841	258	43	123	22	347	7802	3916	132		611	339	10414	6940	642	17026	7179	8139	14019	37090	29453	42592	54442	28740	33363	56637	40315	
9028	"Gas, liquid or electricity supply or production meters, incl. calibrating meters therefor"	176	179	12	4	2	90	17	251	980	1123	0	0	1	2	4	0	0		21838	20022	17633	21194	18845	16083	17265	19113	18824	25762	31204	32059	36718	36480	30655	46371	56802		11970	31007	37421	43836	52788	47135	41142	52644	55610	46729	47540	47778	56682	63073	50762	41368	35607	
9103	"Clocks with watch movements (excluding wrist-watches, pocket-watches and other watches of heading ..."	4	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		580	256	252	126	150	204	502	238	72	225	140	341	91	47	268	656	137		791	855	981	1109	619	276	377	321	235	287	278	316	421	419	270	272	199	
9302	"Revolvers and pistols (excluding those of heading 9303 or 9304 and sub-machine guns for military ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2	0	0	0	0	0	0	0	0	0	10	966	189	56	9	0		1992	5912	845	3256	3101	1675	5776	5199	1807	1936	3204	5948	8024	7486	2380	5633	500	
9502	"Dolls representing only human beings"	0	1	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0		3248	3230	3647	4167	5334	5773	0	0	0	0	0	0	0	0	0	0	0		4013	3977	7238	13115	15560	16821	0	0	0	0	0	0	0	0	0	0	0	
9604	"Hand sieves and hand riddles (excluding colanders)"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0		42	29	23	37	25	72	24	73	72	89	184	143	132	184	102	88	160		72	91	109	86	179	172	180	122	251	312	348	286	238	266	166	150	225	
0202	"Meat of bovine animals, frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2223	1048	2519	4935	4214	2682	4625	22848	25814	23337	29851	43977	32673	38005	40304	57092	85151		0	0	0	74	0	0	0	0	0	19004	2754	5762	3966	0	49824	0	39594	
0209	"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	43	44	0	0	0	0	0	0	0	0	3	2	0	8		0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	
0210	"Meat and edible offal, salted, in brine, dried or smoked; edible flours and meals of meat or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		46	224	132	91	197	352	240	171	173	54	26	51	18	60	3	31	69		16	10	49	7	16	0	0	0	0	0	0	68	2	0	0	0	0	
0305	"Fish, fit for human consumption, dried, salted or in brine; smoked fish, fit for human consumption, ..."	0	1	0	0	2	4	0	0	5	0	3	0	0	0	0	0	0		16059	11930	11911	17152	17357	15845	14305	17241	13911	16039	15162	12120	8526	6280	6642	7080	5701		275	335	255	618	822	1174	1363	1791	959	1336	751	601	423	389	655	544	579	
0402	"Milk and cream, concentrated or containing added sugar or other sweetening matter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		612	461	920	1463	1758	3943	10694	12358	32034	32313	10227	1309	2105	3468	2673	3449	3723		5683	8733	20660	25229	23049	38724	51663	63994	42403	37869	8388	269	230	457	517	639	539	
0403	"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		559	381	203	158	558	121	321	469	276	208	103	121	250	403	673	929	854		55	338	414	502	435	21	76	187	98	253	148	270	599	3064	985	123	303	
0410	"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10	26	31	166	189	4	142	33	47	174	114	51	61	26	31	159	37		77	209	499	207	188	133	58	171	180	430	476	267	313	456	364	451	336	
0502	"Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		187	98	16	40	127	113	78	23	2	35	24	29	61	0	2	2	20		2674	2319	2961	3238	4481	4349	5885	5755	6172	6823	7035	6722	6502	7313	6824	6611	7424	
0506	"Bones and horn-cores and their powder and waste, unworked, defatted, simply prepared, treated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		702	475	215	435	494	189	299	96	25	52	0	46	20	77	77	34	168		1	0	0	0	0	0	6	0	1	48	20	9	0	9	0	0	2	
0507	"Ivory, tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	13	22	0	18	4	0	0	5	3	117	11	0	0	0	15	56		0	3	0	0	1	0	18	1	4	17	26	24	62	33	0	11	28	
0707	"Cucumbers and gherkins, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0		6	0	0	18	1	1	16	4	0	0	0	15	0	0	180	534	1	
0713	"Dried leguminous vegetables, shelled, whether or not skinned or split"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		179	123	133	147	564	622	180	574	1762	129	163	276	132	201	186	315	359		64113	36985	14327	15201	58853	66880	78709	332831	207428	257844	282654	215283	260920	384320	370825	380383	439412	
0804	"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried"	0	0	19	0	62	0	66	23	0	0	0	11	200	208	72	0	0		0	5	0	14	69	89	319	320	303	169	88	0	7	37	157	251	289		4108	5194	3565	3904	6515	8285	11748	19848	19899	20950	27283	22907	25255	28580	30923	45874	62649	
0902	"Tea, whether or not flavoured"	2	2	0	5	0	0	0	0	2	0	0	0	0	0	0	1	0		9969	11799	13778	16732	20078	27499	29203	33284	37338	50289	60353	64424	69567	75208	85944	108921	129915		8375	2684	3941	5205	6438	7735	8158	11322	13538	21530	17732	13710	17554	16045	17015	41089	59929	
1006	"Rice"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		935303	5899	6352	12770	5768	9934	9914	19722	14145	27920	21260	34946	18130	24457	35704	32890	38807		57683	86383	122786	62025	97186	89105	112750	172790	135271	264541	152439	111346	150523	277321	166058	116207	148788	
1007	"Grain sorghum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	3	0	0	0	0	17	0	0	0	0	0	0	0	0	0		28	0	0	1	0	0	28	54	9	18	2936	278	26	102	74	0	0	
1107	"Malt, whether or not roasted"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		36	18	36	24	138	12	3	101	0	7	0	0	16	2	0	3	0		454	289	236	2410	1701	2794	1087	2246	875	4471	3401	3045	15079	15927	17865	23292	26866	
1206	"Sunflower seeds, whether or not broken"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		32	91	89	16	214	45	880	670	462	570	363	1168	956	2561	2271	1738	2250		42707	42008	153335	157376	161759	116520	260166	365145	240620	349690	589577	443959	474002	406155	237984	263005	356471	
1403	"Vegetable materials, such as broom-corn, piassava, couch-grass and istle, of a kind used primarily ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10	16	10	12	15	15	0	0	0	0	0	0	0	0	0	0	0		53	95	711	776	269	458	0	0	0	0	0	0	0	0	0	0	0	
1506	"Other animal fats and oils and their fractions, whether or not refined, but not chemically ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		546	707	600	734	1410	868	701	126	325	367	920	1341	2964	1080	915	463	350		2	6	5	5	0	0	0	13	1	1	27	41	78	72	667	661	757	
1704	"Sugar confectionery not containing cocoa, incl. white chocolate"	0	0	0	0	0	0	0	22	0	0	0	0	35	2	0	0	0		37361	39087	42610	47356	54790	50483	52730	63245	56955	60605	55282	56605	59955	74831	83888	110886	117076		4762	2523	3212	4166	4771	5015	7394	16627	15224	10074	13011	10719	13623	16895	16214	15503	17761	
2009	"Fruit juices, incl. grape must, and vegetable juices, unfermented, not containing added spirit, ..."	0	5	0	0	0	0	93	3	0	0	0	0	0	0	0	0	0		6579	4764	5051	6885	8498	6715	6069	6458	6264	9294	11342	10164	10417	12552	13902	17175	18674		4265	5382	6373	9051	11689	23547	34522	35650	17037	23752	28885	27815	29639	25880	22926	18165	16087	
2518	"Dolomite, whether or not calcined or sintered, incl. dolomite roughly trimmed or merely cut, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		247	294	418	319	253	285	617	705	817	1192	996	928	720	637	750	633	690		532	1007	1707	2315	3070	1604	1253	1455	1707	1941	1974	1574	1433	1489	1175	1209	1463	
2605	"Cobalt ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	6	0	44	0	0	0	97	42	0	0	0	0	0	0	0	103		28	30	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65	
2618	"Granulated slag "slag sand" from the manufacture of iron or steel"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4096	9143	13614	23032	32071	43510	49259	52102	48587	46790	29119	33703	57141	79992	82344	80426	73548		448	1254	430	0	16	0	3	0	0	0	0	0	0	0	0	0	0	
2621	"Slag and ash, incl. seaweed ash "kelp"; ash and residues from the incineration of municipal ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2565	3342	2828	4238	5026	4910	6809	15716	7504	10879	12182	12015	14348	13764	13351	12670	13982		0	5	33	581	153	10	33	18	13	27	14	0	34	44	509	1029	555	
2708	"Pitch and pitch coke, obtained from coal tar or from other mineral tars"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		41537	38621	53695	57661	77401	106304	128421	148032	110933	140580	119927	150673	111256	82215	45121	34790	61982		4104	1933	3180	3260	4459	1367	6979	3511	2092	6154	4298	5960	4931	995	679	1476	1071	
2304	"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0		9	64	53	64	20	9	31	107	0	76	41	41	8	455	598	576	618		84251	78913	101650	144863	134366	63853	98175	158425	152392	168923	243029	531424	627954	346499	195513	254558	281252	
2809	"Diphosphorus pentaoxide; phosphoric acid; polyphosphoric acids, whether or not chemically defined"	0	0	0	0	0	0	0	0	0	2	18	0	31	5	0	0	0		20975	19637	31320	41649	34764	37861	36592	56810	30064	26858	24609	20822	16048	18314	19678	25660	27960		36406	56627	74664	90894	98889	73283	108277	327672	135850	220159	238353	211783	152458	207520	228625	127709	131189	
2810	"Oxides of boron; boric acids"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0		724	1022	941	1206	1523	1935	2222	2542	1476	2544	1248	471	5488	4166	827	1138	962		19	25	23	61	48	66	86	67	65	62	87	69	96	123	87	116	131	
2815	"Sodium hydroxide "caustic soda", potassium hydroxide "caustic potash"; peroxides of sodium ..."	0	0	4	0	0	0	0	0	0	0	2	0	16	0	0	0	0		131441	66541	96734	104109	169508	164893	171389	236697	199755	156130	205799	175050	198681	138050	215073	210093	322854		32398	22525	28274	30282	61841	71622	81478	120722	80060	79916	109557	126296	130503	106254	98692	113407	169465	
2830	"Sulphides; polysulphides, whether or not chemically defined"	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	0		9152	7345	6872	6518	5761	6611	6563	7937	5482	8476	8430	7840	8041	5633	5272	4751	4110		1591	4071	4697	5081	6510	7734	8438	11133	5590	7050	9067	8055	9013	9544	9632	9028	10639	
2847	"Hydrogen peroxide, whether or not solidified with urea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10162	10400	9192	13251	21024	17786	23924	25307	14338	17256	19901	30562	27571	28495	24315	16756	19656		4153	2545	5532	5033	7994	5218	4782	6152	6291	2826	8075	6880	9176	8523	9752	6902	7953	
3202	"Synthetic organic tanning substances; inorganic tanning substances; tanning preparations, whether ..."	0	0	0	0	0	0	0	29	0	0	0	1	0	0	0	0	0		1028	782	548	474	347	192	239	325	210	507	279	155	263	218	140	111	265		10980	17097	22205	23311	21913	28124	33280	33110	24912	28193	32231	33561	38818	32325	20256	17411	17657	
3604	"Fireworks, signalling flares, rain rockets, fog signals and other pyrotechnic articles (excluding ..."	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		830	676	441	342	500	1162	562	444	391	320	846	638	742	671	699	922	1178		889	1147	1476	2652	6468	6016	7706	11109	5626	4541	9153	5628	8439	11938	12742	8499	7353	
4101	"Raw hides and skins of bovine "incl. buffalo" or equine animals, fresh, or salted, dried, limed, ..."	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0		6449	9151	7694	9987	14817	16181	15096	16403	20336	24369	27956	28869	33299	26374	20902	11980	16162		21526	37471	58016	51524	53198	54894	74556	47702	29427	51756	83338	54785	45230	42127	33062	42004	46099	
4113	"Leather further prepared after tanning or crusting "incl. parchment-dressed leather", of goats ..."	0	12	11	0	17	0	14	2	0	0	0	17	38	0	2	0	0		0	6627	5722	6928	6215	6866	6421	5712	4567	4699	5694	5536	4585	4218	3148	4039	3368		0	18955	23671	20202	26380	41642	44054	42653	24738	36294	44190	44377	36670	34231	17284	10507	11781	
4201	"Saddlery and harness for any animal, incl. traces, leads, knee pads, muzzles, saddle cloths, ..."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		1290	1326	1129	508	616	311	257	315	181	295	282	187	148	159	211	448	342		427	429	495	686	781	862	1126	1241	976	1701	1787	1726	1832	2036	2025	1538	2006	
4416	"Casks, barrels, vats, tubs and other coopers' products parts thereof, of wood, incl. staves"	0	0	1	0	0	0	0	6	0	2	0	0	0	0	0	0	0		504	292	566	956	262	472	327	506	348	297	267	189	202	259	360	749	875		392	511	559	653	793	683	1143	970	726	1498	1656	1250	1360	2426	712	1543	1577	
4504	"Agglomerated cork, with or without a binding substance, and articles of agglomerated cork (excluding ..."	0	0	0	0	1	2	0	2	1	0	0	0	0	4	0	1	0		522	532	895	1481	1725	1883	2430	1865	1421	2123	2415	3334	3222	3000	2699	2634	2595		1069	1636	2052	2555	2863	3688	4440	4684	3324	3812	4474	4776	4827	4956	3672	3203	3559	
5003	"Silk waste, incl. cocoons unsuitable for reeling, yarn waste and garnetted stock"	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0		643	535	2023	1860	2601	1673	2592	1569	407	646	748	171	146	133	350	6	200		0	2	1	33	65	163	177	286	383	190	338	710	830	685	864	601	410	
5102	"Fine or coarse animal hair, neither carded nor combed (excluding wool, hair and bristles used ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	7	34	210	357	260	14	33	21	9	32	21	0	0	5	2	13		98	617	332	552	655	562	656	1364	2098	2881	4724	3771	3004	2774	1656	1719	1021	
5205	"Cotton yarn other than sewing thread, containing >= 85% cotton by weight (excluding that put ..."	0	3	15	1	1	54	23	21	3	136	2	7	3	12	1	0	0		20068	23525	18159	24312	27284	22968	19657	18050	14747	20118	18084	10862	10040	10379	12592	18601	19689		81461	127453	232316	249014	258543	286348	547003	407478	276276	545001	495057	334389	435078	439525	383812	444396	571180	
5606	"Gimped yarn, gimped strip and the like of heading 5404 or 5405; chenille yarn, incl. flock ..."	5	4	1	1	0	3	16	33	10	9	3	2	2	0	44	1	0		18897	24611	20691	21037	18639	18515	15210	20086	12730	11864	18522	13786	9972	7781	6741	9711	9473		5861	5884	7576	7159	9283	8331	9711	11778	8009	13299	15903	15566	18157	24614	24166	21303	29835	
5802	"Terry towelling and similar woven terry fabrics, tufted textile fabrics (excluding narrow woven ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		638	1063	698	552	680	751	647	2377	2392	3315	5158	5017	3637	3543	2066	1810	1443		79	136	655	901	2092	1467	1178	769	726	8479	4591	2873	1219	394	363	180	449	
