Product code	Product label	Turkey's imports from Korea, Republic of-Value in 2001	Turkey's imports from Korea, Republic of-Value in 2002	Turkey's imports from Korea, Republic of-Value in 2003	Turkey's imports from Korea, Republic of-Value in 2004	Turkey's imports from Korea, Republic of-Value in 2005	Turkey's imports from Korea, Republic of-Value in 2006	Turkey's imports from Korea, Republic of-Value in 2007	Turkey's imports from Korea, Republic of-Value in 2008	Turkey's imports from Korea, Republic of-Value in 2009	Turkey's imports from Korea, Republic of-Value in 2010	Turkey's imports from Korea, Republic of-Value in 2011	Turkey's imports from Korea, Republic of-Value in 2012	Turkey's imports from Korea, Republic of-Value in 2013	Turkey's imports from Korea, Republic of-Value in 2014	Turkey's imports from Korea, Republic of-Value in 2015	Turkey's imports from Korea, Republic of-Value in 2016	Turkey's imports from Korea, Republic of-Value in 2017	Korea, Republic of's exports to world- 	Korea, Republic of's exports to world-Value in 2001	Korea, Republic of's exports to world-Value in 2002	Korea, Republic of's exports to world-Value in 2003	Korea, Republic of's exports to world-Value in 2004	Korea, Republic of's exports to world-Value in 2005	Korea, Republic of's exports to world-Value in 2006	Korea, Republic of's exports to world-Value in 2007	Korea, Republic of's exports to world-Value in 2008	Korea, Republic of's exports to world-Value in 2009	Korea, Republic of's exports to world-Value in 2010	Korea, Republic of's exports to world-Value in 2011	Korea, Republic of's exports to world-Value in 2012	Korea, Republic of's exports to world-Value in 2013	Korea, Republic of's exports to world-Value in 2014	Korea, Republic of's exports to world-Value in 2015	Korea, Republic of's exports to world-Value in 2016	Korea, Republic of's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
7508	"Articles of nickel, n.e.s. (excluding powder, flakes, bars, profiles, wire, plates, sheets, ..."	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0		1694	2549	2523	2491	4317	7852	19088	21024	24166	38815	28509	11241	9693	12365	9591	14023	20005		3546	4602	4250	24777	36190	45730	56804	78687	60831	65647	86380	98532	85147	91304	93061	91082	101293	
7611	"Reservoirs, tanks, vats and similar containers, of aluminium, for any material (other than ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0		683	1153	780	193	69	367	1802	633	964	1956	5124	4374	8589	4368	1832	996	395		473	273	333	996	875	1071	929	1658	1279	761	519	1093	1012	1857	192	519	2230	
7801	"Unwrought lead :"	0	0	341	0	0	0	0	0	0	0	1218	15930	9300	0	0	0	0		18484	25177	20229	34777	50521	53716	99202	143226	218387	239999	412291	408013	472962	615676	509227	767207	839458		22970	34578	42559	65444	78966	108398	232926	199954	142249	173209	223309	223398	216807	244590	202328	211794	304375	
7906	"Zinc tubes, pipes and tube or pipe fittings "e.g., couplings, elbows, sleeves""	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		65	32	66	39	187	103	0	0	0	0	0	0	0	0	0	0	0		18	14	15	38	145	227	0	0	0	0	0	0	0	0	0	0	0	
8007	"Articles of tin, n.e.s."	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0		1678	2120	4372	6300	7919	6317	9094	13515	11598	13888	19419	16400	18432	19094	16454	15504	14201		141	45	19	133	278	223	863	1304	397	270	293	169	287	419	169	219	137	
8105	"Cobalt mattes and other intermediate products of cobalt metallurgy; cobalt and articles thereof, ..."	0	0	20	0	0	0	0	0	0	0	0	0	195	0	0	8	0		650	347	721	2584	4380	6248	19544	26526	10703	13185	18306	13702	7822	6762	7838	11690	36622		2167	2387	4386	8883	7811	9670	14549	15971	7078	7967	8834	8393	9000	9075	8398	9079	11822	
8434	"Milking machines and dairy machinery (excluding refrigerating or heat treatment equipment, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		160	123	1638	377	422	631	361	486	561	887	1536	2613	998	5037	1190	1229	959		3806	3838	6140	9618	14304	11230	24563	21453	11312	27888	44857	35811	28183	49852	21474	23282	13229	
8454	"Converters, ladles, ingot moulds and casting machines of a kind used in metallurgy or in metal ..."	0	0	0	164	0	14328	276	731	439	3	1	369	0	0	0	0	0		30945	12918	17772	30416	38485	84374	53206	96762	62703	45415	51165	53499	49133	125906	74656	38550	40148		20924	18272	43777	29766	118346	154861	58906	92687	91787	67235	116156	62804	54475	67946	78543	46714	50207	
8465	"Machine tools, incl. machines for nailing, stapling, glueing or otherwise assembling, for working ..."	1	305	137	571	525	193	237	126	153	38	240	0	0	206	0	0	0		18655	19211	20445	29416	33657	22357	28827	35871	20772	24024	53823	33224	38959	49834	54900	51865	67237		23583	32689	71177	100824	101878	148257	123752	186109	78288	91880	187647	121555	138913	147773	96680	74608	67730	
8524	"Records, tapes and other recorded media for sound or other similarly recorded phenomena, incl. ..."	4	4	57	552	674	304	0	0	0	0	0	0	0	0	0	0	0		196340	174868	165975	238494	215162	177147	0	0	0	0	0	0	0	0	0	0	0		141296	100128	132400	128662	236238	200487	0	0	0	0	0	0	0	0	0	0	0	
8606	"Railway or tramway goods vans and wagons (excluding self-propelled and luggage vans and post ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	1972	9525	7851	8592	2992	9563	6956	6456	17991	15016	36990	11469	981	22		1458	333	2259	9372	13924	30740	12535	11789	6110	5904	19189	5187	7610	30301	3068	4415	1442	
9110	"Complete, unassembled or partly assembled watch or clock movements or movement sets; incomplete ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		138	159	44	18	134	235	242	663	814	931	1070	1095	1253	1608	1368	3482	1745		72	88	215	129	106	9	236	243	31	76	441	211	65	53	70	74	61	
9206	"Percussion musical instruments, e.g. drums, xylophones, cymbals, castanets, maracas"	0	0	0	0	0	31	0	3	5	0	1	0	0	3	0	0	0		1392	1376	1202	1513	1195	1246	1228	1482	1384	1652	1611	1275	1435	1411	1084	1268	1150		234	463	479	716	1217	1176	1344	1723	1056	1646	2047	1704	1500	1472	1067	1048	1080	
9614	"Smoking pipes, incl. pipe bowls, cigar or cigarette holders, and parts thereof, n.e.s."	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0		111	265	349	513	197	158	155	484	212	269	327	320	118	229	27	128	71		243	291	750	469	712	967	1581	1906	1947	1548	1613	1759	1840	2046	1701	2684	2934	
0408	"Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		77	11	169	3	87	16	74	134	126	104	219	31	121	2	146	87	37		544	407	142	350	260	369	266	596	805	844	610	435	448	444	369	231	280	
0409	"Natural honey"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		18	26	34	17	39	10	60	15	23	33	17	125	481	304	698	175	366		466	690	1212	639	521	126	215	4002	113	2	0	1	0	68	2	6	3	
0703	"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3787	572	466	1078	554	633	530	1022	4259	2688	500	1591	1131	7577	699	4937	613		167	911	1441	189	56	1629	4343	6730	2124	4276	10516	4634	6796	6627	8615	8065	1365	
0803	"Bananas, incl. plantains, fresh or dried"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		658	629	616	895	368	358	369	167	0	0	464	95	3	370	370	6	11		16490	25622	36350	43250	61597	75220	100749	104829	84358	95349	110436	110391	115317	102537	108339	103121	102683	
0811	"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5111	3255	3651	3454	3763	3370	3722	3068	1437	1128	1495	1818	2466	2516	1963	3437	2043		126	77	213	372	588	421	1336	2549	1085	2302	4068	3613	2800	5358	7491	7400	6844	
0814	"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		63	39	26	401	57	224	376	324	217	102	113	359	139	40	58	1	138		0	0	40	17	30	0	26	52	7	15	48	9	21	13	51	6	198	
0905	"Vanilla"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	7	11	0	0	0	0	0	0	0	1	0	23	6	1	8	120		8	0	1	0	19	45	45	53	29	41	95	165	141	243	318	181	180	
0906	"Cinnamon and cinnamon-tree flowers"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		11	57	29	21	7	23	28	7	6	48	7	9	36	29	7	10	14		163	297	300	377	255	530	500	413	581	1272	684	1061	1130	1732	1265	2083	3396	
0909	"Seeds of anis, badian, fennel, coriander, cumin or caraway; juniper berries"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7	0	1	1	0	2	0	0	35	9	24	7	8	0	4	5	51		1367	599	553	875	3008	1296	2007	1720	1375	4337	2313	4449	3693	6391	7430	10632	11596	
0206	"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3440	1135	663	1134	1463	950	1442	1206	3248	454	236	14	230	381	22	1201	279		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0208	"Meat and edible offal of rabbits, hares, pigeons and other animals, fresh, chilled or frozen ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	35	122	13	17	0	0	0	0	0	0	0	0	0		0	0	66	183	8	38	0	117	19	54	165	0	62	0	0	0	1	
0307	"Molluscs, fit for human consumption, even smoked, whether in shell or not, live, fresh, chilled, ..."	0	0	0	16	0	0	0	0	0	0	0	0	0	0	25	0	0		299478	217266	227416	274396	237644	172070	227710	255803	257601	304327	418770	327379	322117	277219	268009	324820	240203		1050	1960	2673	2707	3781	2792	3382	5329	3858	5183	14415	17312	15066	14728	18224	14763	15587	
1003	"Barley"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		29	22	18	41	8	1	102	104	139	193	235	131	135	91	100	253	545		6327	2435	15718	39814	10608	12850	13588	92092	27770	11933	13693	26706	85782	164189	48081	9807	72391	
1102	"Cereal flours (excluding wheat or meslin)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		219	369	337	481	498	573	642	727	674	985	1041	991	1512	1625	1426	1785	1700		4	5	3	6	7	21	134	99	88	99	58	61	107	41	117	160	120	
1202	"Groundnuts, whether or not shelled or broken (excluding roasted or otherwise cooked)"	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0		0	0	4	1	14	0	60	2	63	44	5	1	1	12	55	7	74		401	34	237	3578	24948	2236	20150	21448	4099	11302	20005	21976	10807	16309	58711	21485	23405	
1507	"Soya-bean oil and its fractions, whether or not refined (excluding chemically modified)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3202	6673	5552	5334	3795	3340	5318	18438	9706	23277	47466	44208	19008	8963	5598	4206	10376		56213	71738	72670	47590	105484	124146	37372	25738	10484	7339	3349	1097	7053	6165	106	63	94	
1512	"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, ..."	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0		27	71	475	112	16	57	1063	1069	23	6	16	428	8	27	27	134	317		63077	51745	54047	50576	138411	241095	140088	650122	471843	273625	629466	988450	918712	1201108	1101296	1015561	661061	
1513	"Coconut "copra", palm kernel or babassu oil and fractions thereof, whether or not refined, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7	9	0	0	213	385	33	95	12	11	19	15	27	22	87	152	202		23424	33473	41766	67206	75412	75156	92471	141968	102130	125685	191343	128825	107383	136816	104347	105375	127559	
1520	"Glycerol, crude; glycerol waters and glycerol lyes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		86	42	194	88	24	10	1196	1323	806	1438	5831	3782	9956	3736	2816	2665	2914		70	42	60	72	117	37	1843	4640	987	1365	2166	2690	1553	3326	2919	5169	5300	
1701	"Cane or beet sugar and chemically pure sucrose, in solid form"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		86473	75782	71999	74349	94007	125293	140941	127762	149156	242229	291235	262905	203158	173099	151702	168865	167620		551	919	746	789	2762	5436	3996	4408	4844	4919	5524	6075	9390	4536	76606	153378	120315	
1703	"Molasses resulting from the extraction or refining of sugar"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		148	865	332	66	24	32	25	31	141	10	6	8	12	4	244	278	34		620	7895	8753	16664	22720	14826	29251	41017	20314	16996	18815	55866	55198	75411	39310	46240	40545	
1802	"Cocoa shells, husks, skins and other cocoa waste"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	5	56	425	309	319	0	0	0	0	0	0	0	2	296	6	78	
1805	"Cocoa powder, not containing added sugar or other sweetening matter"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		111	26	7	50	117	20	166	338	297	220	304	82	70	64	121	186	165		5133	10983	20024	21496	13292	14111	19526	20460	26480	45856	71773	58329	64021	50481	49245	45678	57727	
2207	"Undenatured ethyl alcohol of an alcoholic strength of >= 80%; ethyl alcohol and other spirits, ..."	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		1259	808	943	797	3137	2405	1438	2877	2938	2856	1585	12803	651	1849	29603	15417	18354		63	96	2960	17978	28116	33827	41356	46744	48764	56824	61684	62262	67921	73227	63074	58716	64508	
2302	"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		271	198	196	111	133	85	245	79	237	1504	5870	4422	1380	93	92	45	296		3041	13565	29884	97540	50321	36266	58704	73377	42980	73353	121567	147353	192561	224758	212622	241271	320035	
2305	"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	
2507	"Kaolin and other kaolinic clays, whether or not calcined"	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0		1265	1697	1466	1831	1689	1279	1551	1787	1556	1590	2077	1515	1516	2018	1622	1753	1573		12234	16211	21217	25981	30489	34722	42195	46819	34461	47559	57459	57848	54797	60137	54765	47643	53568	
2519	"Natural magnesium carbonate "magnesite"; fused magnesia; dead-burned "sintered" magnesia, whether ..."	0	0	0	0	0	0	10	156	20	87	123	48	0	0	2	0	0		4487	4088	4573	5491	5765	5667	5387	5993	5980	12950	23986	13210	6452	4066	4507	3092	3692		8804	16138	20556	17263	25160	26329	34816	42665	29247	42385	46361	36845	39493	40807	28863	31626	34597	
2606	"Aluminium ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	65	94	60	4	0	9	95	15	0	11	62	8	54	150	37	129		3509	4383	5253	6716	9682	8347	12865	19429	7092	14710	16980	13337	15976	14307	10371	9831	16980	
2609	"Tin ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	229	0	0	137	746	0	0	75	62	91	18	231	381	227	1322	398		0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	6	0	
2701	"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"	0	923	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0		268	302	412	1790	1282	225	690	5078	482	837	7405	3819	4309	5348	4122	187	3130		297355	678154	926362	1217531	1573086	1971979	2560462	1253441	1127003	1148499	1274731	1134598	899664	826365	2956530	2627918	3899058	
2814	"Ammonia, anhydrous or in aqueous solution"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		397	139	261	5321	12771	14087	14063	17832	11698	26507	40594	46812	39758	29599	11647	9334	12973		62586	71647	105600	151351	120129	176131	223654	338732	230041	304874	331546	316023	349205	292944	240364	167627	223601	
2831	"Dithionites and sulfoxylates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1393	1206	575	557	601	813	688	2844	1346	1749	1947	4400	6067	6283	6449	5818	8239		8723	10102	10926	12870	12791	13887	15657	20881	16102	18986	18371	27454	30838	30864	25457	24102	23035	
2834	"Nitrites; nitrates"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		54	87	499	163	286	360	790	894	600	676	607	718	651	1340	2963	4209	5739		2874	7115	7526	9276	16179	20734	20078	28771	25671	40256	43563	42645	33403	44038	35408	37537	33719	
2838	"Fulminates, cyanates and thiocyanates"	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		885	988	888	374	0	8	0	0	0	0	0	0	0	0	0	0	0		119	146	197	185	228	258	0	0	0	0	0	0	0	0	0	0	0	
2851	"Inorganic compounds, incl. distilled or conductivity water and water of similar purity, n.e.s.; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		188	462	527	810	748	874	0	0	0	0	0	0	0	0	0	0	0		493	830	1582	949	644	587	0	0	0	0	0	0	0	0	0	0	0	
2913	"Halogenated, sulphonated, nitrated or nitrosated derivatives of cyclic polymers of aldehydes ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4	23	3	1	10	2	5	0	27	0	0	11	0	35	24	8	7		1286	849	1571	128	176	125	105	228	193	84	180	121	289	171	227	200	157	
3705	"Photographic plates and film, exposed and developed (excluding products made of paper, paperboard ..."	0	0	0	82	3	4	0	13	0	30	0	29	0	0	0	0	0		37765	33951	31183	44006	53587	94426	91127	80732	65926	94872	116054	149890	165078	254756	230010	244621	230058		121	134	115	187	625	496	741	322	254	239	438	351	401	505	400	481	424	
3816	"Refractory cements, mortars, concretes and similar compositions (excluding preparations based ..."	0	0	0	0	0	0	0	0	1	0	17	5	223	0	0	0	0		1595	2089	2113	1992	3252	4787	5461	3276	5096	7255	8773	12135	14925	22936	10707	15806	14606		11871	16792	15186	18147	20974	25543	35064	45207	28928	38618	52599	54340	52312	63541	47239	46423	50915	
3915	"Waste, parings and scrap, of plastics"	0	0	0	0	0	0	0	0	0	4	0	0	1	12	0	15	0		14649	9660	22774	43169	66512	88675	96228	102000	100443	65542	59341	62973	68005	65704	60878	57205	44884		10	27	101	788	5506	2395	13052	7738	3790	12985	33583	30774	30928	45342	35641	49575	76239	
4105	"Tanned or crust skins of sheep or lambs, without wool on, whether or not split (excluding further ..."	26	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0		235062	5658	3780	3680	3515	5115	2528	4348	2287	1165	152	1664	596	34	6	287	84		79817	13157	11032	9016	5531	4766	12321	17151	9651	21329	31522	24322	28101	29045	27358	13361	11860	
4408	"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ..."	0	0	0	0	3	0	56	0	0	0	0	0	0	0	0	0	0		3519	881	1208	1505	1650	1150	1386	1917	2722	2062	1810	1530	1666	1728	1733	1937	2904		2597	5192	7632	12377	13144	15999	26086	32532	20291	27867	38303	39409	41153	47666	48648	41430	48752	
4812	"Filter blocks, slabs and plates, of paper pulp"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0		48	30	146	132	62	68	10	74	516	177	218	164	171	389	401	593	634		447	514	870	1270	1753	1869	1896	1828	1256	2546	2744	2602	2786	2640	1715	1475	2265	
4815	"Floor coverings on a base of paper or paperboard, whether or not cut to size (excluding similar ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		68	20	89	5	173	62	0	0	0	0	0	0	0	0	0	0	0		3	312	9	14	10	10	0	0	0	0	0	0	0	0	0	0	0	
4904	"Music, printed or in manuscript, whether or not bound or illustrated"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		31	3	3	1	13	8	25	1	15	17	1	65	4	1	3	5	65		24	23	25	32	49	59	124	53	47	17	60	23	72	42	75	194	152	
5106	"Carded wool yarn (excluding that put up for retail sale)"	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0		25017	15589	14337	17467	16949	16556	14083	10896	13212	9423	17519	22248	17906	11631	13729	18389	13094		8290	12546	15820	15853	14088	13054	14301	15268	12313	10928	14765	12676	14167	15162	10877	9348	9801	
5112	"Woven fabrics of combed wool or of combed fine animal hair (excluding fabrics for technical ..."	120	108	34	45	8	1287	3634	2661	0	30	526	2	0	40	0	1	0		60626	69939	55379	68746	66062	52221	52647	52150	30460	35441	45145	30097	28695	30156	31411	25971	32666		54777	70557	98813	156134	153560	141294	161460	162995	101617	110891	145120	115705	91730	95518	87496	70048	74985	
5304	"Sisal and other textile fibres of the genus Agave, raw or processed, but not spun; tow and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		386	192	121	2	0	0	0	0	0	0	0	0	0	0	0	0	0		233	282	269	524	259	387	0	0	0	0	0	0	0	0	0	0	0	
5502	"Artificial filament tow as specified in Note 1 to chapter 55"	7489	13905	1320	0	0	0	0	0	0	0	0	69	779	923	594	0	0		27404	23149	17564	24614	28817	30174	25347	27874	7	36411	89137	107533	124926	110494	82485	77804	48145		58781	65970	36072	55609	45060	51626	81043	60299	70764	69529	73375	94799	98798	111281	112084	103440	108014	
5505	"Waste of man-made staple fibres, incl. noils, yarn waste and garnetted stock"	0	0	0	0	13	25	0	0	0	0	0	0	0	0	0	9	0		1637	1504	1318	1388	1205	1179	2364	1760	1460	2873	3715	1284	860	663	318	1083	597		2327	4852	8986	9932	11494	9326	13815	11082	5740	9220	11160	6724	4988	5770	4518	5631	9535	
5703	"Carpets and other textile floor coverings, tufted "needle punched", whether or not made up"	0	3	1	0	110	348	223	945	42	0	4	3	8	4	3	1	0		21395	19054	24917	24727	24534	29771	26617	18971	24320	29043	31824	30709	41322	42171	39318	37084	26556		16937	21658	26582	43888	61307	56231	52603	57154	30253	42806	48481	42465	45887	45671	43872	31309	31145	
6213	"Handkerchiefs, of which no side exceeds 60 cm (excluding knitted or crocheted)"	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0		11450	6328	8626	6184	3991	3408	4293	4040	3110	3169	3900	3682	3184	2653	2385	2217	2505		34	33	122	129	279	766	1267	1210	859	902	1075	508	615	812	731	702	788	
6503	"Felt hats and other felt headgear, made from the hat bodies, hoods or plateaux of heading 6501, ..."	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0		29	19	88	35	46	46	0	0	0	0	0	0	0	0	0	0	0		28	32	57	99	337	212	0	0	0	0	0	0	0	0	0	0	0	
6902	"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods (excluding ..."	49	0	0	1	284	0	0	0	1	0	0	16	32	29	112	0	0		8059	10269	9340	12027	10193	11077	13563	14879	16527	13651	21794	20978	25446	28249	21608	20003	20951		16733	37124	27593	36134	43931	85795	78570	97577	45326	57137	78409	102439	80835	85651	83953	51326	59099	
7204	"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excluding slag, scale and ..."	0	0	0	826	0	0	0	5	246	0	0	0	54	291	0	0	0		32484	109913	167328	163093	177021	288058	462477	502542	411124	645342	597583	318683	229623	315434	288677	291111	371991		477778	1018977	1855776	3013745	3143293	3911821	5591881	8961208	4240377	7122433	9767305	9418971	7511208	7150484	4288070	3962158	6138232	
7214	"Bars and rods, of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn ..."	0	0	0	0	1	0	0	0	0	26	0	0	0	0	0	0	0		80789	32974	32096	82489	219083	142393	148138	245413	399070	486965	541591	337661	309602	271369	162230	122452	148456		4587	6115	7577	19101	16310	21363	28610	53465	22214	61278	74466	38947	75100	54452	48843	33466	62833	
7226	"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled ..."	0	0	0	0	98	83	1315	504	711	0	418	50	30	124	87	0	0		23300	26738	45781	44191	57197	49917	63848	73563	52519	87708	68744	68228	73573	77389	83036	94266	106777		7922	9788	16255	18816	30065	38945	45782	73200	46327	67164	100357	75289	92239	67280	55172	37497	43263	
7416	"Copper springs (excluding clock and watch springs, spring washers and other lock washers)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		206	316	222	92	312	278	0	0	0	0	0	0	0	0	0	0	0		87	70	116	102	60	58	0	0	0	0	0	0	0	0	0	0	0	
7417	"Cooking or heating apparatus of a kind used for domestic purposes, non-electric, and parts ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4570	4576	4709	695	455	317	0	0	0	0	0	0	0	0	0	0	0		27	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	
7313	"Barbed wire of iron or steel; twisted hoop or single flat wire, barbed or not, and loosely ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		960	1018	607	637	559	764	1020	1079	416	511	672	666	548	348	244	194	577		488	403	211	437	715	921	1846	1434	597	3832	1082	1387	852	1234	1181	508	346	
7805	"Lead tubes, pipes and tube or pipe fittings "e.g., couplings, elbows, sleeves""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8	2	33	32	25	18	0	0	0	0	0	0	0	0	0	0	0		4	1	0	2	68	0	0	0	0	0	0	0	0	0	0	0	0	
8003	"Tin bars, rods, profiles and wire, n.e.s."	0	0	0	0	1	0	0	0	1	0	0	0	0	5	0	0	0		1883	3432	3974	9887	13661	18658	22947	21706	13208	17782	26582	22271	14779	14760	9250	9017	14202		182	470	808	1965	2264	2759	3577	2650	3058	2895	3106	3135	2988	3067	2408	1733	1531	
8004	"Tin plates, sheets and strip, of a thickness of > 0,2 mm"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		99	416	183	258	168	581	0	0	0	0	0	0	0	0	0	0	0		0	2	5	10	13	0	0	0	0	0	0	0	0	0	0	0	0	
8111	"Manganese and articles thereof, n.e.s.; manganese waste and scrap (excluding ash and residues ..."	0	0	0	0	0	0	0	0	0	0	0	0	125	355	10	0	0		417	521	94	1668	1296	622	514	1136	515	1251	1897	1297	1510	3103	2092	2743	1844		138	308	407	1013	688	893	2584	3630	1781	2786	4125	2535	3487	4527	3489	3004	5526	
8112	"Beryllium, chromium, germanium, vanadium, gallium, hafnium "celtium", indium, niobium "columbium", ..."	0	0	0	0	0	10	0	1	1	0	0	1	0	0	1	0	0		2584	948	1496	6264	60237	90946	161958	148208	74301	93057	169925	79561	88965	115403	54815	35242	57056		249	277	566	1058	982	1295	1597	4349	4624	1746	2628	2298	2612	3145	3879	4433	4030	
8304	"Filing cabinets, card-index cabinets, paper trays, paper rests, pen trays, office-stamp stands ..."	6	25	28	3	62	31	0	0	0	0	2	0	0	1	0	0	0		2048	879	337	531	326	167	172	126	283	595	356	364	1340	828	668	1212	1192		112	169	202	604	966	843	913	973	705	1078	1746	1197	1415	2059	1670	1794	1088	
8401	"Nuclear reactors; fuel elements "cartridges", non-irradiated, for nuclear reactors; machinery ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1181	116	158	69	1	101	512	3229	60451	29318	42526	59110	27742	124240	122468	126621	232469		1	2	1	23	0	0	154	0	1095	0	0	1	3	0	0	0	0	
