Product code	Product label	Turkey's imports from Belgium-Value in 2001	Turkey's imports from Belgium-Value in 2002	Turkey's imports from Belgium-Value in 2003	Turkey's imports from Belgium-Value in 2004	Turkey's imports from Belgium-Value in 2005	Turkey's imports from Belgium-Value in 2006	Turkey's imports from Belgium-Value in 2007	Turkey's imports from Belgium-Value in 2008	Turkey's imports from Belgium-Value in 2009	Turkey's imports from Belgium-Value in 2010	Turkey's imports from Belgium-Value in 2011	Turkey's imports from Belgium-Value in 2012	Turkey's imports from Belgium-Value in 2013	Turkey's imports from Belgium-Value in 2014	Turkey's imports from Belgium-Value in 2015	Turkey's imports from Belgium-Value in 2016	Turkey's imports from Belgium-Value in 2017	Belgium's exports to world- 	Belgium's exports to world-Value in 2001	Belgium's exports to world-Value in 2002	Belgium's exports to world-Value in 2003	Belgium's exports to world-Value in 2004	Belgium's exports to world-Value in 2005	Belgium's exports to world-Value in 2006	Belgium's exports to world-Value in 2007	Belgium's exports to world-Value in 2008	Belgium's exports to world-Value in 2009	Belgium's exports to world-Value in 2010	Belgium's exports to world-Value in 2011	Belgium's exports to world-Value in 2012	Belgium's exports to world-Value in 2013	Belgium's exports to world-Value in 2014	Belgium's exports to world-Value in 2015	Belgium's exports to world-Value in 2016	Belgium's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
2303	"Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of ..."	0	0	0	0	0	0	0	0	0	0	0	0	59	55	71	70	113		15844	7274	10425	11790	17546	12324	21124	30301	31874	30685	51287	85065	97575	98207	102214	108627	101515		240	1544	2670	10150	26721	43122	165791	293336	159935	198716	120643	191378	272729	228985	206710	329602	445186	
8533	"Electrical resistors, incl. rheostats and potentiometers (excluding heating resistors); parts ..."	329	467	349	183	134	124	186	102	37	192	81	96	164	143	168	115	114		84479	98022	104755	106968	90320	100856	76720	73586	53093	76207	68131	54292	67934	70673	63586	43883	48017		15728	21985	27502	35813	29836	28122	29891	28853	22273	27048	33156	34599	37403	41190	39630	39572	47381	
9614	"Smoking pipes, incl. pipe bowls, cigar or cigarette holders, and parts thereof, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	115		45	97	85	156	151	278	895	1343	404	813	1511	1821	2345	2894	2533	5196	6507		243	291	750	469	712	967	1581	1906	1947	1548	1613	1759	1840	2046	1701	2684	2934	
7609	"Aluminium tube or pipe fittings "e.g., couplings, elbows, sleeves""	271	283	117	404	395	62	0	45	2	2	6	17	10	54	44	54	115		2637	2788	2955	3732	4735	4611	5002	5722	4285	5152	7361	4328	7905	7316	7305	9525	10533		643	718	744	1983	2384	2657	7890	5618	4568	6475	8451	8949	9168	10687	9071	7953	10811	
1804	"Cocoa butter, fat and oil"	0	0	0	0	0	16	3	10	8	8	17	32	30	83	92	81	119		6009	5340	7991	10848	13763	11038	25474	21443	21899	6132	8271	24678	10899	11126	17262	20337	24032		598	1495	3498	2890	1932	10395	6597	20159	22524	29979	25815	38007	57081	68352	71043	59459	92658	
8108	"Titanium and articles thereof, n.e.s.; titanium waste and scrap (excluding ash and residues ..."	15	0	78	41	129	566	423	0	1	7	0	3	71	24	20	0	119		28899	39230	44170	49656	65622	73090	88302	74640	45507	33942	53666	52958	59529	51029	51657	45992	79451		2406	1954	2576	8745	10084	18602	25411	25048	25990	28157	37185	44320	61312	65784	56994	79195	86193	
5907	"Impregnated, coated or covered textile fabrics; painted canvas being theatrical scenery, studio ..."	696	841	983	1550	1905	1037	1458	2057	1050	931	659	877	369	208	402	21	120		75789	65108	65177	71711	70426	73355	73224	72991	35543	31772	27198	20818	24512	20530	17997	13649	12627		4621	4791	4833	4210	5904	5455	6533	11129	10489	18729	18384	16950	20880	19046	15892	16490	15854	
8903	"Yachts and other vessels for pleasure or sports; rowing boats and canoes"	0	4	1	0	2	0	14	0	981	0	0	0	0	0	73	0	120		25452	33904	50350	65844	77288	91552	140875	173149	100910	92737	83217	80838	73989	81239	82410	101031	118406		16957	17179	10045	7688	19613	26704	31537	28641	510062	38222	54642	19333	59449	27810	30736	33346	1754451	
3001	"Dried glands and other organs for organo-therapeutic uses, whether or not powdered; extracts ..."	0	0	0	0	4	82	113	0	0	0	0	0	8	1	2	1	120		4125	4956	6120	8724	6599	4314	47396	106096	90053	18447	6360	17596	23640	16976	20318	20106	13417		5973	6286	8641	9279	12462	15806	18234	12340	13794	15624	17047	19071	24645	24614	24204	29500	30449	
9706	"Antiques of > 100 years old"	94	6	125	78	64	135	108	66	20	55	85	521	113	235	259	146	121		34787	32708	31699	48493	45303	47067	42790	38904	25802	29689	26703	39187	29116	46386	29280	29252	18633		871	1216	2010	1513	3860	2360	3887	4600	2473	2775	10908	8538	5947	4255	4097	5373	3496	
