Product code	Product label	Turkey's imports from Netherlands-Value in 2001	Turkey's imports from Netherlands-Value in 2002	Turkey's imports from Netherlands-Value in 2003	Turkey's imports from Netherlands-Value in 2004	Turkey's imports from Netherlands-Value in 2005	Turkey's imports from Netherlands-Value in 2006	Turkey's imports from Netherlands-Value in 2007	Turkey's imports from Netherlands-Value in 2008	Turkey's imports from Netherlands-Value in 2009	Turkey's imports from Netherlands-Value in 2010	Turkey's imports from Netherlands-Value in 2011	Turkey's imports from Netherlands-Value in 2012	Turkey's imports from Netherlands-Value in 2013	Turkey's imports from Netherlands-Value in 2014	Turkey's imports from Netherlands-Value in 2015	Turkey's imports from Netherlands-Value in 2016	Turkey's imports from Netherlands-Value in 2017	Netherlands's exports to world- 	Netherlands's exports to world-Value in 2001	Netherlands's exports to world-Value in 2002	Netherlands's exports to world-Value in 2003	Netherlands's exports to world-Value in 2004	Netherlands's exports to world-Value in 2005	Netherlands's exports to world-Value in 2006	Netherlands's exports to world-Value in 2007	Netherlands's exports to world-Value in 2008	Netherlands's exports to world-Value in 2009	Netherlands's exports to world-Value in 2010	Netherlands's exports to world-Value in 2011	Netherlands's exports to world-Value in 2012	Netherlands's exports to world-Value in 2013	Netherlands's exports to world-Value in 2014	Netherlands's exports to world-Value in 2015	Netherlands's exports to world-Value in 2016	Netherlands's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
2618	"Granulated slag "slag sand" from the manufacture of iron or steel"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1268	1691	3244	9397	8596	10165	14251	13690	12735	8689	22826	22529	16186	18719	24551	24991	33941		448	1254	430	0	16	0	3	0	0	0	0	0	0	0	0	0	0	
2708	"Pitch and pitch coke, obtained from coal tar or from other mineral tars"	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0		9890	11905	13316	2777	2767	9174	3903	2414	409	1630	10376	35787	6470	8277	10652	10204	6908		4104	1933	3180	3260	4459	1367	6979	3511	2092	6154	4298	5960	4931	995	679	1476	1071	
2810	"Oxides of boron; boric acids"	0	0	1	8	0	0	0	0	0	3	0	0	0	11	0	0	0		0	0	0	4943	386	428	627	3077	5065	1676	887	1981	32542	39799	45211	33447	38782		19	25	23	61	48	66	86	67	65	62	87	69	96	123	87	116	131	
3604	"Fireworks, signalling flares, rain rockets, fog signals and other pyrotechnic articles (excluding ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10118	11651	9802	12386	1188	12727	20264	32638	26785	21076	40102	23291	33473	36254	40691	36596	43349		889	1147	1476	2652	6468	6016	7706	11109	5626	4541	9153	5628	8439	11938	12742	8499	7353	
3702	"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard ..."	3526	3841	4508	3893	2000	1892	469	0	4	0	65	0	0	0	0	1	0		48671	43578	80153	59312	42429	50314	37725	154119	114759	59185	46340	45206	39579	38774	32577	22574	22316		29151	34602	35870	38904	36257	34369	31452	31537	22932	21482	18442	15595	15589	9086	6045	4302	4490	
4013	"Inner tubes, of rubber"	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0		5275	6539	7586	7588	7511	7267	45855	11249	9994	10437	11974	10498	11363	9808	8111	8823	9731		5444	6572	7336	8982	12775	14114	13052	19341	13665	17497	19212	19930	17846	17635	18683	18435	16329	
4101	"Raw hides and skins of bovine "incl. buffalo" or equine animals, fresh, or salted, dried, limed, ..."	88	82	0	1058	83	64	316	151	0	26	154	0	0	0	0	0	0		187259	173044	167294	169112	165448	190532	195008	186938	162859	210913	308420	304469	286516	337893	307543	257679	269691		21526	37471	58016	51524	53198	54894	74556	47702	29427	51756	83338	54785	45230	42127	33062	42004	46099	
4416	"Casks, barrels, vats, tubs and other coopers' products parts thereof, of wood, incl. staves"	0	0	0	0	0	0	0	12	0	0	2	0	0	0	0	0	0		212	141	209	179	295	550	203	218	219	191	1315	1476	1505	4322	3570	2262	1117		392	511	559	653	793	683	1143	970	726	1498	1656	1250	1360	2426	712	1543	1577	
5003	"Silk waste, incl. cocoons unsuitable for reeling, yarn waste and garnetted stock"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	12	1	0	98	966	665	126	9	4	11	0	8	0	0	0		0	2	1	33	65	163	177	286	383	190	338	710	830	685	864	601	410	
5006	"Silk yarn and yarn spun from silk waste, put up for retail sale; silkworm gut"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		23	26	25	4	1	518	4	3	6	16	20	8	653	25	10	19	12		16	310	87	445	148	189	218	115	104	135	107	110	54	74	37	166	89	
5102	"Fine or coarse animal hair, neither carded nor combed (excluding wool, hair and bristles used ..."	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3443	4797	1462	1525	1614	2672	6152	3077	776	1318	1804	1598	1188	1674	1371	1702	1937		98	617	332	552	655	562	656	1364	2098	2881	4724	3771	3004	2774	1656	1719	1021	
5205	"Cotton yarn other than sewing thread, containing >= 85% cotton by weight (excluding that put ..."	18	19	41	168	18	138	9	0	0	1	56	0	0	27	0	0	0		4352	6519	9832	11040	9217	5698	5454	7585	4221	3436	4881	9350	38164	24523	9743	5675	6656		81461	127453	232316	249014	258543	286348	547003	407478	276276	545001	495057	334389	435078	439525	383812	444396	571180	
5403	"Artificial filament yarn, incl. artificial monofilament of < 67 decitex (excluding sewing thread ..."	562	2198	354	94	1	5	5	0	0	0	0	0	0	3	0	0	0		31684	1568	8726	11923	9759	5502	4179	7334	2570	5027	14159	8528	11098	15813	2193	15002	14296		49701	58251	58109	59504	62125	64799	93761	66981	46235	52308	65366	61902	59404	86726	58035	66700	69348	
