Product code	Product label	Turkey's imports from Brazil-Value in 2001	Turkey's imports from Brazil-Value in 2002	Turkey's imports from Brazil-Value in 2003	Turkey's imports from Brazil-Value in 2004	Turkey's imports from Brazil-Value in 2005	Turkey's imports from Brazil-Value in 2006	Turkey's imports from Brazil-Value in 2007	Turkey's imports from Brazil-Value in 2008	Turkey's imports from Brazil-Value in 2009	Turkey's imports from Brazil-Value in 2010	Turkey's imports from Brazil-Value in 2011	Turkey's imports from Brazil-Value in 2012	Turkey's imports from Brazil-Value in 2013	Turkey's imports from Brazil-Value in 2014	Turkey's imports from Brazil-Value in 2015	Turkey's imports from Brazil-Value in 2016	Turkey's imports from Brazil-Value in 2017	Brazil's exports to world- 	Brazil's exports to world-Value in 2001	Brazil's exports to world-Value in 2002	Brazil's exports to world-Value in 2003	Brazil's exports to world-Value in 2004	Brazil's exports to world-Value in 2005	Brazil's exports to world-Value in 2006	Brazil's exports to world-Value in 2007	Brazil's exports to world-Value in 2008	Brazil's exports to world-Value in 2009	Brazil's exports to world-Value in 2010	Brazil's exports to world-Value in 2011	Brazil's exports to world-Value in 2012	Brazil's exports to world-Value in 2013	Brazil's exports to world-Value in 2014	Brazil's exports to world-Value in 2015	Brazil's exports to world-Value in 2016	Brazil's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
0809	"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13	33	10	57	2	0	1	21	33	3	7	3	15	33	0	3	30		15	64	12	88	237	101	160	563	89	156	167	197	67	40	133	102	226	
1104	"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ ..."	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0		1003	295	540	619	1038	2635	10173	9059	7335	5884	7174	9921	9460	9355	9845	6945	6648		246	335	632	146	505	687	894	2023	9087	20384	26722	37235	39020	37777	42152	42478	41428	
1106	"Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading ..."	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0		879	593	1046	1197	1284	1355	2207	2803	2441	2896	3472	2995	2933	3352	3972	5742	11379		1212	878	711	547	1570	1406	1415	1910	1859	1649	2577	617	1444	849	1035	1530	2798	
1212	"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		241	205	192	220	208	195	433	325	182	250	596	525	350	540	520	543	1465		2081	3547	3910	3211	2540	4494	2380	1632	2040	1995	3571	6940	4938	8437	11613	7987	23950	
1214	"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		12	1	28	4	11	0	13	142	17	9	56	27	0	63	0	68	24		12	2	0	0	0	425	2111	0	23	2208	3030	6482	5694	1397	522	583	3533	
1502	"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5099	3951	1604	17126	14261	3834	9888	590	2053	4109	312	4472	12358	580	1151	1271	6796		32074	47237	61550	55930	68082	69605	94343	131660	84807	106988	111854	110253	55815	69058	18897	14325	15684	
1605	"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved (excluding smoked)"	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0		276	482	286	665	759	1061	157	47	6	47	52	41	124	2	0	50	0		28	140	152	395	235	221	377	263	330	1169	316	651	911	1617	2557	1693	3034	
2002	"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		9601	9866	10089	8878	7467	6003	7950	10918	6516	7581	9397	5665	4003	3419	2175	2610	2705		9	754	142	501	838	134	143	1589	2691	2789	2875	614	827	1203	1142	651	669	
2502	"Unroasted iron pyrites"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		83	121	92	196	819	217	224	239	261	201	197	135	127	67	117	131	58		17	30	46	59	47	75	91	112	43	192	155	86	126	157	289	270	279	
2511	"Natural barium sulphate "barytes"; natural barium carbonate "witherite", whether or not calcined ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13	7	13	138	17	30	12	266	72	152	227	225	304	493	1716	1904	153		101	89	65	151	368	162	262	208	177	169	579	1226	4570	5562	1961	1945	2425	
2514	"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or ..."	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0		2328	3455	2907	2840	3190	3677	4113	2771	1245	1178	1824	1313	1292	828	463	575	1124		1	9	5	20	19	306	0	38	40	166	196	127	233	78	81	113	179	
2201	"Waters, incl. natural or artificial mineral waters and aerated waters, not containing added ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		76	58	87	157	154	328	478	312	1054	166	351	308	198	136	163	150	220		87	105	106	151	206	535	744	1165	825	1099	1751	1909	3262	2467	2975	2518	2063	
2308	"Acorns, horse-chestnuts, marc and other vegetable materials and vegetable waste, vegetable ..."	0	0	0	11	11	58	112	89	42	59	0	0	0	0	0	0	0		61925	58566	64975	64308	59805	72629	100034	90264	86676	98809	105194	84833	70009	57651	70590	62418	77066		17	40	102	130	113	215	688	682	463	464	521	1475	17308	20735	3438	2422	11410	
2523	"Cement, incl. cement clinkers, whether or not coloured"	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0		6720	8121	14466	25078	43098	51928	85796	59776	20749	10133	11539	9221	11716	14468	21277	27282	11387		8857	4053	8194	17087	36323	129502	94145	36658	6041	9629	7848	12502	13334	14358	17076	16526	11259	
2613	"Molybdenum ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	549	0	0	0	379	1398	754	515	824	881	587	128	433	88	90	168		0	8	62	62	25	101	153	203	1644	841	506	104	9	410	125	8	12	
2615	"Niobium, tantalum, vanadium or zirconium ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8460	3743	1540	2014	4821	4921	7486	7356	18213	16305	30185	49823	56599	49028	44115	37636	16235		938	1618	1682	2343	4555	5851	5415	4740	2945	4874	9693	7728	5098	5293	5708	7847	8388	
2704	"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon"	0	0	0	0	0	0	0	0	0	0	0	0	174	430	0	0	0		1	1	41	103	536	713	488	492	355	70	1	16	19	178	41	4256	8		48372	60020	56742	94738	107591	76638	95719	96879	58367	54984	128276	115869	131467	73004	110419	100617	468781	
2706	"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6	0	0	0	0	211	2	16	213	11	0	174	916	1208	1746	1445	7129		1	8	2	9	27	44	51	55	0	26	628	73	34	108	142	207	231	
2715	"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1576	2295	1854	2500	1575	2335	2426	4007	4313	6314	6628	8505	10642	8755	7320	6814	6976		267	1178	813	1317	1443	3274	6257	7381	3302	5164	5724	3020	2269	1587	1980	4061	3159	
2804	"Hydrogen, rare gases and other non-metals"	0	0	0	4	0	0	0	0	0	0	0	9	8	0	0	162	0		113658	156174	198257	242408	270993	277624	364704	509969	348060	460636	638256	527176	379815	342874	266323	386654	346303		3809	5398	7429	10744	10908	13404	15093	23984	17826	28557	36113	32259	25038	36850	33175	33277	33535	
