Product code	Product label	Turkey's imports from Greece-Value in 2001	Turkey's imports from Greece-Value in 2002	Turkey's imports from Greece-Value in 2003	Turkey's imports from Greece-Value in 2004	Turkey's imports from Greece-Value in 2005	Turkey's imports from Greece-Value in 2006	Turkey's imports from Greece-Value in 2007	Turkey's imports from Greece-Value in 2008	Turkey's imports from Greece-Value in 2009	Turkey's imports from Greece-Value in 2010	Turkey's imports from Greece-Value in 2011	Turkey's imports from Greece-Value in 2012	Turkey's imports from Greece-Value in 2013	Turkey's imports from Greece-Value in 2014	Turkey's imports from Greece-Value in 2015	Turkey's imports from Greece-Value in 2016	Turkey's imports from Greece-Value in 2017	Greece's exports to world- 	Greece's exports to world-Value in 2001	Greece's exports to world-Value in 2002	Greece's exports to world-Value in 2003	Greece's exports to world-Value in 2004	Greece's exports to world-Value in 2005	Greece's exports to world-Value in 2006	Greece's exports to world-Value in 2007	Greece's exports to world-Value in 2008	Greece's exports to world-Value in 2009	Greece's exports to world-Value in 2010	Greece's exports to world-Value in 2011	Greece's exports to world-Value in 2012	Greece's exports to world-Value in 2013	Greece's exports to world-Value in 2014	Greece's exports to world-Value in 2015	Greece's exports to world-Value in 2016	Greece's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
7502	"Unwrought nickel"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	2	8	17	8	79	208	213	1	33	32	0	30		11121	14164	23712	49308	51345	76576	146565	99304	41677	77963	100514	75239	67317	75581	68631	51461	52243	
7803	"Lead bars, rods, profiles and wire, n.e.s."	18	28	0	87	110	139	0	0	0	0	0	0	0	0	0	0	0		54	85	137	994	610	824	0	0	0	0	0	0	0	0	0	0	0		76	286	183	162	375	374	0	0	0	0	0	0	0	0	0	0	0	
7804	"Lead plates, sheets, strip and foil; lead powders and flakes (excluding grains of lead, and ..."	27	51	104	154	137	275	291	153	57	0	0	0	1044	223	858	162	0		87	108	59	157	632	373	3912	1941	1498	2537	4178	3718	7837	5305	3828	4725	4699		46	115	155	248	313	475	590	494	182	418	397	520	1514	497	1200	457	317	
8107	"Cadmium and articles thereof, n.e.s.; cadmium waste and scrap (excluding ash and residues containing ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0		14	29	39	23	18	47	92	91	77	65	93	49	57	42	145	11	34	
8113	"Cermets and articles thereof, n.e.s.; waste and scrap of cermets (excluding ash and residues ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	3	7	5	0	3	16	22	28	47	164	154	74	24	70	140	8		250	280	442	889	1136	1443	1299	3480	1841	2924	4989	4973	5614	7200	11019	10183	12391	
8406	"Steam turbines and other vapour turbines; parts thereof"	0	8	11	0	0	4	16	134	0	1	57	0	0	0	6	0	0		0	464	1	166	21	0	28	3	479	78	7125	2337	6832	2627	428	130	135		166784	200742	47948	26886	57528	17537	36894	47882	265660	137613	86498	155713	490777	143375	200148	276605	154673	
8432	"Agricultural, horticultural or forestry machinery for soil preparation or cultivation (excluding ..."	15	3	0	24	36	167	13	59	8	22	17	25	15	18	2	33	0		1003	3192	2217	3010	3230	3004	3019	5921	4132	4665	6392	5601	5070	4627	3537	3239	7984		2014	1664	3889	5986	9482	15046	17290	26870	16839	32410	51083	50020	37151	36388	20529	18806	19847	
8441	"Machinery for making up paper pulp, paper or paperboard, incl. cutting machines of all kinds, ..."	30	10	134	316	52	222	39	210	455	154	323	135	88	19	0	25	0		1249	2035	1436	1975	3392	1472	8773	4635	3747	1578	4848	4555	1797	1969	3515	1176	2136		36774	46661	56734	63779	130477	99889	133355	182630	85779	86337	125703	96628	135967	174316	158868	146235	98927	
8446	"Weaving machines "looms""	0	0	18	0	0	1537	978	517	1318	1388	0	0	0	0	0	0	0		1268	807	460	729	806	598	1688	628	379	314	1080	261	275	1104	389	49	11		80524	207914	378428	306531	290736	300522	208692	161688	39834	148464	277749	412513	443435	320874	149690	205693	244402	
8459	"Machine tools, incl. way-type unit head machines, for drilling, boring, milling, threading ..."	0	0	51	0	26	0	3	53	0	0	49	11	20	0	1	0	0		308	123	36	218	405	194	1373	2453	461	1035	272	611	811	385	267	244	513		18906	29706	36281	54996	48833	69612	64385	75714	28485	49087	76762	104401	70397	72703	66390	65071	60961	
8485	"Machinery parts not specified or included elsewhere in this chapter (excluding parts containing ..."	10	10	2	4	12	119	0	0	0	0	0	0	0	0	0	0	0		532	322	1787	1108	533	2024	0	0	0	0	0	0	0	0	0	0	0		29642	14987	31951	33715	53265	46711	0	0	0	0	0	0	0	0	0	0	0	
8522	"Parts and accessories suitable for use solely or principally with sound reproducing and recording ..."	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		29	35	241	292	181	155	1685	3372	4687	3157	231	1695	192	315	1408	822	754		5164	15349	35023	52889	37830	26459	26925	22832	26305	21155	26450	24653	17200	13297	7645	7198	8301	
8604	"Railway or tramway maintenance or service vehicles, whether or not self-propelled, e.g., workshops, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	31	0	0	0	3	0	0	2771	42	444	42	0	0	0	0	0		1394	165	1022	6668	3251	2527	1888	14586	8261	5252	46137	78068	36829	5236	12496	19732	3324	
8710	"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				3311	25225	11704	4686	0	0	0	0	0	0	0	0	0	0	0	0	0	
8904	"Tugs and pusher craft"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	616	458	2567	454	2364	2741	882	0	54	762	5738	798	731	704	56	3096		11091	30007	1	0	288	2670	0	0	0	10100	1803	15444	18	0	7093	13276	0	
9009	"Photocopying apparatus incorporating an optical system or of the contact type and thermo-copying ..."	0	1	27	18	35	18	0	0	0	0	0	0	0	0	0	0	0		797	1831	2284	1846	1722	1252	0	0	0	0	0	0	0	0	0	0	0		36394	44464	53103	79882	84424	96447	0	0	0	0	0	0	0	0	0	0	0	
9019	"Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus; ozone ..."	8	23	46	8	16	129	30	21	0	0	0	1	27	0	0	0	0		190	537	1257	570	427	2069	1538	3009	2982	3618	2441	2001	2672	3831	3393	3985	4723		13388	15154	21997	38736	58692	80397	93629	100331	84007	120473	107760	107163	98684	94609	95362	87852	80659	
9104	"Instrument panel clocks and clocks of a similar type for vehicles, aircraft, vessels and other ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	1	1	1	1	0	1	1	4	0	0	0	3		223	235	382	785	564	620	477	511	255	6025	6063	5808	6736	5395	1046	1360	2952	
9109	"Clock movements, complete and assembled (excluding watch movements)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	13	0	0	5	9	0	21	20	0	12	0	1		333	443	566	687	884	1022	1285	1466	1454	1548	2861	2226	2210	3028	1967	1769	2122	
9307	"Swords, cutlasses, bayonets, lances and similar arms and parts thereof, and scabbards and sheaths ..."	0	0	0	0	5	0	0	0	0	0	0	30	14	0	0	0	0																				0	1	2	119	25	150	3	44	4	312	46	176	117	62	47	0	1	
9601	"Worked ivory, bone, tortoiseshell, horn, antlers, coral, mother-of-pearl and other animal carving ..."	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0		21	14	32	138	61	113	93	60	27	30	26	9	9	13	5	0	0		174	219	365	441	571	746	676	855	668	864	1302	654	969	724	550	612	626	
9605	"Travel sets for personal toilet, sewing or shoe or clothes cleaning (excluding manicure sets)"	0	0	0	0	16	0	0	5	6	0	1	0	1	0	0	0	0		68	111	25	4	49	49	46	42	27	103	396	69	22	18	4	59	24		87	71	84	194	188	253	343	240	165	226	336	396	490	455	468	395	479	
9704	"Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery, stamped paper ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		27	6	25	14	2	100	101	6	0	170	136	164	600	246	152	103	29		4	0	12	0	3	2	5	2	1	0	1	7	10	183	0	9	10	
0207	"Meat and edible offal of fowls of the species Gallus domesticus, ducks, geese, turkeys and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4190	4877	6900	6721	9139	6838	15834	23320	15667	14685	23755	20875	24032	28482	19534	19984	28075		183	32	65	14	254	33	97	789	1581	863	1567	1118	940	1119	1933	366	2075	
0308	"Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	581	4256	4369	7857	4122	3369		0	0	0	0	0	0	0	0	0	0	0	94	172	239	178	201	114	
0404	"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products ..."	0	0	9	0	0	15	0	0	0	0	0	0	0	0	0	0	0		913	731	1112	1531	2488	2946	5775	3340	6527	6263	8030	8058	14603	5258	3497	4470	7140		607	549	604	1632	1583	1538	848	1102	1200	1454	1149	1251	1534	3128	2523	1880	2269	
0405	"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		61	37	83	437	220	189	321	852	311	641	655	499	1648	1462	1118	2240	3647		2773	4959	8804	10209	14687	12994	19597	28183	35821	49161	52266	64701	88920	99892	72469	45629	46248	
0501	"Human hair, unworked, whether or not washed or scoured; waste of human hair"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0		0	3	6	13	27	2	9	63	72	172	742	422	53	24	33	19	12	
0603	"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, ..."	0	6	0	0	0	2	14	10	4	11	18	8	11	9	0	0	0		221	304	394	365	659	947	848	836	678	453	406	395	207	422	401	388	361		146	126	158	308	426	432	244	329	401	731	1433	2012	2563	6342	4883	4129	3529	
0702	"Tomatoes, fresh or chilled"	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0		1989	1943	1180	1487	1439	1599	2517	3382	2633	5962	9704	10274	15396	22426	14845	15358	14238		8	29	9	16	31	0	24	89	11	467	616	101	45	61	426	570	450	
1101	"Wheat or meslin flour"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13814	10446	7114	7585	7333	5741	11643	17144	17009	14596	16540	13486	17827	16999	20646	19302	13096		4	1	1	13	24	22	26	4	1382	78	40	97	146	1595	1415	21238	33218	
1201	"Soya beans, whether or not broken"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		347	299	17	465	307	214	498	1020	222	23	94	43	59	20	86	198	203		67387	139614	226525	226828	328533	264797	409656	647900	429299	742426	687498	684804	642979	1119756	968176	885301	947920	
1208	"Flours and meals of oil seeds or oleaginous fruits (excluding mustard)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3170	2746	3407	4425	5455	7399	8878	13011	11118	9301	9411	11859	12663	16990	13243	12297	13490		123	27	129	912	950	2531	2957	6502	42343	6888	8065	22042	14921	34566	50967	33379	3093	
1404	"Vegetable products, n.e.s."	0	2	0	0	0	0	0	51	8	0	0	0	0	0	0	0	0		748	663	822	981	516	297	40	602	427	183	154	3066	137	174	2991	451	424		2277	1584	2481	2620	2043	2521	3022	4074	3449	5991	7358	6577	8902	10907	11223	9554	10459	
1505	"Wool grease and fatty substances derived therefrom, incl. lanolin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		27	12	5	6	7	17	17	18	19	19	26	23	36	61	84	68	131		534	553	739	792	868	967	936	1264	933	1300	2002	2031	2235	1910	1935	777	1161	
1508	"Groundnut oil and its fractions, whether or not refined, but not chemically modified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	2	0	0	36	50	5	0	0	378	68	8	0	3	3	32	4		7	14	28	17	15	18	20	13	10	65	77	58	71	64	72	76	52	
1510	"Other oils and their fractions, obtained solely from olives, whether or not refined, but not ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	41	37	0	0		13661	9916	21755	15194	40877	67503	35006	43141	32014	34846	40409	33253	53048	23547	46080	50179	52529		0	102	0	0	0	0	0	109	13	58	148	1	0	41	37	90	0	
1511	"Palm oil and its fractions, whether or not refined (excluding chemically modified)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		361	883	869	1530	1296	2294	11453	16747	14115	21539	29717	23214	24716	21370	11876	9559	11325		80555	103051	157664	182276	205014	255350	263039	462337	264408	318412	453718	439480	499240	491540	418368	406078	435002	
1804	"Cocoa butter, fat and oil"	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0		638	17	0	0	0	24	139	107	190	348	311	338	392	296	261	158	420		598	1495	3498	2890	1932	10395	6597	20159	22524	29979	25815	38007	57081	68352	71043	59459	92658	
1903	"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	3	17	0	0	0	7	25	7	0	0	0	0	0	1	0	0		0	1	1	1	5	2	1	5	3	2	0	18	1	2	0	0	0	
1904	"Prepared foods obtained by the swelling or roasting of cereals or cereal products, e.g. corn ..."	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0		1745	1922	1842	4205	6844	8406	13111	10614	11732	6787	3442	3904	4801	7805	12706	16082	16817		5547	8934	15184	19002	16624	19550	20619	23557	26724	32342	31102	9763	10205	10297	7914	9094	9574	
0907	"Cloves, whole fruit, cloves and stems"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	14	1	2	3	4	5	83	149	167	155	127	144	124	122	107		14	178	148	126	121	195	137	99	253	363	406	382	173	571	594	353	726	
0908	"Nutmeg, mace and cardamoms"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		16	12	10	7	29	7	16	6	5	6	56	15	26	32	25	18	42		35	41	44	61	26	36	53	67	82	91	109	140	105	160	588	774	1109	
1004	"Oats"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1	0	0	4	0	0	90	50	24	11	2	221	60	39	28	67		13	318	43	2770	789	75	3017	1450	760	0	2815	495	0	27	674	7	36	
2209	"Vinegar, fermented vinegar and substitutes for vinegar obtained from acetic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3246	3392	2662	3528	6451	7034	12742	15268	13349	11775	14185	16731	18478	14914	12083	12458	15907		125	180	386	260	635	705	227	466	293	412	618	433	555	722	710	462	436	
2301	"Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other ..."	0	0	0	0	0	0	0	0	47	592	1767	936	929	773	683	283	0		3626	1030	820	792	2565	241	57	369	351	1624	2192	1550	2477	7090	2801	1081	714		17971	9325	13036	34196	28436	50741	64519	58800	59201	78871	69232	104726	153240	125191	138736	172508	167212	
2303	"Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of ..."	0	0	0	0	660	181	0	0	0	1834	0	0	0	509	0	0	0		257	894	217	145	767	2859	208	390	2885	5352	720	218	263	116	14	350	37		240	1544	2670	10150	26721	43122	165791	293336	159935	198716	120643	191378	272729	228985	206710	329602	445186	
2509	"Chalk"	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0		1819	1626	2321	4807	6513	8190	9093	9780	9221	8583	9491	7654	8908	6021	4978	2759	2865		594	684	1155	1580	1728	1951	1816	1599	880	637	345	139	154	221	116	59	132	
2527	"Natural cryolite and natural chiolite"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2528	"Borates, natural, and concentrates thereof, whether or not calcined, and natural boric acids ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	73	26	0	0	0	0	26	2	6	1	0	0	3	1	5	5		0	34	0	14	2	2	164	9	5	30	7	14	95	11	12	1	1	
2604	"Nickel ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	40	22	0	978	22	31	4436	461	18	12	5	4	3	0	2		0	0	0	0	0	2	1	0	0	1	1	1	1	0	0	3	1	
2607	"Lead ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				1	0	8	0	0	0	1	5	0	14	7	0	909	97	221	12	20	
2812	"Halides and halide oxides of non-metals"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	26	66	68	0	0	0	0	69	55	80	3	0	1	13	3	8		828	466	306	451	525	1093	997	1338	1621	890	1168	1358	1925	2020	1506	1327	1874	
2813	"Sulphides of non-metals; commercial phosphorus trisulphide"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	4	11	7	0	0	0	36	0	11	0	0	0	1	0	2	6		2	10	3	4	6	6	8	14	16	15	27	32	41	43	34	32	60	
2817	"Zinc oxide; zinc peroxide"	0	26	13	63	11	23	64	0	59	0	40	0	0	0	15	0	0		147	465	455	989	1382	3751	3218	2885	2368	5523	5784	4983	3690	4970	4189	4634	6074		4594	4383	3585	4669	4222	9503	16471	12058	8146	12200	12358	9112	11423	10756	9117	8566	12033	
2829	"Chlorates and perchlorates; bromates and perbromates; iodates and periodates"	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0		148	66	140	13	34	3	4	2	9	10	20	14	40	18	13	19	29		1513	1357	2097	1545	1938	3698	3059	3908	4065	5374	8508	5609	5925	5857	5305	5234	5373	
2832	"Sulphites; thiosulphates"	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0		4	21	26	100	130	101	134	115	85	128	87	140	167	155	83	40	51		454	645	744	1001	1400	1014	1610	2034	1124	1445	1101	1147	1294	1098	1215	1294	1259	
2833	"Sulphates; alums; peroxosulphates "persulphates""	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	17	0		607	299	427	417	554	321	197	268	319	302	750	258	345	307	222	266	390		4839	4962	6707	10736	15467	17725	23610	26695	21503	29327	46374	34577	36145	38187	34421	27870	29879	
0805	"Citrus fruit, fresh or dried"	0	9	0	11	10	0	0	0	0	0	0	0	0	0	0	46	0		149208	160682	162720	109876	122508	130944	166437	222225	234992	271194	265956	219764	246812	221574	173173	269870	183361		212	6637	9043	8859	15137	8054	14569	13630	12698	13120	18164	19326	17661	15365	19686	18661	20578	
2849	"Carbides, whether or not chemically defined"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		11	9	10	0	11	33	69	40	16	78	10	19	0	14	0	1	0		1667	3289	4176	6606	8350	7541	7275	11994	7145	10937	13714	9922	11044	13743	12526	17372	20732	
2850	"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined (excluding ..."	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0		0	5	0	8	0	0	0	4	10	7	0	0	0	0	0	0	1		147	177	228	234	317	345	440	277	678	851	874	553	1228	1190	1009	1186	1378	
2902	"Cyclic hydrocarbons"	44	35	16	2	0	5	95	0	0	0	0	26	0	0	0	0	0		577	431	872	184	401	144	439	155	287	407	138	324	85	183	25	12	33		92530	89885	112701	218794	235508	243841	300490	307224	239536	377706	570751	610071	634940	578759	486336	457182	558919	
2910	"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered ring, and their ..."	0	0	0	0	0	0	0	0	0	0	0	15	71	42	0	0	0		1	0	17	4	381	44	104	9	7	17	25	44	92	143	40	13	28		2728	3774	5017	4611	2274	1159	1619	2302	1284	1595	2608	3087	4599	5237	4123	3180	4150	
3406	"Candles, tapers and the like"	0	39	18	11	3	3	2	45	23	4	2	0	2	0	0	1	0		212	258	344	552	643	806	1572	1389	1974	1469	1931	1277	925	855	839	769	533		673	1317	2140	4135	4799	4851	6611	5787	6340	6821	7664	7796	10626	9131	9183	7919	7072	
3606	"Ferro-cerium and other pyrophoric alloys in all forms; metaldehyde, hexamethylenetetramine ..."	0	0	0	2	0	0	0	0	0	15	0	0	1	0	0	1	0		85	35	55	250	292	287	242	340	100	259	413	283	121	41	289	393	436		268	494	365	436	800	897	1730	1695	1264	1321	1763	2684	3155	3212	3413	3020	3260	
3701	"Photographic plates and film in the flat, sensitised, unexposed, of any material other than ..."	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1001	2136	2929	2761	3341	2723	2428	5470	3839	3531	3998	3323	1728	1610	1173	1569	1508		41213	49798	65703	82448	96716	105272	131978	129716	129968	138488	147321	133576	133320	122000	97782	90470	82459	
3703	"Photographic paper, paperboard and textiles, sensitised, unexposed"	177	51	0	0	17	0	0	0	0	0	0	30	0	0	0	0	0		33202	2350	3483	2224	1479	1192	1319	1612	1139	776	579	818	601	618	720	774	646		18143	18181	19687	23369	24027	24523	19634	15425	13551	14937	16184	15010	13756	12331	10898	10756	10323	
3706	"Cinematographic film, exposed and developed, whether or not incorporating soundtrack or consisting ..."	1	8	0	1	2	0	1	1	0	1	161	4	1	0	0	0	0		461	500	155	73	82	260	485	4190	1321	708	475	3	0	3	0	786	116		1747	2974	3216	6210	8637	7074	8626	9575	8011	5408	6512	4946	3423	185	206	0	1	
2942	"Separate chemically defined organic compounds, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7	11	91	195	540	215	294	588	290	299	378	1353	516	241	307	511	358		1063	1020	1703	2260	6354	9667	12594	15093	7511	5527	6292	6238	7198	4591	4497	6135	4731	
3817	"Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	15	172	53	7	0	0	0	0	3	1	1	0	0	0	1	0		46934	52373	59656	68387	86608	88039	88866	102490	90285	103892	120997	136744	162869	148464	106352	99478	106976	
4015	"Articles of apparel and clothing accessories, incl. gloves, mittens and mitts, for all purposes, ..."	18	37	45	5	138	215	23	6	0	15	0	0	0	4	0	0	0		196	433	612	1211	1474	1447	1637	1832	1757	1737	2018	1780	2107	831	650	690	1043		7436	10530	11169	22453	22511	30608	45747	48461	54963	76639	104993	108755	109230	109732	126392	136154	156584	
4017	"Hard rubber, e.g. ebonite, in all forms, incl. waste and scrap; articles of hard rubber, n.e.s."	0	0	0	0	0	0	0	8	0	0	2	2	0	0	0	2	0		40	24	44	62	108	67	137	214	33	24	9	7	5	19	46	44	11		363	444	612	765	1136	1361	1669	1669	1275	2023	1523	864	1517	1555	1226	1236	1273	
4106	"Tanned or crust hides and skins of goats or kids, pigs, reptiles and other animals, without ..."	7	3	0	0	52	0	0	0	0	0	0	0	4	0	24	0	0		2324	971	1779	802	944	1929	819	1135	729	1291	2351	2003	3349	3633	2537	3703	3248		7766	2316	1905	1973	4165	5079	4423	4096	3420	6800	10291	11030	11110	10981	7601	9528	8409	
4108	"Chamois leather, incl. combination chamois leather(excluding glace-tanned leather subsequently ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4110	"Parings and other waste of leather, parchment-dressed leather or composition leather, not suitable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4111	"Composition leather based on leather or leather fibre, in slabs, sheets or strip, whether or ..."	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4417	"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe ..."	0	0	2	0	70	46	7	0	0	0	0	0	0	0	0	6	0		4	2	3	4	52	9	30	56	41	19	35	47	36	55	40	43	40		223	221	204	423	718	981	909	1099	928	1275	1555	1721	2280	2159	2813	2829	2300	
3914	"Ion-exchangers based on polymers of heading 3901 to 3913, in primary forms"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	5	0	1	1	7	15	5	11	2	7	75	58	4	37	7	12		2890	3808	4922	6209	5518	6763	7172	10469	8515	7411	10615	9817	12289	14347	14371	13308	15607	
4814	"Wallpaper and similar wallcoverings of paper; window transparencies of paper"	0	0	4	0	1	0	0	0	0	0	0	4	0	5	0	1	0		88	131	409	71	145	256	202	470	317	252	264	258	145	217	166	211	150		1415	2006	2507	4084	5643	7847	13665	19332	19515	30959	42862	44137	57716	84607	76084	17571	16270	
4903	"Children's picture, drawing or colouring books"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		126	94	24	126	166	129	315	1206	1129	1289	630	510	691	620	524	810	735		49	82	179	527	576	902	1363	1156	1467	2165	2992	4111	2457	3091	2916	3035	4159	
5105	"Wool and fine or coarse animal hair, carded or combed, incl. combed wool in fragments"	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0		364	158	49	78	112	14	0	0	2	0	0	0	0	0	1	0	0		48616	69810	95583	92230	102632	116574	139445	127747	80779	114134	139725	132195	117377	120372	93495	84494	93180	
5110	"Yarn of coarse animal hair or of horsehair, incl. gimped horsehair yarn, whether or not put ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0		1	0	128	0	0	0	70	172	140	0	298	620	560	679	597	564	91	
5305	"Coconut, abaca "Manila hemp or Musa textilis Nee", ramie, agave and other vegetable textile ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	25	0	58	7	4	0	0	0	2	2	10	6	18	13	16	19		28	22	15	182	477	467	862	609	295	277	420	601	512	321	480	300	189	
5401	"Sewing thread of man-made filaments, whether or not put up for retail sale"	0	9	8	1	1	0	0	62	0	13	17	0	1	0	6	64	0		8175	11618	22100	7985	7881	7980	5908	6486	3901	4345	3432	2383	1934	1576	1260	1293	1294		5796	8530	10677	9192	10322	12851	16472	16639	15495	22096	22158	18099	20579	17712	14141	14000	12761	
5504	"Artificial staple fibres, not carded, combed or otherwise processed for spinning"	172	54	12	0	0	0	0	0	130	0	0	6	0	0	0	0	0		266	56	122	33	0	0	0	193	278	100	62	209	309	106	91	867	654		77934	112770	144441	205902	192504	260699	435972	412925	399497	567085	689956	632905	512921	485351	479219	540988	547377	
5514	"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ..."	0	0	0	2	13	7	10	6	0	0	47	15	4	0	0	2	0		460	290	238	306	315	380	904	1207	1453	1996	646	529	532	394	522	804	724		6645	8515	5933	5561	6712	7335	7635	7125	7990	20511	14529	10800	10759	11522	9938	7234	6987	
5901	"Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers ..."	0	0	0	0	4	2	0	8	0	0	0	0	0	0	0	0	0		16	3	50	148	15	14	161	129	7	9	108	101	277	307	148	1057	314		691	1077	1280	1224	1477	1316	1880	2397	1937	3063	4412	4159	4776	4026	1806	1236	1399	
