Product code	Product label	Turkey's imports from United States of America-Value in 2001	Turkey's imports from United States of America-Value in 2002	Turkey's imports from United States of America-Value in 2003	Turkey's imports from United States of America-Value in 2004	Turkey's imports from United States of America-Value in 2005	Turkey's imports from United States of America-Value in 2006	Turkey's imports from United States of America-Value in 2007	Turkey's imports from United States of America-Value in 2008	Turkey's imports from United States of America-Value in 2009	Turkey's imports from United States of America-Value in 2010	Turkey's imports from United States of America-Value in 2011	Turkey's imports from United States of America-Value in 2012	Turkey's imports from United States of America-Value in 2013	Turkey's imports from United States of America-Value in 2014	Turkey's imports from United States of America-Value in 2015	Turkey's imports from United States of America-Value in 2016	Turkey's imports from United States of America-Value in 2017	United States of America's exports to world- 	United States of America's exports to world-Value in 2001	United States of America's exports to world-Value in 2002	United States of America's exports to world-Value in 2003	United States of America's exports to world-Value in 2004	United States of America's exports to world-Value in 2005	United States of America's exports to world-Value in 2006	United States of America's exports to world-Value in 2007	United States of America's exports to world-Value in 2008	United States of America's exports to world-Value in 2009	United States of America's exports to world-Value in 2010	United States of America's exports to world-Value in 2011	United States of America's exports to world-Value in 2012	United States of America's exports to world-Value in 2013	United States of America's exports to world-Value in 2014	United States of America's exports to world-Value in 2015	United States of America's exports to world-Value in 2016	United States of America's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
3904	"Polymers of vinyl chloride or of other halogenated olefins, in primary forms"	10996	8311	5486	29612	23102	24457	72605	93509	102782	203594	183479	193338	264034	197559	123376	70803	105838		1074936	1078509	1169643	1430479	1502525	1733796	2113325	2728414	2588204	3689009	4260296	4120145	4105464	3972544	3474600	3335011	3704015		133601	191847	267526	460939	570347	656451	842116	903835	604853	859942	1068273	917980	1116508	1021656	816485	705396	903420	
7108	"Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured ..."	8230	11861	8699	24972	11661	38291	25199	36167	24339	64605	244792	4908	196836	116900	51050	104194	105845		4404597	2925168	4215060	3600461	4842577	7428218	11792112	16644090	12120254	15260668	31063706	34021371	31870040	21018228	19321348	17676925	19823736		989358	1406156	2598427	3497392	3894766	4012713	5325078	4991021	1632308	2523442	6251532	7636748	15127226	7106855	3425893	6458906	16577308	
4804	"Uncoated kraft paper and paperboard, in rolls of a width > 36 cm or in square or rectangular ..."	4882	10880	20479	29908	50373	62529	99856	124702	73229	151161	183945	164844	188881	212293	150874	97784	106711		1640277	1581481	1748275	1885720	2103629	2316328	2773020	3005078	2378831	2962969	3531996	3262508	3337451	3480732	3296976	3008708	3407993		47706	70791	125541	148746	165415	207564	253288	291974	224887	353500	397686	354520	409637	420801	344183	321218	356249	
9021	"Orthopaedic appliances, incl. crutches, surgical belts and trusses; splints and other fracture ..."	48144	45248	47698	55473	82023	103111	97290	107674	103425	113981	131126	145842	169657	165590	133137	122768	114488		2938297	3203620	4100305	4535083	5069713	5646418	6502778	7774220	8029868	8420704	8540800	9161079	9681972	9539788	9651506	9308255	9471554		108245	106724	109311	147211	207061	261793	286927	353159	319143	359750	401844	417004	483839	493186	424268	442956	409891	
2710	"Petroleum oils and oils obtained from bituminous minerals (excluding crude); preparations containing ..."	4824	4251	8924	3638	11052	25252	56757	965879	363613	82561	536986	549148	321047	210977	111282	89586	139038		6432820	6153315	7302453	9942111	14855291	22170563	26733255	51816370	36536776	53956896	91611402	102506567	112045048	110011780	72688795	61966053	77841466		735001	1155627	1721410	2419310	3606817	5729237	7299588	10994889	8529453	10979487	14729109	15619719	15438978	15369360	9023663	7342818	9817276	
4703	"Chemical wood pulp, soda or sulphate (excluding dissolving grades)"	55299	63891	58237	70243	82855	96462	101497	107888	106074	164674	151100	166041	198126	164105	178912	146586	148447		2216759	2194322	2177513	2384641	2756349	3109413	3621009	4052847	3250733	4474310	4962920	4419538	4334840	4357875	4372689	4177989	4510578		129965	154893	164072	200638	253664	322292	387838	440700	323682	512794	563521	532829	620826	641009	678690	658393	778493	
8708	"Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, ..."	10946	8304	9587	13439	19980	31004	33625	47074	78282	65945	101515	95607	87169	82794	111840	103850	154755		28994155	29030057	28085554	30884899	31532376	33511039	34578042	31748817	23734915	32683831	37952792	41790665	43071211	42741289	44038911	43023964	44948749		808865	1029377	1729618	3109809	3382247	4242321	4868019	5173791	3404848	4433076	5230313	4491022	4894117	4950790	4965958	5185313	6166654	
0802	"Other nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts ..."	1067	2794	3386	6018	8538	14736	27783	64475	83819	95223	118235	157820	134880	142104	130203	160350	159138		1009866	1171172	1456767	1878992	2520292	2625287	2775726	3120979	3467264	4164032	5003545	6070735	7109896	7515381	7655593	7356989	7938870		4487	18671	18436	28654	48028	74410	93656	142357	158467	143728	169477	251984	212751	199347	226597	297162	311405	
8803	"Parts of aircraft and spacecraft of heading 8801 or 8802, n.e.s."	59139	59442	18902	53335	22561	50623	79703	55313	54005	207839	397600	226295	122457	114498	113680	135223	166514		16222344	14655585	14792713	4516121	4668988	20713042	21955346	23023095	5242808	5294830	5314394	5674077	5677257	5819781	5935970	6219116	5650663		116202	158122	82534	96188	53508	100088	189167	109853	145353	406321	544111	466740	348606	312820	350862	380962	513715	
1201	"Soya beans, whether or not broken"	63193	124918	110765	96064	152024	167751	147291	224642	290117	346603	168029	377836	217045	272513	338851	173841	174767		5433252	5750575	7965285	6686861	6282220	6922789	10016224	15537191	16475854	18638248	17612019	24807376	21605835	23906527	18930953	22865434	21657927		67387	139614	226525	226828	328533	264797	409656	647900	429299	742426	687498	684804	642979	1119756	968176	885301	947920	
