Product code	Product label	Turkey's imports from Viet Nam-Value in 2001	Turkey's imports from Viet Nam-Value in 2002	Turkey's imports from Viet Nam-Value in 2003	Turkey's imports from Viet Nam-Value in 2004	Turkey's imports from Viet Nam-Value in 2005	Turkey's imports from Viet Nam-Value in 2006	Turkey's imports from Viet Nam-Value in 2007	Turkey's imports from Viet Nam-Value in 2008	Turkey's imports from Viet Nam-Value in 2009	Turkey's imports from Viet Nam-Value in 2010	Turkey's imports from Viet Nam-Value in 2011	Turkey's imports from Viet Nam-Value in 2012	Turkey's imports from Viet Nam-Value in 2013	Turkey's imports from Viet Nam-Value in 2014	Turkey's imports from Viet Nam-Value in 2015	Turkey's imports from Viet Nam-Value in 2016	Turkey's imports from Viet Nam-Value in 2017	Viet Nam's exports to world- 	Viet Nam's exports to world-Value in 2001	Viet Nam's exports to world-Value in 2002	Viet Nam's exports to world-Value in 2003	Viet Nam's exports to world-Value in 2004	Viet Nam's exports to world-Value in 2005	Viet Nam's exports to world-Value in 2006	Viet Nam's exports to world-Value in 2007	Viet Nam's exports to world-Value in 2008	Viet Nam's exports to world-Value in 2009	Viet Nam's exports to world-Value in 2010	Viet Nam's exports to world-Value in 2011	Viet Nam's exports to world-Value in 2012	Viet Nam's exports to world-Value in 2013	Viet Nam's exports to world-Value in 2014	Viet Nam's exports to world-Value in 2015	Viet Nam's exports to world-Value in 2016	Viet Nam's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0		199	297	126	225	0	210	435	347	364	350	550	714	397	1879	190	355	535		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5101	"Wool, neither carded nor combed"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		104	0	0	0	0	7	0	0	0	3	6	15	34	4	0	0	72		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
5107	"Yarn of combed wool (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	3382	1661	823	1883	2030	2549	3566	5974	3133	2129	2656	2126	3048	1475		25127	33204	38874	38975	41301	42151	42127	47373	42159	45947	64346	51833	45367	43413	39375	31479	31113	
5113	"Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	8	0	0	0	0	0	0	0	47	193	1	2			412	192	532	374	442	432	421	368	251	349	481	321	498	249	325	332	172	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
3902	"Polymers of propylene or of other olefins, in primary forms"	0	0	33	149	0	1	0	0	0	0	0	0	0	0	1	15	0		711	1577	956	707	2270	8609	2291	19799	9040	31222	28423	110075	140736	150651	82253	101045	190278		303080	408913	612578	928860	1202209	1484348	1893219	2025208	1406453	2136786	2719038	2776713	2973585	3314344	2649741	2346213	2722314	
3905	"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0		85	150	55	102	168	671	988	319	602	428	625	919	1519	1414	483	576	1408		16222	22361	28643	41719	48792	57345	69767	78639	60899	76153	98431	95777	99461	103121	99522	106076	111302	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		64	64	82	11	151	1762	1829	3039	1033	1201	3069	2578	1267	777	196	151	1134		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
5516	"Woven fabrics of artificial staple fibres"	0	0	0	0	0	0	0	0	252	0	0	0	0	0	133	0	0		97	506	197	207	574	333	124	166	1760	708	770	450	327	450	1010	1017	620		54359	76424	65022	68603	47842	73261	95608	83388	67594	91881	122983	108868	122254	125084	110802	98239	89062	
5605	"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	7	204	0	0	5	0	18	0	0	12	4	50	17		3581	2672	2758	3420	4550	8279	12517	9680	5370	7009	7372	10217	19591	19015	19476	6891	7755	
5801	"Woven pile fabrics and chenille fabrics (excluding terry towelling and similar woven terry ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		288	886	1246	231	584	704	622	220	561	274	258	664	299	875	1713	1296	2831		31186	71519	120415	118791	130163	143430	81345	37289	32654	40135	59682	42282	46281	33746	24765	21963	31657	
5809	"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	45	40	370	22	7	0	0	26	0	9	0	32	25	32	18			12	29	17	84	191	138	83	99	30	23	106	70	69	92	32	49	306	
