Product code	Product label	Turkey's imports from Spain-Value in 2001	Turkey's imports from Spain-Value in 2002	Turkey's imports from Spain-Value in 2003	Turkey's imports from Spain-Value in 2004	Turkey's imports from Spain-Value in 2005	Turkey's imports from Spain-Value in 2006	Turkey's imports from Spain-Value in 2007	Turkey's imports from Spain-Value in 2008	Turkey's imports from Spain-Value in 2009	Turkey's imports from Spain-Value in 2010	Turkey's imports from Spain-Value in 2011	Turkey's imports from Spain-Value in 2012	Turkey's imports from Spain-Value in 2013	Turkey's imports from Spain-Value in 2014	Turkey's imports from Spain-Value in 2015	Turkey's imports from Spain-Value in 2016	Turkey's imports from Spain-Value in 2017	Spain's exports to world- 	Spain's exports to world-Value in 2001	Spain's exports to world-Value in 2002	Spain's exports to world-Value in 2003	Spain's exports to world-Value in 2004	Spain's exports to world-Value in 2005	Spain's exports to world-Value in 2006	Spain's exports to world-Value in 2007	Spain's exports to world-Value in 2008	Spain's exports to world-Value in 2009	Spain's exports to world-Value in 2010	Spain's exports to world-Value in 2011	Spain's exports to world-Value in 2012	Spain's exports to world-Value in 2013	Spain's exports to world-Value in 2014	Spain's exports to world-Value in 2015	Spain's exports to world-Value in 2016	Spain's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
3804	"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or ..."	0	0	16	550	806	534	0	0	3115	4144	6490	9779	6785	793	0	0	4664		1389	1598	1959	2452	2743	2991	2268	5254	12176	20677	17843	23964	10987	2400	3036	3030	7616		3660	4364	6157	7844	9413	13778	24028	21381	17745	22833	28641	29287	33653	31996	23365	21505	20141	
8207	"Tools, interchangeable, for hand tools, whether or not power-operated, or for machine tools ..."	828	994	1616	1941	2530	3343	2758	4998	2321	3562	6040	6380	3825	2674	4268	3458	4740		250014	281567	399644	372029	361147	354938	417232	412471	338013	383325	440988	446643	449976	575825	434050	432732	683576		30885	34956	50566	67860	96496	164440	134965	196230	97629	151181	215344	242702	252383	254905	201970	203241	200129	
9031	"Measuring or checking instruments, appliances and machines not elsewhere specified in chapter ..."	212	1362	445	2114	1086	1886	1328	1232	1445	1736	1537	2044	3492	3128	4035	3329	4803		109648	112661	184202	207747	234031	241103	254122	262213	163278	252509	317896	270857	304632	313694	284318	313338	343803		76209	71129	102454	149249	164689	182493	204740	307177	193641	210793	296682	344112	339764	369796	359324	325972	383885	
3215	"Printing ink, writing or drawing ink and other inks, whether or not concentrated or solid"	930	1006	1405	1523	2313	2167	2662	2027	1439	2024	1938	3612	4394	4519	3564	4155	4822		78910	103473	139492	200277	263417	226960	209152	212434	304746	294853	330189	259318	254342	174023	204591	158788	179170		30636	35007	45833	63245	69474	75347	97097	91877	88612	106233	124366	135299	152403	173675	153943	145746	155646	
9029	"Revolution counters, production counters, taximeters, milometers, pedometers and the like (excluding ..."	46	76	152	252	135	119	233	539	130	111	359	150	3622	9457	7826	6076	4871		134413	172060	214928	216552	168913	166633	210568	169174	141139	193748	224713	167137	196369	174667	250250	298371	257280		9721	16675	30317	53866	59316	61213	78597	102242	64917	83079	95076	91484	106618	112553	133422	152642	199607	
8701	"Tractors (other than tractors of heading 8709)"	633	455	3433	1867	784	1425	10784	1080	429	521	3345	2782	33748	55792	55990	32705	5033		168536	256129	276038	379076	273563	255807	449780	492586	176758	224093	553121	675052	1400648	1341993	1340699	1201660	1266665		59233	108660	354649	580361	625391	727492	698971	676357	202700	724838	1223230	757190	646331	874958	1039328	681165	593257	
8448	"Auxiliary machinery for use with machines of heading 8444, 8445, 8446 or 8447, e.g. dobbies, ..."	1703	2315	4417	5225	3188	3528	3179	1980	583	2618	3398	6154	11314	7664	6334	4490	5064		39387	40164	49169	59839	53345	59560	54765	48399	34202	38313	54799	67140	78036	71106	66201	69576	62309		91190	155465	220955	226006	191996	181386	212733	155441	107694	156040	187256	182140	202176	211332	165348	170876	159902	
6807	"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch"	986	1650	2331	2390	91	4459	3374	4458	5393	5034	3678	2177	3743	5141	3795	3785	5103		21720	21693	28323	31421	29080	34625	41408	54422	40949	50512	51557	46312	48010	58592	43548	35582	36290		6359	8051	8916	12370	15702	29442	21746	22950	23880	24537	23249	18277	20820	19049	14349	13308	15833	
5512	"Woven fabrics containing >= 85% synthetic staple fibres by weight"	266	636	1139	1279	1596	1612	2144	2516	1675	2538	3353	3414	4510	5337	4693	4972	5238		49363	54388	66532	72589	72824	72724	94801	96720	75519	65068	82665	92842	99645	103447	86114	92627	103712		5245	6675	5130	6815	22456	10200	21761	20073	15626	24360	27774	21317	29415	40384	40345	28403	38468	
2008	"Fruits, nuts and other edible parts of plants, prepared or preserved, whether or not containing ..."	228	46	59	1797	6822	7826	7644	6965	4629	1129	6132	8920	11649	11788	15439	8863	5271		219035	238172	317865	317140	315369	317124	372174	378009	358949	332633	402939	371279	431045	538473	481011	487263	541432		2693	4692	4635	7303	20857	22646	26849	25565	20766	18732	36169	27415	32889	42797	51489	33869	30421	
