Product code	Product label	Turkey's imports from Romania-Value in 2001	Turkey's imports from Romania-Value in 2002	Turkey's imports from Romania-Value in 2003	Turkey's imports from Romania-Value in 2004	Turkey's imports from Romania-Value in 2005	Turkey's imports from Romania-Value in 2006	Turkey's imports from Romania-Value in 2007	Turkey's imports from Romania-Value in 2008	Turkey's imports from Romania-Value in 2009	Turkey's imports from Romania-Value in 2010	Turkey's imports from Romania-Value in 2011	Turkey's imports from Romania-Value in 2012	Turkey's imports from Romania-Value in 2013	Turkey's imports from Romania-Value in 2014	Turkey's imports from Romania-Value in 2015	Turkey's imports from Romania-Value in 2016	Turkey's imports from Romania-Value in 2017	Romania's exports to world- 	Romania's exports to world-Value in 2001	Romania's exports to world-Value in 2002	Romania's exports to world-Value in 2003	Romania's exports to world-Value in 2004	Romania's exports to world-Value in 2005	Romania's exports to world-Value in 2006	Romania's exports to world-Value in 2007	Romania's exports to world-Value in 2008	Romania's exports to world-Value in 2009	Romania's exports to world-Value in 2010	Romania's exports to world-Value in 2011	Romania's exports to world-Value in 2012	Romania's exports to world-Value in 2013	Romania's exports to world-Value in 2014	Romania's exports to world-Value in 2015	Romania's exports to world-Value in 2016	Romania's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
4005	"Compounded rubber, unvulcanised, in primary forms or in plates, sheets or strip (excluding ..."	0	0	0	286	91	802	3336	3274	959	2661	5054	3610	5940	5612	6042	6096	8605		228	436	1452	1416	2952	13271	52804	58106	46668	83583	157748	117650	116541	95671	56401	62002	120353		8380	10548	18387	26624	31611	39147	57935	65212	46453	53616	79916	76860	91903	85943	77055	79876	88661	
2306	"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ..."	686	802	797	4646	12545	13233	4448	3326	3647	10952	17666	4079	4623	2488	2577	9203	8632		19068	12591	13053	21578	23941	17641	19898	41769	31525	52099	75859	70832	117163	137630	121142	90852	96352		6661	8841	13797	59971	40347	49172	72684	74873	51322	127546	182821	223258	179791	251182	224117	189809	200043	
9032	"Regulating or controlling instruments and apparatus (excluding taps, cocks and valves of heading ..."	0	2	4	108	31	46	71	905	2850	16392	6715	6734	10534	7496	8767	8168	8701		2682	1905	5415	13303	20709	35611	69224	67586	59713	90361	101875	94387	107341	192922	246392	419356	677903		58245	88492	111399	154480	209300	236656	239145	279926	267252	454272	600988	518360	558333	586469	563842	639649	721907	
7210	"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled or cold-rolled ..."	3359	16888	22490	25860	43075	11934	38025	47158	41824	57722	30914	12950	12709	20166	17928	15636	8876		11189	33365	50424	72834	72876	41676	73135	61388	56150	90669	100552	100106	113694	106337	78687	62417	80653		187323	233513	314778	420915	513847	582250	662014	896759	576642	777504	812672	671902	836631	892962	781408	740702	738681	
8481	"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, ..."	50	416	489	481	470	930	1574	880	947	3098	3086	2751	5080	8990	8600	7916	9231		42181	44137	52894	55363	81555	118705	161265	183428	145929	244372	280040	319227	417351	402429	258682	241243	291052		158455	197916	275621	388540	420211	564667	694232	742847	549057	709186	962655	927653	1106145	1056526	1005408	1132064	1184064	
5806	"Narrow woven fabrics of textile materials, with a width of <= 30 cm (excluding labels, badges ..."	1	0	2	2	39	4631	9247	9000	8494	13476	11562	10333	12042	10093	7889	10416	9911		2742	3890	5706	6839	9410	24962	41417	36469	30611	36466	38584	32520	32645	33201	29094	41856	42439		14685	23519	28294	34529	34391	36349	41483	41745	34353	47611	51735	49275	56735	56606	52985	57327	63428	
3901	"Polymers of ethylene, in primary forms"	1384	9387	3553	17738	8054	5261	36474	47961	20600	10439	13939	2216	1525	17744	8653	4333	10211		13474	16851	9976	26575	17851	27250	102269	172951	96594	81493	125556	61962	78834	81477	68178	71747	64526		194430	278232	379081	627233	863275	1028278	1403122	1559184	1157072	1636527	2134382	2304756	2557493	2617950	2406427	2340623	2442075	
5101	"Wool, neither carded nor combed"	3099	4966	8647	8835	6667	8381	11515	11347	8076	10494	11561	11239	13816	14080	10334	7052	10372		4763	6715	10847	10559	8755	9230	13490	12295	11512	12453	14187	15002	16153	16546	13258	7947	10781		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
4407	"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, ..."	2984	3710	1769	4037	3700	5924	6021	13236	9316	13112	25846	31307	27834	26432	20814	12654	11148		321457	364882	427241	520364	504937	553431	614780	568015	561231	719506	844345	854455	940534	918827	697556	535751	526936		21539	25839	27641	46722	66032	99675	113248	159720	99440	132290	210967	222298	238438	278957	281418	236491	240147	
3907	"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, ..."	98	264	1437	3735	6417	14576	17202	11501	11910	17475	42883	20971	12769	14775	11362	13353	11516		12281	19106	37129	69369	103137	136563	161905	204356	154338	154862	233461	112890	101855	127331	111744	111219	142684		180009	246238	340388	477241	598281	685841	837477	941414	693184	982043	1387072	1279135	1438003	1280189	1173779	1134117	1399822	
