Product code	Product label	Turkey's imports from Bulgaria-Value in 2001	Turkey's imports from Bulgaria-Value in 2002	Turkey's imports from Bulgaria-Value in 2003	Turkey's imports from Bulgaria-Value in 2004	Turkey's imports from Bulgaria-Value in 2005	Turkey's imports from Bulgaria-Value in 2006	Turkey's imports from Bulgaria-Value in 2007	Turkey's imports from Bulgaria-Value in 2008	Turkey's imports from Bulgaria-Value in 2009	Turkey's imports from Bulgaria-Value in 2010	Turkey's imports from Bulgaria-Value in 2011	Turkey's imports from Bulgaria-Value in 2012	Turkey's imports from Bulgaria-Value in 2013	Turkey's imports from Bulgaria-Value in 2014	Turkey's imports from Bulgaria-Value in 2015	Turkey's imports from Bulgaria-Value in 2016	Turkey's imports from Bulgaria-Value in 2017	Bulgaria's exports to world- 	Bulgaria's exports to world-Value in 2001	Bulgaria's exports to world-Value in 2002	Bulgaria's exports to world-Value in 2003	Bulgaria's exports to world-Value in 2004	Bulgaria's exports to world-Value in 2005	Bulgaria's exports to world-Value in 2006	Bulgaria's exports to world-Value in 2007	Bulgaria's exports to world-Value in 2008	Bulgaria's exports to world-Value in 2009	Bulgaria's exports to world-Value in 2010	Bulgaria's exports to world-Value in 2011	Bulgaria's exports to world-Value in 2012	Bulgaria's exports to world-Value in 2013	Bulgaria's exports to world-Value in 2014	Bulgaria's exports to world-Value in 2015	Bulgaria's exports to world-Value in 2016	Bulgaria's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
5504	"Artificial staple fibres, not carded, combed or otherwise processed for spinning"	0	0	0	1	0	0	0	0	0	0	0	0	88	32	56	62	0		34	32	66	99	33	116	1911	23	173	11	242	731	86	31	59	137	75		77934	112770	144441	205902	192504	260699	435972	412925	399497	567085	689956	632905	512921	485351	479219	540988	547377	
5514	"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ..."	6	0	128	0	0	0	0	19	7	2	0	0	0	0	104	0	0		169	98	418	484	247	203	260	1026	897	845	664	330	111	5116	5608	5381	8920		6645	8515	5933	5561	6712	7335	7635	7125	7990	20511	14529	10800	10759	11522	9938	7234	6987	
5901	"Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		9	25	27	28	43	38	29	15	19	8	3	18	58	147	148	77	20		691	1077	1280	1224	1477	1316	1880	2397	1937	3063	4412	4159	4776	4026	1806	1236	1399	
5904	"Linoleum, whether or not cut to shape; floor coverings consisting of a coating or covering ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		45	6	21	56	48	31	20	14	16	5	0	0	0	0	0	0	4		182	431	241	359	345	746	408	708	645	1194	334	1127	1682	863	715	912	1050	
5910	"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, ..."	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0		64	27	60	50	23	39	23	8	80	537	294	268	190	239	197	205	179		1165	2265	2612	2372	3214	3364	4683	4762	4844	4906	5512	5694	5950	7948	7857	8432	10540	
6003	"Knitted or crocheted fabrics, of a width <= 30 cm (excluding those containing by weight >= ..."	0	0	0	2	0	73	0	0	0	0	0	0	0	0	0	2	0		0	65	55	39	19	19	54	72	111	62	142	391	63	110	20	121	613		0	1183	1345	1581	3966	3273	2617	1775	1540	2287	2666	2847	2359	3379	3244	4109	3563	
6901	"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals, e.g. kieselguhr, tripolite ..."	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		4	7	31	5	21	9	0	0	13	52	0	41	363	4	15	3	25		280	404	560	974	854	919	754	245	70	206	348	363	437	312	207	286	363	
7012	"Glass inners for vacuum flasks or for other vacuum vessels"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		72	129	106	124	72	23	0	0	0	0	0	0	0	0	0	0	0	
7015	"Clock or watch glasses and similar glasses, glasses for non-corrective or corrective spectacles, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	5	3	22	11	1	0	3	0	0	4	2	2	0	0	0	261		1444	1911	1676	1604	2300	1714	1827	1869	1853	1387	1913	1397	1060	1579	1687	1233	1009	
7205	"Granules and powders of pig iron, spiegeleisen, iron or steel (excluding granules and powders ..."	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0		0	0	0	0	13	16	0	2	141	53	28	23	6	121	16	359	504		3513	4559	6596	13087	14569	18696	20794	26384	12538	18237	22881	19247	17162	17897	16420	14886	16345	
