Product code	Product label	Turkey's imports from Egypt-Value in 2001	Turkey's imports from Egypt-Value in 2002	Turkey's imports from Egypt-Value in 2003	Turkey's imports from Egypt-Value in 2004	Turkey's imports from Egypt-Value in 2005	Turkey's imports from Egypt-Value in 2006	Turkey's imports from Egypt-Value in 2007	Turkey's imports from Egypt-Value in 2008	Turkey's imports from Egypt-Value in 2009	Turkey's imports from Egypt-Value in 2010	Turkey's imports from Egypt-Value in 2011	Turkey's imports from Egypt-Value in 2012	Turkey's imports from Egypt-Value in 2013	Turkey's imports from Egypt-Value in 2014	Turkey's imports from Egypt-Value in 2015	Turkey's imports from Egypt-Value in 2016	Turkey's imports from Egypt-Value in 2017	Egypt's exports to world- 	Egypt's exports to world-Value in 2001	Egypt's exports to world-Value in 2002	Egypt's exports to world-Value in 2003	Egypt's exports to world-Value in 2004	Egypt's exports to world-Value in 2005	Egypt's exports to world-Value in 2006	Egypt's exports to world-Value in 2007	Egypt's exports to world-Value in 2008	Egypt's exports to world-Value in 2009	Egypt's exports to world-Value in 2010	Egypt's exports to world-Value in 2011	Egypt's exports to world-Value in 2012	Egypt's exports to world-Value in 2013	Egypt's exports to world-Value in 2014	Egypt's exports to world-Value in 2015	Egypt's exports to world-Value in 2016	Egypt's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
3814	"Organic composite solvents and thinners, n.e.s.; prepared paint or varnish removers (excluding ..."	0	0	0	0	1	8	61	11	291	347	12608	0	0	0	136	0	0		32	181	49	125	409	1371	3191	10845	9318	25351	46103	4245	4246	2464	495	830	2420		3325	4864	7367	8790	9508	10918	15593	20325	15189	17419	33138	21617	22648	23205	20344	18713	19470	
4108	"Chamois leather, incl. combination chamois leather(excluding glace-tanned leather subsequently ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4110	"Parings and other waste of leather, parchment-dressed leather or composition leather, not suitable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	11	43	4	18	0	0	0	0	0	0	0	0	0	0	0	0		54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4111	"Composition leather based on leather or leather fibre, in slabs, sheets or strip, whether or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		233	98	127	53	274	176	60	0	0	0	0	0	0	0	0	0	0		2848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4417	"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe ..."	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0		12	1	0	2	2	0	5	9	6	5	2	43	17	42	6	1	0		223	221	204	423	718	981	909	1099	928	1275	1555	1721	2280	2159	2813	2829	2300	
4418	"Builders' joinery and carpentry, of wood, incl. cellular wood panels, assembled flooring panels, ..."	2	0	0	0	0	0	1	0	0	5	0	1	3	2	0	0	0		174	131	615	250	523	583	346	630	2467	1471	2344	4393	2097	1790	1368	1710	2266		15371	16775	16711	21444	22667	35859	50027	61253	33548	44382	61297	60935	97472	90323	82485	67026	65653	
4809	"Carbon paper, self-copy paper and other copying or transfer papers, incl. coated or impregnated ..."	0	0	0	0	0	0	0	31	161	128	0	0	0	0	0	0	0		584	13	0	5	0	1	0	2439	2058	2321	3167	3324	2895	2184	2120	2567	2540		8039	17419	20641	29303	29593	32471	38111	42830	34286	52772	54029	47064	46558	51738	44415	34416	36424	
4813	"Cigarette paper, whether or not cut to size or in the form of booklets or tubes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		423	65	4	0	0	5	1	0	12	4	31	17	1	8	8	7	48		28155	26431	33648	35712	35936	36233	41600	51228	54031	55469	51505	60949	63655	67117	61612	63879	68855	
4814	"Wallpaper and similar wallcoverings of paper; window transparencies of paper"	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0		106	77	9	58	247	97	5	184	7	46	8	23	3	247	237	138	3962		1415	2006	2507	4084	5643	7847	13665	19332	19515	30959	42862	44137	57716	84607	76084	17571	16270	
4903	"Children's picture, drawing or colouring books"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		0	0	2	0	1	0	0	73	9	18	59	15	2	0	49	0	0		49	82	179	527	576	902	1363	1156	1467	2165	2992	4111	2457	3091	2916	3035	4159	
3914	"Ion-exchangers based on polymers of heading 3901 to 3913, in primary forms"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	191	253	657	3083	2104	4084	2365	1014	1412	2798		2890	3808	4922	6209	5518	6763	7172	10469	8515	7411	10615	9817	12289	14347	14371	13308	15607	
4015	"Articles of apparel and clothing accessories, incl. gloves, mittens and mitts, for all purposes, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	25	1	40	11	3	1	26	0	17	97	107	49	44	44	1	585		7436	10530	11169	22453	22511	30608	45747	48461	54963	76639	104993	108755	109230	109732	126392	136154	156584	
4017	"Hard rubber, e.g. ebonite, in all forms, incl. waste and scrap; articles of hard rubber, n.e.s."	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		68	6	0	72	11	1	117	10872	719	20	75	674	200	447	162	32	436		363	444	612	765	1136	1361	1669	1669	1275	2023	1523	864	1517	1555	1226	1236	1273	
5110	"Yarn of coarse animal hair or of horsehair, incl. gimped horsehair yarn, whether or not put ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	43	0	0	0	0	30	0	0	0	99	0	9	0	0	0		1	0	128	0	0	0	70	172	140	0	298	620	560	679	597	564	91	
5111	"Woven fabrics of carded wool or of carded fine animal hair (excluding fabrics for technical ..."	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0		3	0	132	5	0	0	0	1781	2117	2367	1606	2395	2523	9347	10875	17454	10469		32499	36404	41437	54413	49161	52272	53085	52510	44073	50564	49895	47542	50315	41472	27099	22450	30382	
5305	"Coconut, abaca "Manila hemp or Musa textilis Nee", ramie, agave and other vegetable textile ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		96	0	115	0	106	43	191	0	0	48	61	0	2	8	2	0	87		28	22	15	182	477	467	862	609	295	277	420	601	512	321	480	300	189	
5504	"Artificial staple fibres, not carded, combed or otherwise processed for spinning"	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0		0	0	0	0	0	433	80	139	71	322	28	0	176	390	114	128	169		77934	112770	144441	205902	192504	260699	435972	412925	399497	567085	689956	632905	512921	485351	479219	540988	547377	
5513	"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ..."	0	63	23	0	2	4	73	7	200	162	417	340	80	0	0	0	0		87	4	14	16	56	0	126	341	15	245	448	46	1002	393	433	455	498		16825	28046	36305	67820	77830	91247	89570	88103	84508	89439	96250	48092	53444	47145	32804	27376	30168	
5901	"Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers ..."	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	18	1	0	2	0	48	0	19	0	0	0	14	0	41		691	1077	1280	1224	1477	1316	1880	2397	1937	3063	4412	4159	4776	4026	1806	1236	1399	
5904	"Linoleum, whether or not cut to shape; floor coverings consisting of a coating or covering ..."	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0		8	0	0	32	0	7	0	33	54	9	6	1	57	105	84	4	20		182	431	241	359	345	746	408	708	645	1194	334	1127	1682	863	715	912	1050	
6401	"Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	1	0	27	3	120	437	130	261	92	72	76	20	176	17		155	254	382	636	816	1098	1442	1709	3278	5496	4228	4994	8355	5171	7676	4377	5621	
6406	"Parts of footwear, incl. uppers whether or not attached to soles other than outer soles; removable ..."	0	0	0	0	0	0	0	0	0	0	0	61	1	0	0	0	0		372	441	188	98	334	323	353	2281	3473	4622	4181	956	324	344	246	22	371		8658	12148	15768	16033	13870	17583	29719	34339	25440	34090	55620	57508	58341	58516	65103	66255	58838	
6501	"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	1	3	15	1	7	5	3	1	13	15	34	19	14	4	189	
6502	"Hat-shapes, plaited or made by assembling strips of any material (excluding blocked to shape, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	3	0	0	0	0	4	0	4	6	0	10	0	3	1	22	
6809	"Articles of plaster or of compositions based on plaster (excluding plaster bandages for straightening ..."	0	0	0	0	0	0	0	0	8	47	0	0	0	0	4	0	0		75	79	9	54	64	31	113	248	194	493	316	298	298	66	1149	1777	3523		684	277	507	1697	973	1146	6160	9136	4532	5359	7359	10724	26714	20846	18424	12852	7659	
6901	"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals, e.g. kieselguhr, tripolite ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7	34	21	32	78	52	91	53	4	23	47	67	11	37	15	17	810		280	404	560	974	854	919	754	245	70	206	348	363	437	312	207	286	363	
7012	"Glass inners for vacuum flasks or for other vacuum vessels"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7	68	12	1	12	24	55	0	0	0	0	0	0	0	0	0	0		72	129	106	124	72	23	0	0	0	0	0	0	0	0	0	0	0	
7015	"Clock or watch glasses and similar glasses, glasses for non-corrective or corrective spectacles, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		47	0	1	6	6	0	0	10	0	260	0	0	0	0	0	0	17		1444	1911	1676	1604	2300	1714	1827	1869	1853	1387	1913	1397	1060	1579	1687	1233	1009	
7215	"Bars and rods, of iron or non-alloy steel, cold-formed or cold-finished, whether or not further ..."	0	0	0	0	0	0	0	0	176	289	378	36	36	0	0	0	0		0	345	291	69	10962	2631	12271	43049	406	545	567	398	776	496	321	134	164		8288	10786	18270	31548	36738	41512	57000	61122	43658	62332	90145	67463	71752	68645	47768	30252	38398	
7301	"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; ..."	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0		81	40	305	387	2308	357	535	3497	2600	892	1094	2427	1715	761	617	1267	773		1409	707	6586	592	1720	1258	2933	1145	1014	1637	1682	4338	14206	13179	2438	2596	4377	
7312	"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel (excluding ..."	19	107	12	55	188	196	255	41	206	317	568	187	111	24	0	0	0		8	20	23	898	949	968	2264	3684	3352	1714	638	4548	981	427	716	105	726		11100	11130	14116	17073	27825	32070	45955	55921	49159	55707	63034	55888	70622	88029	114475	67653	88222	
7315	"Chain and parts thereof, or iron or steel (excluding watch chains, necklace chains and the ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0		73	50	24	4	3	2	8	0	0	26	81	111	8	0	4	0	0		6545	8940	11865	18287	19157	26822	31209	35172	24566	29972	43638	40971	40558	41981	39382	39598	48159	
7409	"Plates, sheets and strip, of copper, of a thickness of > 0,15 mm (excluding expanded sheet ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		18	0	8	10	804	309	62	581431	527705	633398	516656	443356	218056	109560	71920	46242	64472		10742	19705	23954	34639	41665	49925	69039	68543	31619	66700	71010	88188	81945	78714	76308	62622	69646	
7503	"Waste and scrap, of nickel (excluding ingots or other similar unwrought shapes, of remelted ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		28	68	0	0	0	0	0	0	1	8	0	201	0	200	0	0	0		0	0	0	0	0	0	0	0	1	37	66	14	0	0	95	135	298	
7603	"Powder and flakes, of aluminium (excluding pellets of aluminium, and spangles)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		1	75	30	76	611	612	63	182982	124847	166522	185838	151453	158412	137166	103280	96664	108545		2004	2643	3776	5369	6222	7939	9879	12488	7948	10844	16900	13003	14954	17022	14193	13755	12705	
7904	"Zinc bars, rods, profiles and wire, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	2	10	35	128	50	0	0	0	0	15	0	0	0	0		1066	1062	852	740	698	801	1589	1506	1640	1614	1073	1556	1621	1301	1227	2131	2778	
7907	"Articles of zinc, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0		0	0	0	0	0	0	0	2	0	0	34	0	55	4	0	416	1		8224	1348	3274	6413	7289	6158	5104	7056	4195	5121	7296	6327	7753	7157	6946	7272	9726	
8002	"Tin waste and scrap (excluding ash and residues from the manufacture of tin of heading 2620, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	3	20	6	0	22	0	0	0	6	8	0	0	32	33	
8005	"Tin foil of a thickness "without any backing" <= 0,2 mm, whether or not printed or backed with ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8	5	29	126	66	122	0	0	0	0	0	0	0	0	0	0	0	
8108	"Titanium and articles thereof, n.e.s.; titanium waste and scrap (excluding ash and residues ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2406	1954	2576	8745	10084	18602	25411	25048	25990	28157	37185	44320	61312	65784	56994	79195	86193	
8110	"Antimony and articles thereof, n.e.s.; antimony waste and scrap (excluding ash and residues ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	0	0		35	223	385	237	140	983	1828	2242	2093	2156	3622	3316	2963	2350	2625	1853	1667	
8201	"Hand tools, the following: spades, shovels, mattocks, picks, hoes, forks and rakes, of base ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	52	3	24	24	0	9	196	167	396	214	90	1	1	6	1138		1482	1843	2517	3810	5159	5614	6225	6605	4546	9536	16059	11721	11440	8764	7337	6967	6135	
8202	"Handsaws, with working parts of base metal (excluding power-operated saws); blades for saws ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		21	115	3	24	54	57	8	152	2749	20	0	84	32	0	4	6	1		9944	15790	19960	30324	35615	40669	48975	50568	38690	62311	73225	68091	76707	72920	57490	49970	51798	
8439	"Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		144	65	7	7	0	32	3	6	1	36	47	3	3	888	4	330	104		20457	11357	38780	28835	38023	85993	143897	81173	45296	62553	120851	132434	119375	249854	120933	48466	41288	
8442	"Machinery, apparatus and equipment (other than the machine-tools of headings 8456 to 8465) ..."	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	58	0		25	40	35	18	10	2	0	309	109	14	86	67	137	168	174	277	176		4894	9794	15320	18804	14840	19202	34594	55103	35400	43016	34627	32899	32966	28921	29184	28759	23970	
8468	"Machinery and apparatus for soldering, brazing or welding, whether or not capable of cutting ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		63	42	36	45	34	863	63	5	381	65	277	18	14	44	44	0	1		2276	9487	4760	7833	9227	8935	9477	10906	10389	16373	9796	9244	11656	14385	9368	7329	10472	
8475	"Machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, in glass ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		34	4	117	1	130	0	0	0	555	477	0	0	0	0	0	0	0		15694	10459	18228	23005	36266	32326	52819	64628	14166	13660	42831	74959	35325	54532	84951	39423	44754	
8506	"Primary cells and primary batteries, electrical; parts thereof (excluding spent)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1225	864	1309	4241	6120	7707	7210	16433	11111	8516	5468	7958	6133	1739	6790	4517	5474		18149	24571	25050	35360	39585	41658	48348	50265	41592	53897	62410	57483	61066	62863	54890	52168	52086	
8311	"Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, ..."	0	0	0	0	0	0	0	0	0	0	0	0	4	54	0	1	0		25	3	262	1256	1395	759	3559	802	1087	483	290	246	632	604	354	206	354		8223	6484	11376	14453	16662	22089	31802	33342	18116	20135	22990	25802	26342	30381	29540	25657	28272	
8402	"Steam or other vapour generating boilers (excluding central heating hot water boilers capable ..."	8	0	0	0	0	0	0	0	0	0	7696	0	0	0	0	0	0		2	0	0	0	3	25	0	1249	79	1946	554	581	2	7	678	10	0		97230	198376	68993	30700	34589	52731	91608	175388	341611	216590	57362	339994	709329	155570	273721	420179	104572	
8518	"Microphones and stands therefor (excluding cordless microphones with built-in transmitter); ..."	0	0	0	0	1	0	0	0	0	3	11	0	0	0	1	7	0		3	45	9	7	0	0	58	244	175	15	16	10	0	32	1	9	18		34767	50565	80492	108202	130620	128134	112975	130370	89254	116927	159632	160914	165804	169623	154590	155102	187803	
8519	"Sound recording or sound reproducing apparatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	19	0	23	4	33	4	0	14	62	0	0	18	0	282		2751	4949	11460	13380	5969	4541	23238	19109	16620	22508	18098	15415	12053	11166	8250	6694	8940	
8535	"Electrical apparatus for switching or protecting electrical circuits, or for making connections ..."	0	0	6	0	0	1	0	12	0	162	0	0	0	3	26	0	0		26	1	77	172	19	1350	1	595	222	962	4077	13430	6674	1046	1809	1234	391		32934	41143	31336	52649	46048	66540	94884	118446	124029	97611	145770	157278	195496	146356	137071	123278	126355	
8547	"Insulating fittings for electrical machines, appliances or equipment, being fittings wholly ..."	0	0	0	0	0	15	0	85	0	42	61	28	1	2	0	0	0		102	0	0	17	162	60	0	2102	1658	154	62	160	0	353	110	53	54		41929	34276	35587	41973	41301	67848	93907	91583	63231	72122	83634	72672	83873	68636	72119	80158	95431	
8601	"Rail locomotives powered from an external source of electricity or by electric accumulators"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	40	0	0	0	0	0	0	0	0	1101	0	0	0	0		718	0	0	58	175	439	125	4781	593	339	367	533	125000	62740	47128	1195	1218	
8711	"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with or without side-cars; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	4	4	94	4	0	1	49	48	46	28	1	203	232	70	19	520		11838	8518	22218	99995	234084	364033	62577	51783	31290	54755	80826	104046	151445	178278	204341	240832	175092	
8805	"Aircraft launching gear (excluding motor winches for launching gliders); deck-arrestor or similar ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0		611	339	10414	6940	642	17026	7179	8139	14019	37090	29453	42592	54442	28740	33363	56637	40315	
9006	"Photographic cameras, photographic flashlight apparatus and flashbulbs (excluding discharge ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	8	116	141	327	20	42	5	1	120	113	159	58	0	0	0	0		7020	9956	13069	11908	14103	10961	7978	5121	4407	5737	6950	5284	6507	7859	7636	7127	8531	
9013	"Liquid crystal devices not constituting articles provided for more specifically in other heading; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0		0	0	0	6	0	409	14	35	0	4	358	16	9	21	0	49	48		20050	20566	18020	14758	18200	22173	35475	41947	36278	47238	57294	153354	265575	290365	327240	305711	345964	
9028	"Gas, liquid or electricity supply or production meters, incl. calibrating meters therefor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	121	0	0	11	36575	39849	18020	16755	38743	24686	22017	28880	32239	28752		11970	31007	37421	43836	52788	47135	41142	52644	55610	46729	47540	47778	56682	63073	50762	41368	35607	
9103	"Clocks with watch movements (excluding wrist-watches, pocket-watches and other watches of heading ..."	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0		0	0	1	0	0	0	0	0	5	0	178	0	2	0	0	70	0		791	855	981	1109	619	276	377	321	235	287	278	316	421	419	270	272	199	
9302	"Revolvers and pistols (excluding those of heading 9303 or 9304 and sub-machine guns for military ..."	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0		1992	5912	845	3256	3101	1675	5776	5199	1807	1936	3204	5948	8024	7486	2380	5633	500	
9502	"Dolls representing only human beings"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		47	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0		4013	3977	7238	13115	15560	16821	0	0	0	0	0	0	0	0	0	0	0	
9604	"Hand sieves and hand riddles (excluding colanders)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	6	12	0	3	0	0	56	0	0	0	0		72	91	109	86	179	172	180	122	251	312	348	286	238	266	166	150	225	
9612	"Typewriter or similar ribbons, inked or otherwise prepared for giving impressions, whether ..."	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0		1	1	0	0	4	0	2	0	36	3	0	0	0	0	0	0	0		11124	11824	14410	21961	21457	20438	23248	22021	20723	22962	24420	22375	23775	23884	20827	21403	20170	
0202	"Meat of bovine animals, frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	108	62	16	71	29	9	4	1	14	5	139	7	3	19	19		0	0	0	74	0	0	0	0	0	19004	2754	5762	3966	0	49824	0	39594	
0209	"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	6	0	0	0	0	330	0	0	69	0	0	0	0	0	1		0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	
0210	"Meat and edible offal, salted, in brine, dried or smoked; edible flours and meals of meat or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		30	35	31	9	46	47	5	39	89	158	37	223	100	42	1	129	303		16	10	49	7	16	0	0	0	0	0	0	68	2	0	0	0	0	
0305	"Fish, fit for human consumption, dried, salted or in brine; smoked fish, fit for human consumption, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		76	146	65	37	52	23	38	225	330	288	465	395	336	829	1169	1265	954		275	335	255	618	822	1174	1363	1791	959	1336	751	601	423	389	655	544	579	
0402	"Milk and cream, concentrated or containing added sugar or other sweetening matter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3054	788	1087	786	1169	241	1540	7368	5283	5304	6740	9545	10981	13907	11188	11684	19380		5683	8733	20660	25229	23049	38724	51663	63994	42403	37869	8388	269	230	457	517	639	539	
0403	"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	16	2	20	11	0	44	170	128	114	141	62	58	1	34	93	20		55	338	414	502	435	21	76	187	98	253	148	270	599	3064	985	123	303	
0410	"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	92	0	48	0	93	72	132	252	10	189	109	139	14	34		77	209	499	207	188	133	58	171	180	430	476	267	313	456	364	451	336	
0502	"Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	27	0	31	34	0	3	1	5	7	0	2	14		2674	2319	2961	3238	4481	4349	5885	5755	6172	6823	7035	6722	6502	7313	6824	6611	7424	
0506	"Bones and horn-cores and their powder and waste, unworked, defatted, simply prepared, treated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		548	524	591	896	933	868	1078	1203	748	600	643	403	341	1140	2718	1753	1621		1	0	0	0	0	0	6	0	1	48	20	9	0	9	0	0	2	
0507	"Ivory, tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and ..."	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0		255	238	210	111	2	40	105	123	20	0	5	2	339	0	72	189	20		0	3	0	0	1	0	18	1	4	17	26	24	62	33	0	11	28	
0902	"Tea, whether or not flavoured"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0		5427	8821	8942	6552	9528	12422	13094	21652	26411	27869	22936	24446	23336	23501	19125	18153	7168		8375	2684	3941	5205	6438	7735	8158	11322	13538	21530	17732	13710	17554	16045	17015	41089	59929	
1006	"Rice"	19950	14583	23925	23014	43404	45199	87259	37571	43678	35824	17	0	9822	173	0	10	0		142218	105552	149929	230670	311095	301334	401925	177868	475933	365538	17102	84605	199316	29996	77064	24277	0		57683	86383	122786	62025	97186	89105	112750	172790	135271	264541	152439	111346	150523	277321	166058	116207	148788	
1007	"Grain sorghum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	155	7	21	35	2783	7680	1993	772	138	0	238	78	174		28	0	0	1	0	0	28	54	9	18	2936	278	26	102	74	0	0	
1107	"Malt, whether or not roasted"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2	0	0	0	2	0	257	1861	12	5039	6587	6679	6705	6722	4235	6193		454	289	236	2410	1701	2794	1087	2246	875	4471	3401	3045	15079	15927	17865	23292	26866	
1206	"Sunflower seeds, whether or not broken"	0	1	5	1	1	3	1	2	1	21	2	3	4	2	2	1	0		1399	2013	2015	2797	2025	3006	1782	3759	4795	3600	2368	1774	3215	2772	2618	3290	2145		42707	42008	153335	157376	161759	116520	260166	365145	240620	349690	589577	443959	474002	406155	237984	263005	356471	
1403	"Vegetable materials, such as broom-corn, piassava, couch-grass and istle, of a kind used primarily ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		36	4	0	2	0	141	140	0	0	0	0	0	0	0	0	0	0		53	95	711	776	269	458	0	0	0	0	0	0	0	0	0	0	0	
1506	"Other animal fats and oils and their fractions, whether or not refined, but not chemically ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	191	17	507	34	31	0	26	131	103	1	268	0		2	6	5	5	0	0	0	13	1	1	27	41	78	72	667	661	757	
1704	"Sugar confectionery not containing cocoa, incl. white chocolate"	0	0	0	0	0	26	6	27	0	0	0	0	0	0	0	75	0		3300	4906	4504	4637	7887	11239	12304	76234	91550	124837	110840	66182	85810	75999	80478	131616	64699		4762	2523	3212	4166	4771	5015	7394	16627	15224	10074	13011	10719	13623	16895	16214	15503	17761	
2009	"Fruit juices, incl. grape must, and vegetable juices, unfermented, not containing added spirit, ..."	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0		4847	7823	13438	13408	20383	14386	21518	59955	68557	99260	105255	117968	95138	128334	102078	93276	107195		4265	5382	6373	9051	11689	23547	34522	35650	17037	23752	28885	27815	29639	25880	22926	18165	16087	
