Product code	Product label	Turkey's imports from China-Value in 2001	Turkey's imports from China-Value in 2002	Turkey's imports from China-Value in 2003	Turkey's imports from China-Value in 2004	Turkey's imports from China-Value in 2005	Turkey's imports from China-Value in 2006	Turkey's imports from China-Value in 2007	Turkey's imports from China-Value in 2008	Turkey's imports from China-Value in 2009	Turkey's imports from China-Value in 2010	Turkey's imports from China-Value in 2011	Turkey's imports from China-Value in 2012	Turkey's imports from China-Value in 2013	Turkey's imports from China-Value in 2014	Turkey's imports from China-Value in 2015	Turkey's imports from China-Value in 2016	Turkey's imports from China-Value in 2017	China's exports to world- 	China's exports to world-Value in 2001	China's exports to world-Value in 2002	China's exports to world-Value in 2003	China's exports to world-Value in 2004	China's exports to world-Value in 2005	China's exports to world-Value in 2006	China's exports to world-Value in 2007	China's exports to world-Value in 2008	China's exports to world-Value in 2009	China's exports to world-Value in 2010	China's exports to world-Value in 2011	China's exports to world-Value in 2012	China's exports to world-Value in 2013	China's exports to world-Value in 2014	China's exports to world-Value in 2015	China's exports to world-Value in 2016	China's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
3103	"Mineral or chemical phosphatic fertilisers (excluding those in tablets or similar forms, or ..."	0	0	0	0	0	23	0	23	0	0	0	0	0	0	0	0	0		40365	74075	92433	138867	157249	157485	318263	701209	321809	467729	1048962	654200	434931	479447	513318	330111	415249		3057	1369	3198	6045	4876	8213	9270	17813	1961	3498	6559	4000	2234	7276	10054	15307	4963	
3501	"Casein, caseinates and other casein derivatives; casein glues (excluding those packaged as ..."	274	104	345	190	420	161	194	366	141	150	204	116	214	45	52	14	0		6380	7145	12647	26373	31041	28472	55656	32416	7304	22168	23303	24185	15595	6106	2363	3289	4424		3081	2394	3998	6526	6364	8373	13889	12797	9990	22810	9796	7719	9816	16848	10040	5926	5662	
4109	"Patent leather and patent laminated leather; metallized leather (excluding lacquered or metallized ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4114	"Chamois leather, incl. combination chamois leather (excluding glacé-tanned leather subsequently ..."	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	9	0		0	23646	18327	26383	29540	22684	15160	7065	4006	5867	7825	8502	12038	12158	15897	8966	10052		0	954	1139	2584	2030	3832	4409	3971	1323	1284	2510	3599	4176	4591	2227	2245	3436	
4204	"Articles for technical use, of leather or composition leather"	1	1	7	43	0	0	0	0	0	0	0	0	0	0	0	0	0		219	440	645	682	902	452	0	0	0	0	0	0	0	0	0	0	0		125	127	124	157	467	159	0	0	0	0	0	0	0	0	0	0	0	
4401	"Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chips or particles; sawdust ..."	0	0	0	180	0	0	0	0	0	0	233	10	2	0	0	0	0		106795	91778	96862	103387	95732	67993	30223	15944	5542	6553	6227	5178	8286	47511	19956	10141	7658		3544	9135	26601	54987	71674	125860	148705	153768	129127	161452	190033	316104	207551	225878	316863	234983	198288	
4502	"Natural cork, debacked or roughly squared, or in square or rectangular blocks, plates, sheets ..."	0	0	0	0	0	0	13	2	1	0	0	9	1	0	0	0	0		761	552	319	196	54	124	86	231	233	50	20	53	21	23	30	6	38		8	38	47	27	5	84	32	12	9	4	8	11	4	0	17	6	20	
4701	"Mechanical wood pulp, not chemically treated"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		84	52	56	33	64	86	100	134	97	82	311	108	182	43	106	42	58		691	1557	1470	819	4482	2039	7400	5425	249	1707	1938	120	239	505	1751	3326	6741	
4705	"Wood pulp obtained by a combination of mechanical and chemical pulping processes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	15	7	10	21	39	180	9	0	180	0	26	54	668	45	4	1		3464	1543	528	437	508	0	23	0	317	3781	7124	6399	1696	967	1370	1782	894	
5203	"Cotton, carded or combed"	0	0	0	0	0	0	0	0	0	15	0	1	0	1	2	0	0		549	594	803	261	210	115	151	0	10	0	0	134	671	3548	351	79	297		116	287	640	385	158	689	102	79	167	809	361	51	471	591	773	212	333	
7118	"Coin, incl. legal tender (excluding medals, jewellery made from coins, collectors' items of ..."	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0		9814	2137	3596	3341	937	2135	2995	4838	450	352	101	352	80	490	511	667	593		0	0	0	0	6	0	6	1	1	3	0	2	1	5	1	0	0	
7218	"Stainless steel in ingots or other primary forms (excluding remelting scrap ingots and products ..."	0	4	0	0	0	0	2	0	0	0	0	31	30	33	17	3	0		17531	29660	38226	29009	11211	3268	614	793	1801	619	1156	826	1352	2113	1552	223	179		49	46	82	659	546	389	899	1882	472	685	1108	1179	1781	1792	724	345	363	
8006	"Tin tubes, pipes and tube or pipe fittings "e.g., couplings, elbows, sleeves""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		28139	774	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	
8702	"Motor vehicles for the transport of >= 10 persons, incl. driver"	85	0	0	0	0	827	0	207	0	68	0	0	0	0	0	0	0		54418	48460	42892	81026	196624	416392	899323	1081671	638118	1036593	1536321	1935447	2141160	2819079	2311037	2169728	2095347		32279	24877	37386	66688	103390	257924	248608	320658	207086	166638	266514	261081	249108	268831	253092	186208	116557	
0104	"Live sheep and goats"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		393	176	221	5054	3058	3764	518	672	1380	1284	1106	1047	1355	1657	1211	925	873		11	0	0	0	0	0	0	0	123	26920	148016	42605	15687	3745	959	976	37313	
0106	"Live animals (excluding horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, ..."	0	20	0	0	0	0	1	0	0	0	0	0	46	0	0	0	0		11417	13539	11838	15661	25268	35264	39842	46034	36959	40492	36130	31547	31695	47363	37527	55747	46130		725	1015	730	1052	859	1160	1530	2002	1385	1451	2271	2632	2525	3202	3550	3401	3333	
0301	"Live fish"	0	0	4	14	19	10	20	2	6	37	101	67	43	31	29	1	0		166156	169051	220631	324280	357763	363432	343546	485530	390485	454937	497187	515787	599524	601642	556680	569885	491902		222	354	458	3167	16503	20573	14742	18739	10105	4486	7942	8150	11976	15733	20462	8649	12697	
0504	"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ..."	0	3555	7884	4954	3147	952	738	0	32	6	0	0	0	0	0	0	0		283578	291193	398648	505380	510103	547504	573944	843341	790696	831981	1102866	1099994	968029	1031133	1014811	1073885	1349328		11501	22173	26407	23532	18580	15094	12685	10610	11896	17940	29474	21580	25219	31025	22704	16997	24293	
0509	"Natural sponges of animal origin"	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1040	646	612	0	208	104	0	0	0	0	0	0	0	0	0	0	0		2	2	4	7	32	26	0	0	0	0	0	0	0	0	0	0	0	
0810	"Fresh strawberries, raspberries, blackberries, back, white or red currants, gooseberries and ..."	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0		7173	12994	7589	14951	20181	17696	28199	36982	71728	95977	132205	184274	225632	233404	384500	273418	251178		905	950	1050	2095	3369	3970	3785	2322	3521	2793	4526	3382	4859	3576	3721	5298	6754	
1002	"Rye"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		17	9	3	4018	52	3	0	0	0	0	0	0	0	0	0	0	0		0	1727	4044	3070	7944	0	3859	5061	270	0	0	1	0	0	0	0	0	
1103	"Cereal groats, meal and pellets"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		1237	1057	1369	2400	12126	10298	3419	5288	119	31	32	22	34	11	348	48	120		31	4	100	78	242	38	211	541	41	180	206	135	167	273	907	264	341	
0705	"Lettuce "Lactuca sativa" and chicory "Cichorium spp.", fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1507	1336	4259	6153	9323	11679	11284	19061	20424	23860	30482	45545	53429	27689	47008	81246	86128		0	3	25	41	0	0	73	1058	122	239	476	930	1040	74	598	140	180	
1213	"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		38052	15938	38643	11147	10736	12079	14275	16463	17202	20805	25087	24289	20531	17133	11939	2768	3723		4	21	20	46	97	17	0	3	26	30	0	591	14188	193	54	31	3818	
2007	"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, ..."	0	0	0	25	0	0	0	0	0	347	819	28	0	19	192	0	0		14094	18753	30000	37729	46634	62186	78374	89653	68277	78759	93142	98381	97333	94389	83703	77305	78396		821	1358	1489	2445	6211	5153	7323	11800	4311	7171	8086	7229	5563	5217	12807	9742	8355	
2104	"Soups and broths and preparations therefor; food preparations consisting of finely homogenised ..."	0	0	0	0	0	0	0	0	0	29	0	0	11	0	0	0	0		11965	15929	26936	26120	32887	29949	30159	29098	29173	40089	58303	67426	66625	74304	72952	74966	69385		718	235	211	856	1947	2341	2330	4222	2756	2791	5363	5234	6187	4698	4423	3396	3649	
2614	"Titanium ores and concentrates"	0	0	0	382	1115	478	234	165	0	4	1	30	0	0	0	1	0		1368	1118	3109	2624	3469	3046	2801	921	251	812	12616	36119	22319	16396	16408	9840	15954		1063	2319	2157	5682	4108	3850	5516	5265	3871	5170	10450	14706	10509	7809	7551	5844	6365	
2616	"Precious-metal ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	4	13	14	17	1	0	0	1	3	7885	19157	2	196	380	0		0	0	0	1	1	1	15	0	4	11	40	13	8	7	7	2	523	
2705	"Coal gas, water gas, producer gas, lean gas and similar gases (excluding petroleum gases and ..."	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0		0	0	33	3	0	0	0	0	5	1	0	0	0	0	0	0	0		0	0	0	0	0	4	9	4	11	16	11	0	2	3	0	0	0	
2707	"Oils and other products of the distillation of high temperature coal tar; similar products ..."	0	0	0	0	13	0	0	0	0	0	0	7	0	101	622	0	0		6998	7154	9775	42797	83169	183479	289652	236120	50891	121338	235742	362502	204178	165356	93283	44189	34099		2242	2576	4424	8709	12857	14254	9583	13628	8095	14008	40175	23169	45892	74323	84949	47406	54360	
2716	"Electrical energy"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		655549	618384	683430	609783	716681	723021	858720	991730	1078854	1173192	1237598	1232645	1394346	1337508	1409508	1402328	1405901		162280	128215	43453	15683	18208	18204	21519	15488	17245	20455	86565	255377	334202	438826	325171	213614	85501	
2822	"Cobalt oxides and hydroxides; commercial cobalt oxides"	0	0	21	246	236	151	261	592	98	105	223	151	0	22	21	29	0		2842	1206	7568	42656	51393	50158	109796	175816	50786	110784	109113	142947	211910	224628	172868	186749	320382		944	918	1224	2149	2162	2016	3091	6615	2915	4354	5442	5744	6763	9102	7044	5447	11046	
3502	"Albumins, incl. concentrates of two or more whey proteins containing by weight > 80% whey proteins, ..."	0	0	0	0	15	7	0	42	0	9	0	1	0	93	0	0	0		858	880	2092	5190	4678	3321	3214	1910	1626	837	1236	1836	6225	6876	12459	3695	1650		1237	1375	1285	2133	1811	2930	3221	3339	3203	3800	3132	4356	5854	7444	5463	3914	4788	
4206	"Articles of gut, goldbeater's skin, bladders or tendons (excluding silkworm gut, sterile catgut, ..."	56	62	102	92	1	0	3	1	0	0	0	0	0	0	10	0	0		547	601	300	390	494	462	289	66	54	10	0	0	0	0	0	0	24		253	421	369	377	269	104	56	5	1	0	5	1	9	11	13	7	11	
4403	"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared (excluding ..."	0	0	0	2	547	198	0	0	9	3	81	432	8	5	2	3	0		5553	3174	2887	1959	2040	1368	1211	986	4580	10526	6768	1724	6656	8062	4140	29793	30155		66509	78408	100732	172825	208316	229455	254091	210506	113160	146994	175003	146782	107556	103788	89696	62218	33431	
4405	"Wood wool; wood flour "wood powder able to pass through a fine", 0,63 mm mesh, sieve with a ..."	0	0	0	0	0	0	0	132	0	0	136	7	0	0	0	1	0		4481	2592	1952	6923	3423	1438	1594	2715	1556	1213	1207	1774	4005	9166	8106	1878	2194		47	95	156	224	329	2233	2398	6343	1432	1987	3669	2633	2167	161	128	44	96	
4703	"Chemical wood pulp, soda or sulphate (excluding dissolving grades)"	0	0	0	1	0	0	0	0	0	0	53	0	0	531	0	25	0		2272	2053	1531	547	10394	15703	26651	6059	9618	9363	11883	11737	13622	11711	16630	17217	16325		129965	154893	164072	200638	253664	322292	387838	440700	323682	512794	563521	532829	620826	641009	678690	658393	778493	
4707	"Recovered "waste and scrap" paper or paperboard (excluding paper wool)"	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0		86	73	177	109	38	22	85	3	60	153	770	813	475	298	311	538	419		6986	23815	12211	9412	5482	8984	4631	15334	11526	17277	16100	8991	13198	33277	47526	73192	145881	
4801	"Newsprint as specified in Note 4 to chapter 48, in rolls of a width > 36 cm or in square or ..."	5	0	0	0	0	350	13556	5338	1623	0	0	281	125	0	76	0	0		10151	2766	4553	7339	9573	169712	304586	251731	117377	65116	12490	5193	58254	59809	21402	12568	10013		124395	106773	165615	235249	311629	362340	382491	395413	294970	299436	336595	294786	276277	243789	172708	131627	112524	
5001	"Silkworm cocoons suitable for reeling"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0		3498	1647	895	980	285	302	730	252	251	555	1088	491	650	628	251	272	196		2	0	0	0	0	2	0	0	0	0	0	0	0	1	6	0	0	
5104	"Garnetted stock of wool or of fine or coarse animal hair, neither carded nor combed"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1022	1335	1064	915	1189	1540	2006	1099	1321	2346	3294	1539	350	1210	496	477	562		0	0	8	4	0	0	0	171	155	140	0	0	0	0	10	15	1	
5207	"Cotton yarn put up for retail sale (excluding sewing thread)"	0	1	0	0	0	0	2	0	4	0	6	1	0	1	8	0	0		4995	20221	14218	5692	7590	7447	10914	12423	11630	13583	16276	12737	13700	25422	23536	22399	18722		161	147	390	693	579	313	508	912	608	1413	1845	1052	1552	1597	1539	1535	2983	
6908	"Glazed ceramic flags and paving, hearth or wall tiles; glazed ceramic mosaic cubes and the ..."	0	403	1162	10810	17900	14329	3568	5457	2535	4705	8480	14505	32025	30857	21493	13356	0		77960	166377	262834	404194	586342	824784	1044991	1316082	1476485	2018161	2479202	3609762	4762231	4245870	4632303	3749040	224		7409	8147	8354	21358	31505	43040	36602	34692	20196	27769	36562	35100	54524	54613	39688	33331	0	
7903	"Zinc dust, powders and flakes (excluding grains of zinc, and spangles of heading 8308)"	0	0	0	0	0	0	0	0	0	4	0	0	11	16	2	0	0		13329	12719	13345	16376	26020	61815	17470	11222	5548	6429	5690	2905	4772	2871	1325	1010	904		484	484	566	1081	1180	4160	4969	3244	2113	2203	3116	4089	3884	5137	5942	4714	4906	
9203	"Keyboard pipe organs; harmoniums and similar keyboard instruments with free metal reeds (excluding ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1250	1694	1880	2269	2776	2999	0	0	0	0	0	0	0	0	0	0	0		6	4	47	0	7	2	0	0	0	0	0	0	0	0	0	0	0	
9705	"Collections and collector's pieces of zoological, botanical, mineralogical, anatomical, historical, ..."	0	0	0	0	1	0	3	1	1	9	158	0	8	1	52	0	0		227	646	419	369	940	1160	1498	856	2198	4979	1082	568	1545	534	1018	7830	1367		7514	82	523	196	324	286	1040	134	218	817	2534	3116	1069	616	862	1015	469	
8801	"Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft"	0	1	0	10	3	63	127	193	13	2	2	5	0	9	103	0	1		17	125	46	68	113	489	886	1186	1133	1422	1852	2072	1783	1720	1733	7097	1947		274	448	1182	500	922	1341	879	1673	2211	3126	3092	2923	3353	1507	2275	1751	444	
7404	"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ..."	0	0	0	0	0	123	1053	0	0	0	0	0	0	0	0	0	1		11395	8783	10209	15725	11485	24556	22352	15599	8365	11592	9056	7896	6763	2770	543	819	1318		7170	8760	41489	80336	29229	34884	17301	6011	3976	25115	44063	23015	17780	56024	43785	72101	116500	
5511	"Yarn of man-made staple fibres, put up for retail sale (excluding sewing thread)"	0	0	0	0	1	0	2	0	0	4	13	5	1	122	123	113	1		2834	3094	3519	4572	7558	11860	15750	12250	16579	20603	29905	38353	39043	45336	37280	33182	40461		597	642	462	1292	879	1147	590	858	952	1050	1136	1549	1302	2713	1373	779	336	
2522	"Quicklime, slaked lime and hydraulic lime (excluding pure calcium oxide and calcium hydroxide)"	0	0	0	0	0	19	0	0	0	9	4	0	0	0	1	0	1		3554	3265	4242	5832	8557	10932	12873	14887	10276	13705	13938	15277	22093	36018	29325	28058	28834		30	59	32	59	70	194	184	251	215	302	486	617	977	904	974	1258	1544	
4904	"Music, printed or in manuscript, whether or not bound or illustrated"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		5	11	27	41	48	323	795	574	234	865	632	298	280	783	158	119	229		24	23	25	32	49	59	124	53	47	17	60	23	72	42	75	194	152	
4105	"Tanned or crust skins of sheep or lambs, without wool on, whether or not split (excluding further ..."	87	54	0	0	17	29	4	2	1	34	39	10	28	5	4	1	1		67005	42583	13078	9348	2138	1336	437	1051	219	442	1552	883	256	1458	2222	990	5527		79817	13157	11032	9016	5531	4766	12321	17151	9651	21329	31522	24322	28101	29045	27358	13361	11860	
1102	"Cereal flours (excluding wheat or meslin)"	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1		4068	4724	7433	7680	8316	9005	8590	1572	1962	3504	1445	1030	783	802	1120	1368	1195		4	5	3	6	7	21	134	99	88	99	58	61	107	41	117	160	120	
2528	"Borates, natural, and concentrates thereof, whether or not calcined, and natural boric acids ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		465	863	628	570	444	595	442	563	570	1183	965	910	1006	671	913	639	1444		0	34	0	14	2	2	164	9	5	30	7	14	95	11	12	1	1	
9307	"Swords, cutlasses, bayonets, lances and similar arms and parts thereof, and scabbards and sheaths ..."	0	0	2	112	13	131	3	43	4	0	2	1	1	0	5	0	1		1123	298	453	1640	1505	719	1723	4355	2128	3198	4553	6496	5457	10973	10345	7456	8373		0	1	2	119	25	150	3	44	4	312	46	176	117	62	47	0	1	
4905	"Maps and hydrographic or similar charts of all kinds, incl. atlases, wall maps, topographical ..."	0	29	11	0	0	0	0	144	590	54	10	11	12	45	13	40	1		1164	4728	3360	1835	3586	10455	11931	15103	14984	21259	16883	18319	16830	19484	21033	19281	24934		360	1588	625	621	1172	1066	2105	2312	2042	1449	1272	1451	1541	1783	1222	596	316	
2615	"Niobium, tantalum, vanadium or zirconium ores and concentrates"	0	0	0	0	0	4	12	5	0	77	15	0	6	0	0	3	1		4415	1477	677	1456	695	1896	3043	182	74	4606	51431	40829	27139	20947	15283	13981	11342		938	1618	1682	2343	4555	5851	5415	4740	2945	4874	9693	7728	5098	5293	5708	7847	8388	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	4	0	0	0	0	7	0	3	38	0	0	0	1		1703	2012	2991	10894	6671	6957	4874	9853	5107	87666	72862	50928	88940	21503	12877	352	4552		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
2711	"Petroleum gas and other gaseous hydrocarbons"	0	0	0	0	0	0	0	0	0	4	17	24	2	16	0	2	1		223695	266706	167353	202788	233490	337234	551808	1007874	931120	1487738	1767938	2035887	2212802	2361859	2045354	1562334	1785932		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	0	0	8	0	0	0	0	0	8	2	0	0	2		818	1349	1434	885	1717	1514	2227	2618	1663	1172	1514	1526	2636	2168	2339	2595	2912		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
2509	"Chalk"	0	0	0	0	0	1	11	0	0	0	3	15	19	7	4	2	2		24	26	35	75	83	188	185	499	326	322	490	1421	2744	4711	7818	3034	3250		594	684	1155	1580	1728	1951	1816	1599	880	637	345	139	154	221	116	59	132	
5802	"Terry towelling and similar woven terry fabrics, tufted textile fabrics (excluding narrow woven ..."	15	0	0	0	0	108	1	0	0	9	0	18	35	33	10	7	2		13012	26411	24473	24701	25612	25110	116557	99172	86866	39243	47620	49994	51119	47036	51029	48085	44412		79	136	655	901	2092	1467	1178	769	726	8479	4591	2873	1219	394	363	180	449	
2810	"Oxides of boron; boric acids"	0	0	0	0	0	0	1	0	0	0	0	4	1	5	0	5	3		884	1523	1454	2266	2151	2890	2893	3676	5114	7350	8130	8456	7051	6986	14173	4523	2228		19	25	23	61	48	66	86	67	65	62	87	69	96	123	87	116	131	
9012	"Electron microscopes, proton microscopes and diffraction apparatus"	0	16	0	50	16	2	5	9	52	10	20	30	8	4	42	76	3		5695	2909	2732	6916	5553	10021	12409	12538	11030	13822	16270	18607	19789	25227	30027	25748	31643		720	790	2810	3366	3615	5679	9593	7669	3138	6811	4536	8440	8425	7567	6640	5685	6236	
2520	"Gypsum; anhydrite; plasters consisting of calcined gypsum or calcium sulphate, whether or not ..."	0	0	0	0	0	0	1	0	0	0	11	0	0	12	0	0	3		3826	4265	4660	7469	9481	11545	15726	19929	15874	16678	20772	19792	22634	26971	25059	16241	14140		1148	1263	2109	3059	3644	5127	4405	5478	4644	5657	8889	6670	8019	7779	6173	6203	6793	
1904	"Prepared foods obtained by the swelling or roasting of cereals or cereal products, e.g. corn ..."	3	6	0	0	4	0	0	0	0	11	11	11	24	0	0	0	3		44873	50222	54663	67430	76200	93963	126335	161618	156376	209068	326656	264764	230354	233604	226862	239390	242842		5547	8934	15184	19002	16624	19550	20619	23557	26724	32342	31102	9763	10205	10297	7914	9094	9574	
7224	"Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products ..."	0	0	0	0	14	2	27	369	658	0	0	468	544	0	866	825	3		3989	5538	5921	8331	21857	10845	20649	90118	3590	7295	1596	1664	1280	1694	2618	6858	8662		2927	2906	4522	7116	12501	13191	32146	14046	12726	16821	32018	30101	27814	38465	34512	31353	86203	
0501	"Human hair, unworked, whether or not washed or scoured; waste of human hair"	0	0	0	0	22	0	1	63	61	161	742	371	3	0	33	0	4		27	298	67	35	50	9	37	1	0	0	0	0	0	0	0	0	0		0	3	6	13	27	2	9	63	72	172	742	422	53	24	33	19	12	
5803	"Gauze (excluding narrow woven fabrics of heading 5806)"	0	0	0	58	120	3	97	37	21	0	20	0	96	0	23	0	4		13561	14008	15933	23540	20617	23083	30637	27606	19759	23589	24616	22083	23961	10829	7970	6398	6851		123	76	76	90	148	64	122	431	167	273	330	265	467	32	78	47	34	
4902	"Newspapers, journals and periodicals, whether or not illustrated or containing advertising ..."	0	0	0	0	0	0	87	82	11	19	13	45	50	23	6	8	4		4479	4613	6534	8705	8681	14065	21925	25705	23665	24278	20236	21990	22071	22621	19753	13065	13094		13576	20787	20308	25584	23229	22645	27215	29824	21092	19444	16518	14865	14345	9154	8536	6709	4569	
3211	"Prepared driers"	0	0	0	0	0	0	35	40	0	68	67	65	5	2	1	30	4		873	1334	1194	1520	4408	6982	9553	13683	12442	7725	8143	7617	9118	11543	11935	8865	11439		307	487	129	131	209	317	481	1310	1743	1547	2281	1501	1376	1485	1076	778	839	
8605	"Railway or tramway passenger coaches, luggage vans, post office coaches and other special purpose ..."	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	10	4		180	8532	32664	45174	85065	76756	127251	54249	39732	35634	262269	684146	288702	326832	439070	192016	185154		0	0	237	1434	288	294	50	1762	244	218	258	28	90	0	20	65	2372	
2602	"Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a ..."	27	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5		455	551	484	411	370	332	583	694	5979	24563	28332	23932	9503	2182	4801	7097	7995		60	55	110	70	143	209	279	1589	472	550	764	503	475	410	341	249	335	
3915	"Waste, parings and scrap, of plastics"	0	0	0	0	0	0	0	0	0	0	21	0	0	8	14	0	5		3667	4826	6683	7170	10444	20329	10016	11403	14734	21685	23149	50909	61995	62383	68580	61203	112412		10	27	101	788	5506	2395	13052	7738	3790	12985	33583	30774	30928	45342	35641	49575	76239	
4416	"Casks, barrels, vats, tubs and other coopers' products parts thereof, of wood, incl. staves"	10	0	1	8	6	29	6	23	4	18	5	5	7	13	3	38	5		3966	5232	6076	7138	6968	7264	2433	2170	1499	1524	1586	1050	971	1709	5297	3417	3202		392	511	559	653	793	683	1143	970	726	1498	1656	1250	1360	2426	712	1543	1577	
6310	"Used or new rags, scrap twine, cordage, rope and cables and worn-out articles thereof, of textile ..."	0	0	0	0	0	0	2	0	7	6	17	0	89	27	6	1	5		5085	3754	3325	4373	4011	3658	4130	5773	4041	3843	5642	8494	13631	31029	19664	19207	23243		242	528	741	857	1405	2136	3462	2226	2475	8238	14580	7865	5286	7602	6801	8225	14765	
2514	"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or ..."	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5		12405	16938	25986	36393	46968	62478	22631	16528	5470	5221	7892	9066	11562	22495	16038	15996	16195		1	9	5	20	19	306	0	38	40	166	196	127	233	78	81	113	179	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	0	0	0	0	0	51	70	70	12	7	151	37	79	67	9	4	6		1488	1643	1529	2223	3449	4514	3778	2963	4393	4982	4450	4711	5107	5385	7281	6592	5678		144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
7403	"Copper, refined, and copper alloys, unwrought (excluding copper alloys of heading 7405)"	0	0	0	0	0	0	22	853	11	29	22	797	4097	1838	1	3	6		85197	120033	113406	339379	534123	1475416	953053	804844	440272	306896	1489028	2281918	2263634	1872899	1236371	2063284	2055205		218608	328866	416969	644943	883138	1465473	2139496	2108924	1490742	2584684	3125552	2878811	2730446	2577339	2208298	1998686	2438222	
4812	"Filter blocks, slabs and plates, of paper pulp"	0	2	0	11	13	3	33	7	8	40	103	2	42	1	2	1	6		144	555	697	593	664	743	286	266	1228	2074	3076	8655	12104	5408	2761	2764	14503		447	514	870	1270	1753	1869	1896	1828	1256	2546	2744	2602	2786	2640	1715	1475	2265	
2824	"Lead oxides; red lead and orange lead"	0	0	1	59	153	508	182	0	14	0	4	9	24	16	11	0	7		17128	15742	20679	36804	21475	22001	44197	24243	3868	4706	6965	5952	4032	3985	3434	3315	3370		278	323	514	767	995	1568	2804	3301	1330	3247	4477	3797	3835	3776	5349	5101	6564	
5113	"Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ..."	0	8	4	0	0	0	18	0	0	41	215	72	178	0	17	0	7		3088	1817	2051	7315	9887	13080	13884	15986	8307	8436	12112	9406	7455	4635	3269	3460	3109		412	192	532	374	442	432	421	368	251	349	481	321	498	249	325	332	172	
